exercice;loi;typeBudget;ministere;mission;programme;action;sous-action;categorie;titre;ae;cp
2023.0;PLF;CCF;7.0;ZB;824.0;824-01;;71.0;7.0;198376994.0;198376994.0
2023.0;PLF;BG;3.0;EC;143.0;143-01;;21.0;2.0;481353600.0;481353600.0
2023.0;PLF;BG;36.0;TB;111.0;111-02;;62.0;6.0;572000.0;572000.0
2023.0;PLF;BG;70.0;DA;146.0;;146-07-25;51.0;5.0;28060402.0;53905296.0
2023.0;PLF;BG;9.0;SB;161.0;161-12;;21.0;2.0;108257470.0;108257470.0
2023.0;PLF;BG;9.0;SB;152.0;;152-03-02;21.0;2.0;5331002.0;5331002.0
2023.0;PLF;BG;7.0;GA;218.0;218-02;;23.0;2.0;947968.0;947968.0
2023.0;PLF;BG;38.0;RA;150.0;150-03;;21.0;2.0;5596127.0;5596127.0
2023.0;PLF;BG;12.0;VA;162.0;162-10;;51.0;5.0;1142815.0;3774477.0
2023.0;PLF;BG;36.0;TB;111.0;111-06;;64.0;6.0;13600000.0;13750000.0
2023.0;PLF;BG;38.0;RA;231.0;231-02;;51.0;5.0;17700000.0;19477500.0
2023.0;PLF;BG;7.0;DB;305.0;305-02;;23.0;2.0;113255.0;113255.0
2023.0;PLF;BG;3.0;AC;149.0;149-24;;51.0;5.0;798331.0;798331.0
2023.0;PLF;BG;43.0;RA;190.0;;190-12-03;72.0;7.0;16223403.0;16223403.0
2023.0;PLF;BG;36.0;TB;155.0;155-01;;31.0;3.0;10640000.0;10640000.0
2023.0;PLF;BG;6.0;EC;140.0;140-02;;23.0;2.0;60109282.0;60109282.0
2023.0;PLF;BG;3.0;AC;149.0;149-21;;62.0;6.0;232060887.0;232457420.0
2023.0;PLF;BG;6.0;EC;141.0;141-02;;21.0;2.0;4677273052.0;4677273052.0
2023.0;PLF;BG;6.0;EC;141.0;141-08;;31.0;3.0;2123730.0;2123730.0
2023.0;PLF;BG;7.0;GA;156.0;156-07;;21.0;2.0;760936072.0;760936072.0
2023.0;PLF;BG;12.0;VA;162.0;162-02;;32.0;3.0;250000.0;250000.0
2023.0;PLF;BG;9.0;AB;216.0;216-01;;23.0;2.0;8880512.0;8880512.0
2023.0;PLF;BG;7.0;GA;156.0;156-03;;22.0;2.0;745397353.0;745397353.0
2023.0;PLF;CAS;7.0;YB;723.0;723-13;;31.0;3.0;48000000.0;42000000.0
