Catégorie;Sous catégorie;Sous sous catégorie;Numéro;Libellé législatif;Information complémentaire
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120144;Exonération de l’impôt sur le revenu des indemnités versées aux militaires au titre de leur participation aux opérations visant à la défense de la souveraineté de la France et à la préservation de l'intégrité de son territoire, engagées ou renforcées à la suite des attentats commis sur le territoire national en 2015;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120145;Exonération de l’impôt sur le revenu de l’indemnité journalière d’absence temporaire versée aux personnels des compagnies républicaines de sécurité et aux gendarmes mobiles;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120146;Exonération de l’impôt sur le revenu dans une limite annuelle égale à 5 000 € des rémunérations versées à raison des heures supplémentaires et complémentaires réalisées à compter du 1er janvier 2019;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120201;Exonération de l'allocation logement et de l'aide personnalisée au logement;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120202;Exonération des prestations familiales, de l'allocation aux adultes handicapés ou des pensions d'orphelin, de l'aide à la famille pour l'emploi d'une assistante maternelle agréée, de l'allocation de garde d'enfant à domicile, et, depuis le 1er janvier 2004, de la prestation d'accueil du jeune enfant;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120203;Exonération des allocations, indemnités et prestations d'assistance et d'assurance;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120204;"Exonération des indemnités journalières de sécurité sociale servies au titre des maladies ""longues et coûteuses""";
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120205;Exonération de l'allocation personnalisée d'autonomie (APA);
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120206;Exonération de la prestation de compensation servie aux personnes handicapées en application de l'article L. 245-1 du code de l'action sociale et des familles;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120207;Exonération de la prime forfaitaire pour reprise d'activité prévue à l'article L.5425-3 du code du travail;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Déductions;120301;Déduction des intérêts d'emprunt contractés par les salariés et les gérants de sociétés pour souscrire au capital d'une société nouvelle qui les emploie;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Déductions;120306;Déduction forfaitaire minimale pour frais professionnels prévue pour les demandeurs d'emploi depuis plus d'un an;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Abattements;120401;Abattement de 10 % sur le montant des pensions (y compris les pensions alimentaires) et des retraites;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Abattements;120402;Abattements des articles 150-0 D ou 150-0 D ter du CGI au gain d'acquisition d'actions gratuites dont l'autorisation d'attribution par l'assemblée générale intervient du 8 août 2015 au 31 décembre 2017 et abattement de 50 % (ou le cas échéant de l’article 150-0 D ter) lorsque cette autorisation d’attribution intervient à compter du 1er janvier 2018.;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120501;Régime spécial d'imposition des assistants maternels et des assistants familiaux régis par les articles L. 421-1 et suivants et L. 423-1 et suivants du code de l'action sociale et des familles;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120503;Imposition, sous certaines conditions, aux taux forfaitaires de 41%, 30 % ou 18 % des gains de levée d'options de souscription ou d'achat d'actions attribuées avant le 28 septembre 2012;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120504;Imposition au taux forfaitaire de 19 % des gains nets provenant de la cession des titres souscrits en exercice des bons de parts de créateur d'entreprise attribués jusqu’au 31 décembre 2017 et au taux forfaitaire de 12,8 %, après application le cas échéant de l’abattement de l’article 150-0 D ter du CGI, pour les bons attribués à compter du 1er janvier 2018.;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120506;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120507;Etalement sur quatre ans de l'imposition du montant des droits transférés d'un compte épargne-temps vers un plan d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120508;Prélèvement libératoire, sur option, au taux de 7,5% sur les prestations de retraite servies sous forme de capital à compter de 2011. Etalement sur 5 ans de l’imposition du versement en capital issu d’un plan d’épargne retraite populaire avant 2011;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120509;Etalement sur quatre ans de l'imposition du montant des primes versées par l'Etat aux sportifs médaillés aux Jeux olympiques et paralympiques et à leur guide;
Impôt sur le revenu;Revenus fonciers;Exonérations;130101;Exonération d’impôt sur le revenu au titre des revenus fonciers pour les associés personnes physiques des SCI d’accession progressive à la propriété;
Impôt sur le revenu;Revenus fonciers;Déductions;130201;Déduction des dépenses de réparations et d'amélioration;
Impôt sur le revenu;Revenus fonciers;Déductions;130203;Déduction spécifique sur les revenus des logements loués sous conditions de loyer et de ressources du locataire : Dispositif BESSON ancien;
Impôt sur le revenu;Revenus fonciers;Déductions;130204;Déduction dégressive sur les revenus des logements neufs loués à usage d'habitation principale : Dispositif PERISSOL;
Impôt sur le revenu;Revenus fonciers;Déductions;130207;"Modalités dérogatoires de prise en charge, à l'exclusion des intérêts d'emprunt, des dépenses des restauration immobilière des monuments historiques et assimilés - Dispositif ""Ancien Malraux""";
Impôt sur le revenu;Revenus fonciers;Déductions;130208;Déduction dégressive sur les revenus des logements loués à usage d'habitation principale pour les investissements réalisés entre le 3 avril 2003 et le 31 décembre 2009 : Dispositifs ROBIEN classique et ROBIEN recentré;
Impôt sur le revenu;Revenus fonciers;Déductions;130209;Déduction dégressive sur les revenus des logements neufs loués à usage d'habitation principale (sous conditions de loyer et de ressources du locataire à compter du 1er janvier 1999) pour les investissements réalisés jusqu'au 3 avril 2003 : Dispositif BESSON neuf;
Impôt sur le revenu;Revenus fonciers;Déductions;130211;Déduction sur les revenus des logements loués à usage d'habitation principale dans les zones de revitalisation rurale : Dispositif ROBIEN ZRR jusqu'en 2009 et SCELLIER ZRR à compter de 2009;
Impôt sur le revenu;Revenus fonciers;Déductions;130213;Déduction des dépenses d'amélioration afférentes aux propriétés non bâties;
Impôt sur le revenu;Revenus fonciers;Déductions;130214;Déduction spécifique sur les revenus des logements neufs à usage d'habitation principale (sous conditions de loyer et de ressources du locataire) : Dispositif BORLOO populaire;
Impôt sur le revenu;Revenus fonciers;Déductions;130215;Déduction spécifique sur les revenus des logements donnés en location dans le cadre d'une convention ANAH : Dispositif BORLOO ancien;
Impôt sur le revenu;Revenus fonciers;Déductions;130217;"Déduction des intérêts d'emprunt supportés par les nus-propriétaires de logements dont l'usufruit est détenu temporairement par un bailleur social (opérations ""d'usufruit locatif social"")";
Impôt sur le revenu;Revenus fonciers;Déductions;130218;Déduction spécifique sur les revenus fonciers des logements donnés en location dans le cadre d’une convention ANAH : dispositif COSSE;
Impôt sur le revenu;Revenus fonciers;Régimes spéciaux d'imposition;130302;Imputation sur le revenu global sans limitation de montant des déficits fonciers supportés par les propriétaires d’immeubles classés ou inscrits au titre des monuments historiques ou labellisés Fondation du patrimoine (immeubles bâtis);
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140101;Exonération des intérêts et primes versés dans le cadre de l'épargne logement;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140102;Exonération des intérêts des livrets A;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140103;Exonération des intérêts des livrets bleus;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140104;Exonération des intérêts des livrets de développement durable;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140105;Exonération des intérêts des livrets d'épargne populaire;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140106;Exonération des intérêts des livrets jeune;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140107;Exonération des lots d'obligations et primes de remboursement attachées à des emprunts négociables émis avant le 1er janvier 1992;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140109;Exonération des revenus provenant de l'épargne salariale (participation et plan d'épargne salariale);
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140110;Exonération des intérêts des livrets d'épargne entreprise;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140117;Exonération des dividendes capitalisés sur un plan d'épargne en actions;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140119;Exonération ou imposition réduite des produits attachés aux bons ou contrats de capitalisation et d'assurance-vie;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140120;Exonération des produits attachés à certains contrats d'assurance investis en actions ouverts avant le 1er janvier 2014;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140121;Exonération du prélèvement libératoire pour les produits des emprunts contractés hors de France et pour les intérêts des obligations et des titres de créances négociables souscrits par un non-résident;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140122;Exonération, sous certaines conditions, des revenus des parts de fonds communs de placement à risques (FCPR) et des produits distribués des sociétés de capital risque (SCR);
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140123;Exonération des produits des plans d'épargne populaire;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140124;Exonération des dividendes perçus par l'associé unique d'une société unipersonnelle d'investissement à risque (SUIR);
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140125;Exonération des intérêts des prêts familiaux;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140126;Exonération temporaire à hauteur de 50 % des revenus de capitaux mobiliers perçus à l'étranger par des personnes physiques impatriées;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140127;Exonération des intérêts des sommes inscrites sur un compte épargne d'assurance pour la forêt (CEAF) ouverts jusqu'au 31 décembre 2013;
Impôt sur le revenu;Revenus de capitaux mobiliers;Dispositions diverses;140308;Barème progressif à l'impôt sur le revenu ou prélèvement forfaitaire libératoire;
Impôt sur le revenu;Revenus de capitaux mobiliers;Dispositions diverses;140309;Mécanisme d’imputation de la perte en capital subie en cas de non-remboursement de prêts participatifs ou de minibons exclusivement sur les intérêts d’autres prêts participatifs ou d’autres minibons;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150114;Exonération de la première cession d'un logement en France par des personnes physiques non résidentes de France, ressortissantes d'un Etat membre de l'Espace économique européen (EEE), dans la limite de 150 000 € de plus-value nette imposable;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150117;Exonération des plus-values de cession réalisées par des titulaires de pensions de vieillesse ou de la carte « mobilité inclusion » portant la mention « invalidité », sous conditions de revenus et de patrimoine;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150118;Exonération des plus-values immobilières au titre des cessions d’immeubles au profit d’organismes en charge du logement social ou, sous conditions, à tout cessionnaire prenant l’engagement de construire des logements sociaux, réalisées du 1er janvier 2014 au 31 décembre 2020;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150119;Exonération des plus-values immobilières au titre des cessions d'immeubles au profit des collectivités territoriales ou de certains établissements publics et sociétés en vue de leur cession par ceux-ci à des organismes en charge du logement social, réalisées du 1er janvier 2014 au 31 décembre 2020;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150120;Exonération des plus-values immobilières au titre de la première cession d'un logement sous condition de remploi par le cédant d'une fraction du prix de cession à l'acquisition ou la construction d'un logement affecté à son habitation principale;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150121;Exonération des plus-values immobilières réalisées par les personnes âgées ou handicapées à l'occasion de la cession de leur ancienne résidence principale avant leur entrée dans un établissement médicalisé;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Modalités de calcul;150201;Abattements exceptionnels de 25% ou de 30% applicables, sous conditions, aux plus-values de cession de biens immobiliers bâtis destinés à la démolition en vue de la reconstruction de logements réalisées du 1er septembre 2014 au 31 décembre 2017;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Modalités de calcul;150203;Abattement exceptionnel de 30% applicable, sous conditions, aux plus-values de cession de terrains à bâtir, réalisées du 1er septembre 2014 au 31 décembre 2017;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Modalités de calcul;150209;Abattement exceptionnel de 70% ou de 85% applicable, sous conditions, aux plus-values de cession de terrains à bâtir ou d'immeubles bâtis destinés à la démolition, en vue de la construction de logements, en zones A et A bis, réalisées du 1er janvier 2018 au 31 décembre 2022;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles : Exonérations;150403;"Exonération de la taxe forfaitaire sur les bijoux, objets d'art, de collection et d'antiquité en cas de vente aux musées bénéficiaires de l'appellation ""musée de France"" ou aux services d'archives et bibliothèques de l'Etat, d'une collectivité territoriale ou d'une autre personne publique";
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles : Exonérations;150405;Exonération de la taxe forfaitaire pour les cessions et exportations de métaux précieux, bijoux, objets d'art, de collection et d'antiquité réalisées par des non-résidents;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles : Exonérations;150406;Exonération temporaire des plus-values de cession d'un droit de surélévation réalisées par les particuliers en vue de la réalisation par le cessionnaire de locaux destinés à l'habitation;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles, de droits sociaux ou gains de cession de valeurs mobilières : Modalités de calcul;150515;Abattement fixe applicable aux cessions de titres ou droits par les dirigeants de PME partant à la retraite;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles, de droits sociaux ou gains de cession de valeurs mobilières : Modalités de calcul;150518;Abattement majoré appliqué aux plus-values sur cessions de titres acquis moins de dix ans après la création d'une PME;
Impôt sur le revenu;Plus-values des particuliers;Gains de cessions de valeurs mobilières : Exonérations;150701;Exonération des gains réalisés lors des cessions à titre onéreux de titres acquis dans le cadre des dispositifs d'épargne salariale (participation aux résultats de l'entreprise, plan d'épargne entreprise, actionnariat salarié régi par la loi du 27 décembre 1973);
Impôt sur le revenu;Plus-values des particuliers;Gains de cessions de valeurs mobilières : Exonérations;150704;Exonération des gains retirés d'opérations de bourse effectuées par les clubs d'investissement durant leur existence. Création d'un régime simplifié d'imposition;
Impôt sur le revenu;Plus-values des particuliers;Gains de cessions de valeurs mobilières : Exonérations;150705;Exonération conditionnelle des gains réalisés par les fonds communs de placement dans le cadre de leur gestion;
Impôt sur le revenu;Plus-values des particuliers;Gains de cessions de valeurs mobilières : Exonérations;150706;Exonération des plus-values réalisées à l'occasion de la cession ou du rachat de parts de fonds communs de placement à risques sous certaines conditions;
Impôt sur le revenu;Plus-values des particuliers;Gains de cessions de valeurs mobilières : Exonérations;150707;Exonération des gains de cessions de valeurs mobilières et des profits réalisés par les non-résidents sur les marchés à terme d’instruments financiers et d’options négociables, sur les bons d’option et sur les parts de fonds communs d’intervention sur les marchés à terme d’instruments financiers;
Impôt sur le revenu;Plus-values des particuliers;Gains de cessions de valeurs mobilières : Exonérations;150708;Exonération ou imposition à taux réduit des gains de cession de valeurs mobilières réalisés dans le cadre d'un plan d'épargne en actions;
Impôt sur le revenu;Plus-values des particuliers;Gains de cessions de valeurs mobilières : Exonérations;150710;Exonération, sous certaines conditions, des gains nets réalisés lors des cessions à titre onéreux de titres de sociétés de capital-risque (SCR);
Impôt sur le revenu;Plus-values des particuliers;Gains de cessions de valeurs mobilières : Exonérations;150712;Exonération temporaire à hauteur de 50 % des gains nets de cession de valeurs mobilières et de droits sociaux détenus à l'étranger par des personnes physiques impatriées;
Impôt sur le revenu;Plus-values des particuliers;Gains de cessions de valeurs mobilières : Exonérations;150713;"Mécanisme de report d'imposition optionnel de la plus-value de cession à titre onéreux des titres d'organismes de placements collectifs ""monétaires"" en cas de versement du prix dans un PEA-PME";
Impôt sur le revenu;Bénéfices non commerciaux;Produits perçus par les inventeurs et par les auteurs de logiciels;160103;Imputation sur le revenu global du déficit provenant des frais de prise de brevet et de maintenance;
Impôt sur le revenu;Bénéfices non commerciaux;Exonérations;160201;Exonération des sommes perçues dans le cadre de l'attribution du prix Nobel ou de récompenses internationales de niveau équivalent au prix Nobel dans les domaines littéraire, artistique ou scientifique;
Impôt sur le revenu;Bénéfices non commerciaux;Exonérations;160204;Exonération d'impôt sur le revenu, à hauteur de 60 jours par an, de la rémunération perçue au titre de la permanence des soins par les médecins ou leurs remplaçants installés dans certaines zones rurales ou urbaines;
Impôt sur le revenu;Bénéfices non commerciaux;Exonérations;160205;Exonération, dans la limite de 14,5 % d'un plafond révisable chaque année, des sommes perçues par les arbitres et juges sportifs;
Impôt sur le revenu;Bénéfices non commerciaux;Exonérations;160206;Exonération des suppléments de rétrocession d'honoraires versés aux personnes domiciliées en France qui exercent une activité libérale comme collaborateurs de professionnels libéraux au titre de leur séjour dans un autre Etat;
Impôt sur le revenu;Bénéfices non commerciaux;Déductions;160301;Déduction forfaitaire au titre du groupe III déclarée par les médecins conventionnés;
Impôt sur le revenu;Bénéfices non commerciaux;Déductions;160302;Déduction forfaitaire de 3 % déclarée par les médecins conventionnés;
Impôt sur le revenu;Bénéfices non commerciaux;Déductions;160303;Déduction des dépenses exposées par les sportifs en vue de l'obtention d'un diplôme ou d'une qualification pour leur insertion ou conversion professionnelle;
Impôt sur le revenu;Bénéfices non commerciaux;Dispositions diverses;160406;Abattement de 50 % sur le bénéfice imposable des jeunes artistes de la création plastique;
Impôt sur le revenu;Bénéfices agricoles;Déductions;170103;Déduction spécifique à l'investissement;
Impôt sur le revenu;Bénéfices agricoles;Déductions;170105;Déduction pour aléas;
Impôt sur le revenu;Bénéfices agricoles;Déductions;170106;Déduction de précaution;
Impôt sur le revenu;Bénéfices agricoles;Abattements;170201;Abattement sur les bénéfices réalisés par les jeunes agriculteurs;
Impôt sur le revenu;Bénéfices agricoles;Régimes spéciaux d'imposition;170306;Rattachement du revenu exceptionnel d'un exploitant agricole soumis à un régime réel d'imposition par fractions égales, aux résultats de l'exercice de sa réalisation et des six exercices suivants;
Impôt sur le revenu;Bénéfices agricoles;Régimes spéciaux d'imposition;170307;Report d'imposition de l'indemnité destinée à couvrir les dommages causés aux récoltes par des évènements climatiques à l'exercice de constatation de cette perte;
Impôt sur le revenu;Bénéfices agricoles;Régimes spéciaux d'imposition;170308;Exclusion temporaire du revenu imposable des bénéfices provenant de l'exploitation de terrains auparavant non cultivés affectés à des cultures agréées pour la détermination du revenu imposable afférent aux exploitations agricoles situées dans les DOM;
Impôt sur le revenu;Bénéfices industriels et commerciaux;Exonérations;180101;Exonération de l'aide spéciale compensatrice (ou pécule de départ), allouée aux commerçants et artisans âgés, de condition modeste, au moment de la cessation de leur activité;
Impôt sur le revenu;Bénéfices industriels et commerciaux;Exonérations;180102;Exonération accordée sous certaines conditions, aux personnes louant ou sous-louant en meublé, une partie de leur habitation principale;
Impôt sur le revenu;Bénéfices industriels et commerciaux;Exonérations;180105;Exonération des produits de la vente d'électricité issue de l'énergie radiative du soleil;
Impôt sur le revenu;Bénéfices industriels et commerciaux;Dispositions diverses;180309;Imputation sur le revenu global des déficits commerciaux supportés par les loueurs en meublé qui réalisent un montant de recettes annuelles excédant 23 000 € et le montant de leurs autres revenus d'activité;
Impôt sur le revenu;Dispositions communes aux bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux;Plus-values;190208;Exonération des plus-values professionnelles en cas de cession à titre onéreux d'une entreprise individuelle ou d'une activité par une société de personnes ou en cas de cessation d'un office d'avoué dans le cadre du départ à la retraite du cédant ou de l'associé de la société cédante;
Impôt sur le revenu;Dispositions communes aux bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux;Plus-values;190211;"Exonérations des sommes perçues dans le cadre de l'attribution du prix ""French Tech Ticket""";
Impôt sur le revenu;Dispositions communes aux bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux;Plus-values;190212;"Exonérations des indemnités journalières de sécurité sociale servies au titre des maladies ""longues et coûteuses""";
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Amortissements exceptionnels;200214;Amortissements accélérés des robots acquis par des PME;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Amortissements exceptionnels;200215;Amortissement accéléré sur 24 mois des équipements de fabrication additive(imprimantes 3D);
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Amortissements exceptionnels;200216;Majoration du taux d’amortissement dégressif pour certains matériels des entreprises de première transformation du bois;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Amortissements exceptionnels;200217;Amortissement exceptionnel des bâtiments d'élevage et des matériels et installations destinés au stockage des effluents d'élevage égal à 40% du prix de revient des biens réparti linéairement sur cinq ans;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Dispositions diverses;200302;Crédit d'impôt en faveur de la recherche;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Dispositions diverses;200307;Application du taux réduit d'imposition aux répartitions d'actifs effectuées par des fonds communs de placement à risques (FCPR) dont le portefeuille est composé de manière prépondérante de titres de sociétés non cotées;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Dispositions diverses;200310;Crédit d'impôt en faveur de l'innovation;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Déductions;200401;Déduction exceptionnelle de 40% du prix de revient de certains biens limitativement énumérés, pratiquée sur la durée normale d'utilisation du bien;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Déductions;200402;Déduction exceptionnelle de 40 % en faveur des acquisitions, réalisées entre le 1er janvier 2016 et jusqu’au 31 décembre 2021, de véhicules de 3,5 tonnes et plus fonctionnant au gaz naturel ou au biométhane, ou exclusivement au carburant ED95;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Déductions;200403;Déduction exceptionnelle de 40% en faveur des entreprises investissant dans des équipements de réfrigération et de traitement de l’air utilisant des fluides autres que les hydrofluorocarbures (HFC);
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Déductions;200404;Déduction exceptionnelle en faveur de l’investissement des entreprises utilisatrices d’engins fonctionnant au GNR dans l’acquisition de matériels fonctionnant avec des carburants alternatifs;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Déductions;200405;Déduction exceptionnelle en faveur de l’investissement des PME de commerce de détail de gazole non routier dans des installations de stockage, matériels de manutention et de distribution de gazole;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Amortissements;210102;Amortissement exceptionnel des logiciels acquis par les entreprises;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Déductions;210203;Déduction sur cinq ans du prix d'acquisition des oeuvres originales d'artistes vivants;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210305;Crédit d'impôt pour investissement en Corse;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210306;Réduction de l'impôt au titre des sommes consacrées par les entreprises à l'achat d'un trésor national;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210307;Exonération des dons reçus par une entreprise ayant subi un sinistre survenu à la suite d'une catastrophe naturelle ou d'un événement ayant des conséquences dommageables;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210308;Crédit d'impôt famille;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210309;Réduction d'impôt au titre des dons faits par les entreprises à des oeuvres ou organismes d'intérêt général;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210311;Crédit d'impôt en faveur de l'apprentissage;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210312;Crédit d'impôt pour dépenses de prospection commerciale;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210313;"Crédits d'impôt ""Prêt à taux zéro"" et ""Prêt à taux zéro renforcé PTZ+""";
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210315;Crédit d'impôt au titre des dépenses engagées pour la formation du chef d'entreprise;
