Catégorie;Sous catégorie;Sous sous catégorie;Numéro;Libellé législatif;Information complémentaire
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;60201;Pertes de récoltes ou de bétail;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;60202;Association foncière pastorale;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;60203;Dégrèvement d'office jeunes agriculteurs;
Impôts locaux;Taxe d'habitation;Exonérations compensées par l'Etat;70101;Exonération en faveur des personnes âgées, handicapées ou de condition modeste;
Impôts locaux;Taxe d'habitation;Dégrèvements à la charge de l'Etat;70201;Dégrèvement d'office en faveur des gestionnaires de foyers et des organismes sans but lucratif agréés pour les logements loués à des personnes défavorisées;
Impôts locaux;Taxe d'habitation;Dégrèvements à la charge de l'Etat;70203;Dégrèvement en faveur des personnes de condition modeste relogés dans le cadre d'un projet conventionné au titre du programme ANRU;
Impôts locaux;Taxe d'habitation;Dégrèvements à la charge de l'Etat;70204;Dégrèvement de taxe d'habitation en cas de décès du fait d'actes de terrorisme,de la participation à une opération extérieure ou de sécurité intérieure ou dans des circonstances ayant entraîné une citation à l'ordre de la Nation;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90101;Exonération en faveur de certaines opérations réalisées dans les ZRR;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90104;Réduction de 25 % des bases imposées en Corse au profit des communes et des EPCI. Suppression des parts départementales et régionales;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90105;Exonération en faveur des établissements existants ou créés dans les ZFU créées en 1996;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90106;Exonération en faveur des établissements existants ou créés dans les ZFU créées en 2003;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90107;Exonération en faveur des établissements existants au 1er janvier 2006 dans les zones franches urbaines (ZFU) de troisième génération ou créés ou étendus entre le 1er janvier 2006 et le 31 décembre 2014 dans les trois générations de ZFU;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90108;Abattement sur la base nette imposable des établissements situés dans les départements d'outre-mer;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90109;Exonération en faveur des établissements existants au 1er janvier 2015 dans un quartier prioritaire de la politique de la ville (QPV) ou créés ou étendus entre le 1er janvier 2015 et le 31 décembre 2022 dans un QPV;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90110;Exonération en faveur des entreprises dont les établissements vendent au public des écrits périodiques en qualité de mandataires inscrits au Conseil supérieur des messageries de presse et revêtent la qualité de diffuseurs de presse spécialistes;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90111;Exonération en faveur des établissements créés entre le 1er janvier 2018 et le 31 décembre 2020 dans un bassin urbain à dynamiser (BUD);
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90112;Exonération de la cotisation minimum de CFE des redevables réalisant un très faible chiffre d'affaires;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90113;Exonération de CFE en faveur des établissements créés entre le 1er janvier 2019 et le 31 décembre 2020 dans une zone de développement prioritaire;
Impôts locaux;Cotisation foncière des entreprises;Dégrèvements à la charge de l'Etat;90201;Crédit d'impôt pour les micro entreprises implantées en zone de restructuration de la défense;
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100101;Déduction des versements effectués en vue de la retraite mutualiste du combattant;
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100102;Déduction du revenu global des charges foncières supportées par les propriétaires d’immeubles classés ou inscrits au titre des monuments historiques ou labellisés Fondation du patrimoine et non productifs de revenus;
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100105;Déduction des avantages en nature consentis en l'absence d'obligation alimentaire à des personnes âgées de plus de 75 ans, de condition modeste, qui vivent sous le toit du contribuable;
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100114;Déduction des travaux de grosses réparations supportés par les nus-propriétaires dans le cas de démembrements de propriété consécutifs à une succession ou une donation;
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Abattements;100201;Abattement en faveur des personnes âgées ou invalides de condition modeste;
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Abattements;100202;Abattement en faveur des contribuables ayant des enfants mariés ou chargés de famille rattachés à leur foyer fiscal;
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110102;Demi-part supplémentaire pour les contribuables vivant seuls ayant eu à titre exclusif ou principal, en vivant seuls, la charge d'enfants pendant au moins cinq ans;
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110103;Demi-part supplémentaire pour les contribuables (et leurs veuves) de plus de 74 ans titulaires de la carte du combattant;
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110104;Demi-part supplémentaire pour les contribuables invalides;
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110107;Maintien du quotient conjugal pour les contribuables veufs ayant des enfants à charge;
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110109;Demi-part supplémentaire ou quart de part supplémentaire en cas de résidence alternée, par enfant à charge titulaire de la carte d'invalidité ou part supplémentaire par personne rattachée au foyer fiscal titulaire de la carte d'invalidité;
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110110;Demi-part supplémentaire, ou quart de part supplémentaire en cas de résidence alternée des enfants à charge, accordée aux parents isolés;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110201;Réduction d'impôt au titre des dons;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110202;Crédit d'impôt au titre des cotisations versées aux organisations syndicales représentatives de salariés et aux associations professionnelles nationales de militaires;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110203;Crédit d'impôt pour frais de garde des enfants âgés de moins de 6 ans;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110205;Réduction d'impôt au titre des primes des contrats de rente survie et des contrats d'épargne handicap;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110210;Réduction d’impôt au titre des investissements locatifs et de la souscription au capital de certaines sociétés réalisés jusqu’au 31/12/2017 et au titre des travaux de réhabilitation de logements réalisés jusqu’au 31/12/2020, dans les départements d'outre-mer, à Saint-Pierre-et-Miquelon, en Nouvelle-Calédonie, en Polynésie française, dans les îles Wallis et Futuna et les Terres australes et antarctiques françaises.;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110211;Réduction d'impôt pour frais de comptabilité et d'adhésion à un centre de gestion ou une association agréés;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110213;Réduction d'impôt au titre des frais de dépendance et d'hébergement pour les personnes dépendantes accueillies en établissement spécialisé;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110215;Réduction d'impôt pour frais de scolarité dans l'enseignement secondaire;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110216;Réduction d'impôt au titre des souscriptions en numéraire au capital initial ou aux augmentations de capital de PME [européennes];
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110218;Réduction d'impôt au titre de la souscription de parts de fonds communs de placement dans l'innovation (FCPI);
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110221;Réduction d'impôt au titre des investissements dans le secteur du tourisme;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110222;Crédit d'impôt pour la transition énergétique;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110223;Réduction d'impôt au titre de la prestation compensatoire versée sous forme d'argent ou d'attributions de biens ou de droits ou sous forme de capital se substituant à des rentes;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110224;Réduction d'impôt sur le revenu à raison des investissements productifs réalisés dans les départements et collectivités d'outre-mer;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110226;Réduction d'impôt sur le revenu pour investissements et cotisations d'assurance de bois et forêts jusqu'au 31 décembre 2020;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110228;Réduction d'impôt au titre de la souscription de parts de fonds d'investissement de proximité (FIP);
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110229;Réduction d'impôt au titre des intérêts d'emprunts souscrits par une personne physique en vue de financer la reprise d'une entreprise exploitée sous forme de société soumise à l'impôt sur les sociétés;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110236;Crédit d'impôt pour dépenses d'équipements de l'habitation principale en faveur de l'aide aux personnes;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110238;Crédit d'impôt à raison des intérêts des prêts souscrits entre le 1er septembre 2005 et le 31 décembre 2008 en vue du financement de leurs études par les personnes âgées de vingt-cinq ans au plus;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110239;Réduction d'impôt sur le revenu à raison des intérêts perçus au titre du différé de paiement accordé à des exploitants agricoles;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110240;Crédit d'impôt au titre des dépenses engagées par les exploitants agricoles pour assurer leur remplacement;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110241;Réduction d'impôt au titre des cotisations versées aux associations syndicales autorisées ayant pour objet la réalisation de travaux de prévention en vue de la défense des forêts contre les incendies sur des terrains inclus dans les bois classés;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110242;Réduction d'impôt pour frais de scolarité dans l'enseignement supérieur;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110244;Réduction d'impôt au titre des souscriptions en numéraire, réalisées entre le 1er janvier 2006 et le 31 décembre 2020, au capital de sociétés anonymes agréées ayant pour seule activité le financement d’oeuvres cinématographiques ou audiovisuelles;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110245;Réduction d'impôt au titre de la souscription de parts de fonds d'investissement de proximité (FIP) investis dans les entreprises corses;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110246;Crédit d'impôt au titre de l'emploi d'un salarié à domicile (jusqu'en 2017: pour les contribuables exerçant une activité professionnelle ou demandeurs d'emploi depuis au moins trois mois);
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110247;Crédit d'impôt sur le revenu au titre des intérêts d'emprunt supportés à raison de l'acquisition ou de la construction de l'habitation principale;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110248;Réduction d'impôt sur le revenu au titre des travaux de conservation ou de restauration d'objets mobiliers classés monuments historiques;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110249;Réduction d’impôt sur le revenu au titre des dépenses de restauration d’immeubles bâtis situés dans les sites patrimoniaux remarquables (SPR), les quartiers anciens dégradés, et les quartiers du Nouveau programme national de renouvellement urbain (NPNRU) : Nouveau dispositif Malraux;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110250;Réduction d'impôt sur le revenu au titre des investissements locatifs réalisés dans le secteur de la location meublée non professionnelle;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110251;Réduction d'impôt sur le revenu en faveur de l'investissement locatif du 1er janvier 2009 au 31 décembre 2012 et, sous conditions, jusqu'au 31 mars 2013 dans les zones présentant un déséquilibre entre l'offre et la demande de logements (sous conditions de loyer) : Dispositif SCELLIER;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110252;Réduction d'impôt sur le revenu majorée en faveur de l'investissement locatif du 1er janvier 2009 au 31 décembre 2012 et, sous conditions, jusqu'au 31 mars 2013 dans le secteur intermédiaire dans les zones présentant un déséquilibre entre l'offre et la demande de logements accompagnée d'une déduction spécifique sur les revenus tirés de ces logements (sous conditions de loyer plus strictes et conditions de ressources du locataire) : Dispositif SCELLIER intermédiaire;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110256;Réduction d'impôt au titre des investissements effectués dans le secteur du logement social dans les départements et collectivités d'outre-mer;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110257;Réduction d'impôt sur le revenu au titre des dépenses réalisées sur certains espaces naturels en vue du maintien et de la protection du patrimoine naturel;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110258;Réduction d'impôt sur le revenu en faveur des investissements locatifs réalisés outre-mer jusqu'au 31 décembre 2012 ou, sous conditions, jusqu'au 31 mars 2013 : dispositif SCELLIER OUTRE-MER;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110259;Réduction d'impôt sur le revenu en faveur des investissements locatifs réalisés outre-mer dans le secteur intermédiaire jusqu'au 31 décembre 2012 ou, sous conditions, jusqu'au 31 mars 2013 : dispositif SCELLIER INTERMEDIAIRE OUTRE-MER;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110260;Réduction d’impôt au titre de la souscription de parts de fonds d’investissement de proximité investis dans des sociétés qui exercent leurs activités dans les départements et collectivités d’outre-mer (FIPOM);
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110261;Réductions d'impôt sur le revenu en faveur de l'investissement locatif intermédiaire (dispositifs Duflot et Pinel);
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110262;Crédit d'impôt sur le revenu pour travaux forestiers et rémunérations versées pour la réalisation de contrats de gestion de bois et forêts jusqu'au 31 décembre 2020;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110263;Réduction d'impôt accordée au titre des souscriptions en numéraire au capital d'entreprises de presse;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110264;Réduction d’impôt sur le revenu au titre des travaux de réhabilitation effectués dans une résidence de tourisme classée;
