Type de recettes;Année;Libellé Mission;Code Section;Libellé Section;Code Ligne de recette;Libellé ligne de recette;Montant Recettes PLF 2025;Prévisions  Recettes 2026;Prévisions Recettes 2027
Recettes CAS;2025.0;Pensions;YD-2;Ouvriers des établissements industriels de l'État;YD-2-72;Contribution au Fonds spécial des pensions des ouvriers des établissements industriels de l'État (FSPOEIE) et au Fonds des rentes d'accident du travail des ouvriers civils des établissements militaires (RATOCEM);1714802697.0;1708101174.0;1734984088.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-41;Personnels militaires : retenues pour pensions : agents propres de l'État et agents détachés dans une administration de l'État sur un emploi conduisant à pension;998538020.0;1015713607.0;1024461079.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-12;Personnels civils : retenues pour pensions : agents propres de La Poste et agents détachés à La Poste;132116692.0;116763268.0;103297611.0
Recettes CCF;2025.0;Prêts à des États étrangers;ZE-4;Prêts aux États membres de la zone euro;ZE-4-04;Remboursement des prêts consentis aux États membres de l'Union européenne dont la monnaie est l'euro;0.0;570242247.0;570242247.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-04;Personnels civils : retenues pour pensions : agents détachés dans les collectivités et établissements publics locaux sur un emploi conduisant à pension;27725143.0;28061986.0;28384346.0
Recettes CAS;2025.0;Développement agricole et rural;YF-7;Développement agricole rural;YF-7-01;Taxe sur le chiffre d'affaires des exploitations agricoles;153600000.0;153600000.0;153600000.0
Recettes CCF;2025.0;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1-05;Remboursement des avances octroyées au titre de l'indemnisation des victimes du Benfluorex;15000000.0;15000000.0;15000000.0
Recettes CAS;2025.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-94;Financement des pensions de l'ORTF : participation du budget général;62000.0;60000.0;57000.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-63;Recettes diverses (administration centrale) : versement du Fonds de solidarité vieillesse (FSV) au titre de la majoration du minimum vieillesse : personnels civils;1200000.0;1200000.0;1200000.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-68;Recettes diverses : récupération des indus sur pensions : personnels militaires;9000000.0;9000000.0;9000000.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-08;Personnels civils : retenues pour pensions : validation des services auxiliaires : part agent : retenues rétroactives, versements du régime général, des autres régimes de base et de l'IRCANTEC;7599189.0;5892620.0;4569300.0
Recettes CCF;2025.0;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1-04;Remboursement des prêts et avances octroyés à des services de l'État;365471365.0;352125340.0;339290767.0
Recettes CAS;2025.0;Pensions;YD-2;Ouvriers des établissements industriels de l'État;YD-2-74;Recettes diverses;13682053.0;11482053.0;9182053.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-42;Personnels militaires : retenues pour pensions : agents détachés dans une administration de l'État sur un emploi ne conduisant pas à pension;104477.0;106274.0;107190.0
Recettes CCF;2025.0;Prêts et avances à des particuliers ou à des organismes privés;ZF-2;Prêts pour le développement économique et social;ZF-2-12;Prêts octroyés dans le cadre des programmes d’investissement d’avenir;17000000.0;0.0;0.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-02;Personnels civils : retenues pour pensions : agents détachés dans une administration de l'État sur un emploi ne conduisant pas à pension;6058898.0;6132510.0;6202957.0
Recettes CCF;2025.0;Prêts à des États étrangers;ZE-1;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;ZE-1-01;Remboursement des prêts accordés à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;262393839.0;257223530.0;233815410.0
Recettes CCF;2025.0;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1-07;Remboursement des prêts octroyés à Île-de-France Mobilités à la suite des conséquences de l’épidémie de covid-19;40000000.0;60000000.0;80000000.0
Recettes CCF;2025.0;Avances aux collectivités territoriales et aux collectivités régies par les articles 73, 74 et 76 de la Constitution;ZC-3;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;ZC-3-09;Taxe d’habitation et taxes annexes;3796970187.0;3796970187.0;3796970187.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-14;Personnels civils : retenues pour pensions : agents propres et détachés des budgets annexes;39509771.0;39989789.0;40449168.0
Recettes CCF;2025.0;Prêts à des États étrangers;ZE-2;Prêts à des États étrangers pour consolidation de dettes envers la France;ZE-2-02;Remboursement de prêts du Trésor;51587962.0;42881739.0;38633608.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-09;Personnels civils : retenues pour pensions : rachat des années d'études;4300000.0;4300000.0;4300000.0
Recettes CAS;2025.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-85;Financement du traitement de personnes décorées de la Médaille militaire : participation du budget général;603500.0;603500.0;603500.0
Recettes CAS;2025.0;Participations financières de l'État;YC-1;Participations financières de l'État;YC-1-06;Versement du budget général;8655480084.0;9331375562.0;10028093818.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-52;Personnels militaires : contributions des employeurs : agents détachés dans une administration de l'État sur un emploi ne conduisant pas à pension;1205508.0;1227123.0;1237947.0
Recettes CAS;2025.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-10;Personnels civils : retenues pour pensions : agents propres de l'État et agents détachés dans une administration de l'État : surcotisations salariales du temps partiel et des cessations progressives d'activité;15528929.0;15717595.0;15898150.0
