PHASE;Type de Budget;Code Ministère;Ministère;Code Mission;Mission;Code Programme;Programme;T2 AE=CP  PLF 2019;ETPT PLF 2019
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZA;Accords monétaires internationaux;813;Relations avec l'Union des Comores;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZB;Avances à divers services de l'État ou organismes gérant des services publics;821;Avances à l'Agence de services et de paiement, au titre du préfinancement des aides communautaires de la politique agricole commune;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZB;Avances à divers services de l'État ou organismes gérant des services publics;823;Avances à des organismes distincts de l'État et gérant des services publics;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZB;Avances à divers services de l'État ou organismes gérant des services publics;824;Avances à des services de l'État;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZB;Avances à divers services de l'État ou organismes gérant des services publics;825;Avances à l'Office national d'indemnisation des accidents médicaux, des affections iatrogènes et des infections nosocomiales (ONIAM) au titre de l'indemnisation des victimes du Benfluorex;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZC;Avances aux collectivités territoriales;832;Avances aux collectivités et établissements publics, et à la Nouvelle-Calédonie;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZE;Prêts à des États étrangers;851;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZE;Prêts à des États étrangers;852;Prêts à des États étrangers pour consolidation de dettes envers la France;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZE;Prêts à des États étrangers;853;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZE;Prêts à des États étrangers;854;Prêts aux États membres de l'Union européenne dont la monnaie est l'euro;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZF;Prêts et avances à des particuliers ou à des organismes privés;861;Prêts et avances pour le logement des agents de l'État;;
PLF 2019;Comptes de concours financiers;MIN21;Économie et finances;ZF;Prêts et avances à des particuliers ou à des organismes privés;862;Prêts pour le développement économique et social;;
