Année PLF;Type de Budget;Code Mission;Mission;Code Programme;Programme;Code Action;Action;Code Sous-Action;Sous-Action;Code Catégorie;Catégorie;AE PLF 2019;CP PLF 2019;Code Titre;Titre;Code Ministère PLF 2019;Ministère PLF 2019
2019;Comptes de concours financiers;ZC;Avances aux collectivités territoriales;833;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;4;Avances aux régions sur les frais de gestion de la contribution foncière des entreprises (CFE), de la contribution sur la valeur ajoutée des entreprises (CVAE) et de la taxe d'habitation (TH) et sur le produit de la taxe intérieure de consommation sur les produits énergétiques (TICPE);;;71;Prêts et avances;1 004 409 371;1 004 409 371;7;Dépenses d’opérations financières;7;Action et comptes publics
2019;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;841;France Télévisions;1;France Télévisions;;;71;Prêts et avances;2 543 117 594;2 543 117 594;7;Dépenses d’opérations financières;7;Action et comptes publics
2019;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;842;ARTE France;1;ARTE France;;;71;Prêts et avances;283 330 563;283 330 563;7;Dépenses d’opérations financières;7;Action et comptes publics
2019;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;843;Radio France;1;Radio France;;;71;Prêts et avances;604 707 670;604 707 670;7;Dépenses d’opérations financières;7;Action et comptes publics
2019;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;844;France Médias Monde;1;France Médias Monde;;;71;Prêts et avances;261 529 150;261 529 150;7;Dépenses d’opérations financières;7;Action et comptes publics
2019;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;845;Institut national de l'audiovisuel;1;Institut national de l'audiovisuel;;;71;Prêts et avances;89 185 942;89 185 942;7;Dépenses d’opérations financières;7;Action et comptes publics
2019;Comptes de concours financiers;ZD;Avances à l'audiovisuel public;847;TV5 Monde;1;TV5 Monde;;;71;Prêts et avances;77 749 150;77 749 150;7;Dépenses d’opérations financières;7;Action et comptes publics
2019;Comptes de concours financiers;ZE;Prêts à des États étrangers;851;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;1;Prêts à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;;;71;Prêts et avances;1 000 000 000;480 950 000;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes de concours financiers;ZE;Prêts à des États étrangers;852;Prêts à des États étrangers pour consolidation de dettes envers la France;1;Prêts résultant de l'exécution d'accords conclus avec les gouvernements étrangers et portant consolidation des dettes de leur pays envers la France;;;71;Prêts et avances;245 350 000;245 350 000;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes de concours financiers;ZE;Prêts à des États étrangers;853;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;1;Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;;;71;Prêts et avances;0;388 000 000;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes de concours financiers;ZE;Prêts à des États étrangers;854;Prêts aux États membres de l'Union européenne dont la monnaie est l'euro;1;Soutien financier aux États membres de l’Union européenne dont la monnaie est l’euro;;;71;Prêts et avances;0;0;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;861;Prêts et avances pour le logement des agents de l'État;4;Avances aux agents de l'État à l'étranger pour la prise en location d'un logement;;;71;Prêts et avances;50 000;50 000;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;862;Prêts pour le développement économique et social;1;Prêts pour le développement économique et social;;;71;Prêts et avances;50 000 000;50 000 000;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;21;Rémunérations d’activité;0;0;2;Dépenses de personnel;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;22;Cotisations et contributions sociales;0;0;2;Dépenses de personnel;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;23;Prestations sociales et allocations diverses;0;0;2;Dépenses de personnel;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;31;Dépenses de fonctionnement autres que celles de personnel;0;0;3;Dépenses de fonctionnement;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;32;Subventions pour charges de service public;0;0;3;Dépenses de fonctionnement;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;41;Intérêt de la dette financière négociable;0;0;4;Charges de la dette de l’État;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;42;Intérêt de la dette financière non négociable;0;0;4;Charges de la dette de l’État;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;43;Charges financières diverses;0;0;4;Charges de la dette de l’État;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;51;Dépenses pour immobilisations corporelles de l’État;0;0;5;Dépenses d’investissement;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;52;Dépenses pour immobilisations incorporelles de l’État;0;0;5;Dépenses d’investissement;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;61;Transferts aux ménages;0;0;6;Dépenses d’intervention;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;62;Transferts aux entreprises;0;0;6;Dépenses d’intervention;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;63;Transferts aux collectivités territoriales;0;0;6;Dépenses d’intervention;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;64;Transferts aux autres collectivités;0;0;6;Dépenses d’intervention;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;65;Appels en garantie;0;0;6;Dépenses d’intervention;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;71;Prêts et avances;0;0;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;72;Dotations en fonds propres;0;0;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;868;Prêts et avances pour le développement du commerce avec l'Iran;1;Prêts et avances pour le développement du commerce avec l'Iran;;;73;Dépenses de participations financières;0;0;7;Dépenses d’opérations financières;21;Économie et finances
2019;Comptes de concours financiers;ZF;Prêts et avances à des particuliers ou à des organismes privés;869;Prêts à la société concessionnaire de la liaison express entre Paris et l'aéroport Paris-Charles de Gaulle;1;Prêts à la société concessionnaire de la liaison express entre Paris et l'aéroport Paris-Charles de Gaulle;;;71;Prêts et avances;0;275 000 000;7;Dépenses d’opérations financières;23;Transition écologique et solidaire
