Nomenclature;Année;Type de ligne;Type de budget;Périmètre financier Chorus;Ministère;Programme;Code (programme, action ou sous-action);Libellé Chorus abrégé;Libellé complet;Mission;Type de dépenses;Code article d'éxécution;Section CAS/CCF;Compte CAS/CCF;Id Histo Tango;Code section Chorus
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P162;0162-10-05;La cohésion sociale et l';La cohésion sociale et l'employabilité;MVA Cohésion des territoires;Hors Personnel;;;;TZKC06G56E;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN56 Solidarités, autonomie et personnes handicapées;P304;0304-15;Qualification en travail;Qualification en travail social;MSE Solidarité, insertion et égalité des chances;Hors Personnel;;;;1ACT4127;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P131;0131-02-06;Aides créa et diff AV;Aides à la création et à la diffusion en matière d'arts visuels;MCB Culture;Hors Personnel;45.0;;;1NEX661;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P142;0142-02-01;Appui à la recherche - Pe;Appui à la recherche - Personnel de la recherche du ministère chargé de l'agriculture;MRA Recherche et enseignement supérieur;Personnel;20.0;;;1NEX2134;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P149;0149-25-17;Incitation à l'emploi en;Incitation à l'emploi en agriculture et en milieu rural;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;57.0;;;1NEX10727;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P165;0165-06-02;Soutien hs frais de just.;Soutien (hors frais de justice);MCA Conseil et contrôle de l'État;Mixte;61.0;;;1NEX80;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P345;0345-15;Frais divers;Frais divers;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;16G5COJTLL4;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P345;0345-17-02;MDCG;Mesures à destination des consommateurs de gaz;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;1W1V12VWYHV;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P192;0192-01-05;Personnels oeuvrant pour;Personnels oeuvrant pour les organismes de formation supérieure et de recherche;MRA Recherche et enseignement supérieur;Hors Personnel;;;;1NEX7029;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P129;0129-10;Soutien;Soutien;MDC Direction de l'action du Gouvernement;Mixte;;;;1ACT665;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P131;0131-01-02;Aide créa° & nvelles écri;Aide à la création et aux nouvelles écritures;MCB Culture;Hors Personnel;11.0;;;1NEX2991;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P104;0104-15;Accompagnement réfugiés;Accompagnement des réfugiés;MIA Immigration, asile et intégration;Hors Personnel;;;;1ACT3295;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P103;0103-02-04;Amélioration de l'accès à;Amélioration de l'accès à la qualification par le développement de l'alternance et de la certification;MTB Travail et emploi;Hors Personnel;41.0;;;1SSA577;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P135;0135-09-05;PSH_relance;Création de places d'hébergement, via FNAP;MVA Cohésion des territoires;Hors Personnel;;;;1F4SAQWJMEN;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P382;382.0;Protection animale;Soutien aux associations de protection animale et aux refuges;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;;;;26HA6A0DJIX;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P200;0200-13-08;Autres remboursements et;Autres remboursements et dégrèvements liés à la gestion des produits de l'Etat - Dations en paiement, intérêts moratoires, remises de débets;MRD Remboursements et dégrèvements;Hors Personnel;39.0;;;2QDOV5MCV2J;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P216;0216-01-14;Comité des finances local;Comité des finances locales;MAB Administration générale et territoriale de l'État;Personnel;45.0;;;1NEX9878;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P175;0175-01-10;Prom valo MH pat mo HCPER;Promotion et valorisation des monuments historiques et du patrimoine monumental (hors CPER);MCB Culture;Hors Personnel;19.0;;;1NEX565;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P354;0354-06;Dép immo ATE;Dépenses immobilières de l'administration territoriale;MAB Administration générale et territoriale de l'État;Hors Personnel;;;;U88FS9K6A1;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P162;0162-02-21;Suppr. Attein. Environ.;Inciter les agriculteurs et les autres acteurs à supprimer les atteintes à l'environnement;MVA Cohésion des territoires;Hors Personnel;21.0;;;1NEX10062;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P165;0165-04;Fonction consultative;Fonction consultative;MCA Conseil et contrôle de l'État;Personnel;40.0;;;1ACT858;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN06 Éducation nationale et  jeunesse;P140;140.0;ens. sco. pub. 1er dg;Enseignement scolaire public du premier degré;MEC Enseignement scolaire;Mixte;;;;1PGM260;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P177;0177-12-09;Hébergement de stabilisat;Hébergement de stabilisation - hors centres d'hébergement et de réinsertion sociale (CHRS);MVA Cohésion des territoires;Hors Personnel;90.0;;;1NEX9012;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P203;0203-41;Ferroviaire;Ferroviaire;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;1ACT5318;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P190;0190-14-03;Equipementier;Equipementier;MRA Recherche et enseignement supérieur;Hors Personnel;14.0;;;1SSA809;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN56 Solidarités, autonomie et personnes handicapées;P157;0157-12-03;Aide au poste;Financement de la rémunération garantie pour les travailleurs handicapés;MSE Solidarité, insertion et égalité des chances;Hors Personnel;23.0;;;1NEX10814;
Dépenses_BA;2023.0;Action apparaissant au PAP/RAP;BA;BA00;MIN23 Transition écologique et cohésion des territoires;P613;0613-02;Logistique;Logistique;MXC Contrôle et exploitation aériens;Mixte;20.0;;;1ACT542;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P364;0364-07;Cohésion territoriale;Cohésion territoriale;MPR Plan de relance;Hors Personnel;;;;19Z3L95R2DZ;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN56 Solidarités, autonomie et personnes handicapées;P304;0304-21-01;Alloc, dép aide soc;Allocations et dépenses d'aide sociale;MSE Solidarité, insertion et égalité des chances;Hors Personnel;;;;1MINAS8WK5M;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P206;0206-01-15;Promotion des modes de pr;Promotion des modes de production respectueux de la santé et de l'environnement;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;15.0;;;1NEX8866;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P181;0181-10-27;Prév Risque hydraulique;Prévention des risques hydrauliques;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;1M1I4N6PIQR;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN35 Santé et prévention;P204;0204-16;Veille et sécurité sanita;Veille et sécurité sanitaire;MSA Santé;Hors Personnel;;;;1ACT2754;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P105;0105-01-01;Etat major : cabinets;Etat major : cabinets;MAA Action extérieure de l'État;Hors Personnel;10.0;;;1NEX849;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P105;0105-06-08;Systèmes d’information;Systèmes d'information et de télécommunication;MAA Action extérieure de l'État;Hors Personnel;87.0;;;1NEX911;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P103;0103-01;Anticipation et accompagn;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;MTB Travail et emploi;Hors Personnel;;;;1ACT1123;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P224;0224-06-02;Créa & ind cul F à l'étra;Promotion de la création et des industries culturelles françaises à l'étranger;MCB Culture;Hors Personnel;52.0;;;1NEX729;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P143;0143-04;Territoires;Mise en œuvre de l'enseignement agricole dans les territoires;MEC Enseignement scolaire;Hors Personnel;;;;1ACT766;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P149;0149-25;Protection sociale;Protection sociale;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;;;;1ACT5135;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P215;0215-01-05;Autres moyens (hors perso;Autres moyens (hors personnel);MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;16.0;;;1NEX236;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P192;0192-01;Organismes de formation s;Organismes de formation supérieure et de recherche;MRA Recherche et enseignement supérieur;Hors Personnel;;;;1ACT979;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN10 Justice;P107;0107-01;Garde et contrôle;Garde et contrôle des personnes placées sous main de justice;MJA Justice;Mixte;10.0;;;1ACT830;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN38 Enseignement supérieur et recherche;P150;150.0;FormationsSup.&Rech.Univ.;Formations supérieures et recherche universitaire;MRA Recherche et enseignement supérieur;Mixte;;;;1PGM295;
Dépenses_CAS;2023.0;Sous action n'apparaissant PAS au PAP/RAP;CAS;BG00;MIN03 Agriculture et souveraineté alimentaire;P776;0776-01-01;Programmes de développeme;Programmes de développement agricole et rural;MYF Développement agricole et rural;Hors Personnel;10.0;7 Développement agricole rural;750.0;1NEX9608;750-S07
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P135;0135-09-04;FTM_relance;Renforcement du plan de traitement des FTM, via FNAP;MVA Cohésion des territoires;Hors Personnel;;;;1F4S783CMEN;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P105;0105-05-02;Ingénierie sécu.& défense;Ingénierie de sécurité et de défense;MAA Action extérieure de l'État;Hors Personnel;71.0;;;1NEX901;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P361;0361-01-19;Bourses et aides;Bourses et aides;MCB Culture;Hors Personnel;28.0;;;1NEX706;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P541;541.0;La chaîne parlementaire;La Chaîne parlementaire;MPB Pouvoirs publics;Hors Personnel;;;;1PGM395;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P308;0308-06-01;Comm. accès aux docs adm.;Commission d'accès aux documents administratifs;MDC Direction de l'action du Gouvernement;Mixte;20.0;;;1NEX7237;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN35 Santé et prévention;P204;0204-16-04;Gestion des alertes et de;Gestion des alertes et des crises sanitaires;MSA Santé;Hors Personnel;64.0;;;1NEX10776;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN36 Travail, plein emploi et insertion;P155;0155-12-02;CEE;CEE;MTB Travail et emploi;Hors Personnel;22.0;;;1NEX10376;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN50 Transformation et fonction publiques;P148;0148-01;Formation des fonctionnai;Formation des fonctionnaires;MTR Transformation et fonction publiques;Mixte;;;;1ACT651;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN56 Solidarités, autonomie et personnes handicapées;P124;0124-10;Fonctionnement des servic;Fonctionnement des services;MSE Solidarité, insertion et égalité des chances;Hors Personnel;61.0;;;1ACT4022;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P169;0169-03-34;Action sociale en faveur;Action sociale en faveur du monde combattant : Office national des anciens combattants (ONAC);MMB Anciens combattants, mémoire et liens avec la Nation;Hors Personnel;34.0;;;1SSA184;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P134;0134-08-01;Conseil général de l'indu;Conseil général de l'industrie, de l'énergie et des technologies (CGIET);MDB Économie;Mixte;54.0;;;1NEX5742;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN35 Santé et prévention;P204;0204-15;Prévention des risques li;Prévention des risques liés à l'environnement et à l'alimentation;MSA Santé;Hors Personnel;;;;1ACT2753;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P334;0334-01-01;BnF;Bibliothèque nationale de France;MMA Médias, livre et industries culturelles;Hors Personnel;10.0;;;1NEX9494;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P143;0143-01;Mise en oeuvre de l'ensei;Mise en oeuvre de l'enseignement dans les établissements publics;MEC Enseignement scolaire;Mixte;;;;1ACT765;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P110;110.0;AideEcoFinDéveloppement;Aide économique et financière au développement;MAD Aide publique au développement;Hors Personnel;;;;1PGM228;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P176;0176-06-08;Soutien (autres dépenses);Soutien (autres dépenses) - Administration centrale et cabinets;MSB Sécurités;Personnel;66.0;;;1SRP1760608;
Dépenses_BG;2023.0;Action n'apparaissant PAS au PAP/RAP - T2 uniquement;BG;BG00;MIN09 Intérieur et outre-mer;P232;0232-99;Dépenses de personnel du;Dépenses de personnel du programme à reventiler;MAB Administration générale et territoriale de l'État;Personnel;99.0;;;1NEX4223;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P174;0174-02-01;Prime trans.énerg.;Prime transition énergétique;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;V0IZ4OIBMX;
Dépenses_CCF;2023.0;Action apparaissant au PAP/RAP;CCF;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P823;0823-01;Avances à des organismes;Avances à des organismes distincts de l'État et gérant des services publics;MZB Prêts et avances à divers services de l'État ou organismes gérant des services publics;Hors Personnel;10.0;1 Prêts et avances à divers services de l'État ou organismes gérant des services publics;890.0;1ACT1745;890-S01
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P135;0135-01-16;GDV-Evacuat. camp.;Gens du voyage - évacuation des campements;MVA Cohésion des territoires;Hors Personnel;;;;Z0NHSQPV4T;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P207;0207-02;Démarches interministérie;Démarches interministérielles et communication;MSB Sécurités;Hors Personnel;;;;1ACT1111;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P181;0181-10-26;Prév Risques naturels;Prévention des risques naturels (multirisques ou terrestres);MTA Écologie, développement et mobilité durables;Hors Personnel;;;;1M1I0P0YIQR;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P149;0149-24-01;Hydraulique agricole et o;Hydraulique agricole et ouvrages domaniaux;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;41.0;;;1NEX10711;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN06 Éducation nationale et  jeunesse;P214;0214-01-01;Dépenses de personnel con;"Dépenses de personnel concourant à l'action ""pilotage et mise en oeuvre des politiques éducatives""";MEC Enseignement scolaire;Personnel;10.0;;;1NEX4164;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P216;0216-06-13;Acc circ : matériels;Accidents de la circulation : dommages matériels;MAB Administration générale et territoriale de l'État;Hors Personnel;;;;1778P1Q2OL3;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P146;0146-07-25;C&C-SI Terre;Commander et conduire - Système d'information TERRE;MDA Défense;Hors Personnel;25.0;;;1SSA486;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P146;0146-09-80;Op.enMilieuHosti-MGCS;Opérer en milieu hostile - MGCS Système de combat terrestre principal;MDA Défense;Hors Personnel;;;;16OVP2UIMIZ;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P362;0362-09;Dot.Reg.inv;Dotation régionale d'investissement;MPR Plan de relance;Hors Personnel;;;;1AM86L7RCF3;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P192;0192-03-02;Plan de relance - Economi;Plan de relance - Economie numérique;MRA Recherche et enseignement supérieur;Hors Personnel;31.0;;;1NEX8539;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P162;0162-08-84;Enj socio-éco poll chlor.;Evaluer les enjeux socio-économiques de la pollution au chlordécone;MVA Cohésion des territoires;Hors Personnel;84.0;;;1NEX10078;
Dépenses_CCF;2023.0;Action apparaissant au PAP/RAP;CCF;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P813;0813-01;Relations avec l'Union de;Relations avec l'Union des Comores;MZA Accords monétaires internationaux;Hors Personnel;10.0;1 Accords monétaires internationaux;800.0;1ACT1743;800-S01
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P105;0105-06-10;Logistique diplomatique;Logistique diplomatique;MAA Action extérieure de l'État;Hors Personnel;89.0;;;1NEX913;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN10 Justice;P101;0101-01;Aide juridictionnelle;Aide juridictionnelle;MJA Justice;Hors Personnel;;;;1ACT846;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P129;0129-10-01;Direct. serv. adm. & fin.;Direction des services administratifs et financiers;MDC Direction de l'action du Gouvernement;Mixte;70.0;;;1NEX389;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P147;0147-01-20;DILCRA;Délégation interministérielle à la lutte contre le racisme et l'antisémitisme (DILCRA);MVA Cohésion des territoires;Hors Personnel;40.0;;;1NEX10521;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P146;0146-13;Sout. déf pays tiers;Soutien à l’effort de défense de pays tiers;MDA Défense;Hors Personnel;;;;24XHX9WYHV9;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN06 Éducation nationale et  jeunesse;P230;0230-02;Santé scolaire;Santé scolaire;MEC Enseignement scolaire;Mixte;15.0;;;1ACT762;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P348;0348-14-01;Résilience État;Résilience État;MTR Transformation et fonction publiques;Hors Personnel;;;;22G0EP15TTP;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN10 Justice;P101;0101-05;Indemnisation des avoués;Indemnisation des avoués;MJA Justice;Hors Personnel;37.0;;;1ACT4734;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P174;0174-05-03;CITEPA;Centre interprofessionnel technique d'études de la pollution atmosphérique (CITEPA);MTA Écologie, développement et mobilité durables;Hors Personnel;45.0;;;1NEX8579;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P178;0178-05-84;SIMu;Service interarmées des munitions;MDA Défense;Hors Personnel;;;;1SSA901;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P161;0161-11-03;Solidarité nationale;Solidarité nationale;MSB Sécurités;Hors Personnel;12.0;;;1NEX10104;
Dépenses_BA;2023.0;Action apparaissant au PAP/RAP;BA;BG00;MIN12 Services du Premier ministre;P623;0623-02;Info. admin. vie publique;Information administrative et vie publique;MXJ Publications officielles et information administrative;Hors Personnel;;;;1ACT3058;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P152;0152-03;Missions de police judici;Missions de police judiciaire et concours à la justice;MSB Sécurités;Personnel;;;;1ACT1024;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN10 Justice;P182;0182-01-16;EPM - SP;Milieu Fermé - Etablissements pénitentiaires pour mineurs - Secteur public;MJA Justice;Mixte;47.0;;;1NEX5586;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P424;0424-04;Soutien déploiement;Soutien au déploiement;MAV Investir pour la France de 2030;Hors Personnel;;;;19S6YTJZ07S;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN38 Enseignement supérieur et recherche;P231;0231-04;Pilotage Animation Prog;Pilotage et animation du programme;MRA Recherche et enseignement supérieur;Hors Personnel;30.0;;;1ACT978;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P174;0174-01;Politique de l'énergie;Politique de l'énergie;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;1ACT638;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P178;0178-01-10;Emploi des forces;Emploi des forces;MDA Défense;Hors Personnel;10.0;;;1SSA42;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P149;0149-26-02;ONF - Missions d'intérêt;ONF - Missions d'intérêt général;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;62.0;;;1NEX10729;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN50 Transformation et fonction publiques;P148;148.0;Fonction publique;Fonction publique;MTR Transformation et fonction publiques;Hors Personnel;;;;1PGM236;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN70 Armées;P212;0212-51-01;DGRIS/AC;DGRIS / Administration  centrale;MDA Défense;Personnel;5.0;;;1SSA1028;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN03 Agriculture et souveraineté alimentaire;P149;0149-21-03;Soutien à la production d;Soutien à la production de sucre dans les départements d'outre-mer;MAC Agriculture, alimentation, forêt et affaires rurales;Hors Personnel;13.0;;;1NEX10693;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN10 Justice;P182;0182-01-01;CEF - SP;Centres éducatifs fermés (CEF) - Secteur public;MJA Justice;Mixte;10.0;;;1NEX1192;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN10 Justice;P182;0182-04-01;ENPJJ - Site central;Ecole nationale de Protection judiciaire de la jeunesse - site central;MJA Justice;Mixte;45.0;;;1NEX1240;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P112;0112-13;Soutien aux Opérateurs;Soutien aux Opérateurs;MVA Cohésion des territoires;Hors Personnel;;;;TAY6KSO1RQ;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P134;134.0;DévEntreprises&Régulation;Développement des entreprises et régulations;MDB Économie;Mixte;;;;1PGM232;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P181;0181-14-02;Plan séisme Antilles;Plan séisme Antilles;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;17X6N713QFS;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P190;0190-17-02;Soutien NTE IFPEN;Soutien aux nouvelles technologies de l'énergie (IFPEN);MRA Recherche et enseignement supérieur;Hors Personnel;64.0;;;1SI1930;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P180;0180-02-15;Diffusion: exoné. charges;Aides à la diffusion : exonération des charges patronales pour les vendeurs-colporteurs et porteurs de presse;MMA Médias, livre et industries culturelles;Hors Personnel;26.0;;;1NEX8399;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P110;0110-03-10;AFD Traitement DetteDakar;AFD - Traitement de la dette des pays pauvres;MAD Aide publique au développement;Hors Personnel;;;;1NEX9172;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P200;0200-12-08;Acomptes crédit reduc IR;Acomptes de crédits et de réductions d'impôts sur le revenu;MRD Remboursements et dégrèvements;Hors Personnel;44.0;;;1SI1937;
