Nomenclature;Année;Type de ligne;Type de budget;Périmètre financier Chorus;Ministère;Programme;Code (programme, action ou sous-action);Libellé Chorus abrégé;Libellé complet;Mission;Type de dépenses;Code article d'éxécution;Section CAS/CCF;Compte CAS/CCF;Id Histo Tango;Code section Chorus
Dépenses_CAS;2023.0;Action apparaissant au PAP/RAP;CAS;BG00;MIN43 Transition énergétique;P794;0794-07;Transition énergétique;Transition énergétique;MYK Financement des aides aux collectivités pour l'électrification rurale;Hors Personnel;;1 Financement des aides aux collectivités pour l'électrification rurale;751.0;18BBFBZDRPE;751-S01
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P162;0162-04-45;développement territorial;Investir dans le développement territorial;MVA Cohésion des territoires;Hors Personnel;;;;1OJSTA74YNT;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P217;0217-18-03;Pers sanitair social P124;"Personnels relevant du programme ""Conduite et soutien des politiques sanitaires et sociales""";MTA Écologie, développement et mobilité durables;Personnel;95.0;;;1NEX7054;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P345;0345-15-03;Compléments de prix ARENH;Compléments de prix liés à l'accès régulé à l'électricité nucléaire historique;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;16G5IQ21LL4;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P105;0105-02-08;Contrib. org. eur.;Contributions aux organisations européennes;MAA Action extérieure de l'État;Hors Personnel;37.0;;;1NEX886;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P162;0162-04;Prog excep invest Corse;Plans d'investissement pour la Corse;MVA Cohésion des territoires;Hors Personnel;;;;1ACT1474;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN12 Services du Premier ministre;P205;0205-04-03;Polmar terre;Polmar terre;MTA Écologie, développement et mobilité durables;Hors Personnel;42.0;;;1NEX2809;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN56 Solidarités, autonomie et personnes handicapées;P304;0304-16-01;Services tutélaires;Services tutélaires;MSE Solidarité, insertion et égalité des chances;Hors Personnel;73.0;;;1NEX10345;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P176;0176-04;Police des étrangers et s;Police des étrangers et sûreté des transports internationaux;MSB Sécurités;Personnel;;;;1ACT1016;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN10 Justice;P107;0107-02;Accueil et accompagnement;Accueil et accompagnement des personnes placées sous main de justice;MJA Justice;Mixte;15.0;;;1ACT831;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P217;0217-07-05;Moyens HT2 RH;Moyens HT2 consacrés aux ressources humaines;MTA Écologie, développement et mobilité durables;Mixte;15.0;;;18DRGC9MRYR;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN38 Enseignement supérieur et recherche;P150;0150-14-01;Personnels act Immobilier;"Personnel concourant à l'action ""immobilier""";MRA Recherche et enseignement supérieur;Personnel;75.0;;;1NEX67;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN06 Éducation nationale et  jeunesse;P214;0214-09-04;Diplômes professionnels;Diplômes professionnels;MEC Enseignement scolaire;Mixte;53.0;;;1NEX9974;
Dépenses_BG;2023.0;Programme;BG;BG00;MIN35 Santé et prévention;P379;379.0;Comp sécu PNRR;Compensation à la Sécurité sociale du coût des dons de vaccins à des pays tiers et reversement des recettes de la Facilité pour la Relance et la Résilience (FRR) européenne au titre du volet « Ségur investissement » du plan national de relance et de résilience (PNRR);MSA Santé;Hors Personnel;;;;21CXQ2T3PF1;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN42 Sports et jeux olympiques et paralympiques;P219;0219-03;Prévention sport;Prévention par le sport et protection des sportifs;MSF Sport, jeunesse et vie associative;Mixte;30.0;;;1ACT1074;
Dépenses_BG;2023.0;Sous action apparaissant au PAP/RAP;BG;BG00;MIN43 Transition énergétique;P345;0345-12-01;Soutien cogénération ...;Soutien à la cogénération au gaz naturel et autres moyens thermiques;MTA Écologie, développement et mobilité durables;Hors Personnel;;;;16RCP2S5MUI;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN06 Éducation nationale et  jeunesse;P139;0139-08-03;Fonds sociaux de collèges;Fonds sociaux de collèges;MEC Enseignement scolaire;Hors Personnel;;;;1NEX1687;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN07 Économie, finances et souveraineté industrielle et numérique;P193;0193-01-01;CNES;Programmes nationaux du centre national d'études spatiales (CNES);MRA Recherche et enseignement supérieur;Hors Personnel;10.0;;;1NEX854;
Dépenses_BG;2023.0;Action apparaissant au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P181;0181-12;ADEME;Agence de l'environnement et de la maîtrise de l'énergie (ADEME);MTA Écologie, développement et mobilité durables;Hors Personnel;50.0;;;1ACT5437;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P361;0361-01-21;Ens sup form° pro Pat;Enseignement supérieur, insertion et formation professionnelle en matière de patrimoine;MCB Culture;Hors Personnel;80.0;;;1NEX9395;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN09 Intérieur et outre-mer;P138;0138-02-20;Aides à la qualification;Aides à la qualification professionnelle et à l'adaptation à l'emploi - RSMA Guadeloupe;MOA Outre-mer;Mixte;39.0;;;1NEX1391;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN23 Transition écologique et cohésion des territoires;P112;0112-11-01;CPER 2007-2014;CPER 2007-2014;MVA Cohésion des territoires;Hors Personnel;;;;VOVVMVYM4S;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN01 Europe et affaires étrangères;P105;0105-07-03;Rés.diplo.étr.str.horsMAE;Réseau diplomatique : postes à l'étranger - dépenses de structures hors ministère des Affaires étrangères;MAA Action extérieure de l'État;Hors Personnel;27.0;;;1NEX7963;
Dépenses_BG;2023.0;Sous action n'apparaissant PAS au PAP/RAP;BG;BG00;MIN02 Culture;P175;0175-04-11;ArchV Terr Constr° & ent;Archives territoriales - Construction, aménagement et entretien;MCB Culture;Hors Personnel;49.0;;;1NEX9253;
