Extraction du;Année;Budget;Code Ministère; Ministère;Code Programme; Programme;Code Catégorie d'emploi;Code Catégorie d'emploi;ETPT PLF 2023;ETPT Amendements  2023;ETPT LFI  2023;Code Mission;Mission
20221230_16_43_50;2023.0;BG;50.0;Transformation et fonction publiques;368.0;Conduite et pilotage de la transformation et de la fonction publiques;1127.0;Catégorie C;22.0;0.0;22.0;TR;Transformation et fonction publiques
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;152.0;Gendarmerie nationale;1174.0;Personnels administratifs cat A;157.5;0.0;157.5;SB;Sécurités
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;218.0;Conduite et pilotage des politiques économiques et financières;1027.0;Catégorie C;425.0;15.0;440.0;GA;Gestion des finances publiques
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1172.0;Volontaires (gendarmes);5.0;0.0;5.0;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;134.0;Développement des entreprises et régulations;1024.0;Catégorie A+;615.33;0.0;615.33;DB;Économie
20221230_16_43_50;2023.0;BA;23.0;Transition écologique et cohésion des territoires;613.0;Soutien aux prestations de l'aviation civile;1203.0;Ouvriers et personnels navigants;614.0;0.0;614.0;XC;Contrôle et exploitation aériens
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;156.0;Gestion fiscale et financière de l'État et du secteur public local;1027.0;Catégorie C;23946.0;-482.0;23464.0;GA;Gestion des finances publiques
20221230_16_43_50;2023.0;BG;56.0;Solidarités, autonomie et personnes handicapées;124.0;Conduite et soutien des politiques sanitaires et sociales;1373.0;A administratifs;2158.0;16.0;2174.0;SE;Solidarité, insertion et égalité des chances
20221230_16_43_50;2023.0;BG;70.0;Armées;212.0;Soutien de la politique de la défense;1092.0;Sous-officiers;93544.12;0.0;93544.12;DA;Défense
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;354.0;Administration territoriale de l'État;1175.0;Personnels administratifs cat B;7663.62;0.0;7663.62;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;232.0;Vie politique;1176.0;Personnels administratifs cat C;9.0;0.0;9.0;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;38.0;Enseignement supérieur et recherche;150.0;Formations supérieures et recherche universitaire;1321.0;Autres enseignants et assimilés;912.0;0.0;912.0;RA;Recherche et enseignement supérieur
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;156.0;Gestion fiscale et financière de l'État et du secteur public local;1025.0;Catégorie A;29659.0;28.0;29687.0;GA;Gestion des finances publiques
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;214.0;Soutien de la politique de l'éducation nationale;1114.0;Personnels de la jeunesse et des sports;1183.0;0.0;1183.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;152.0;Gendarmerie nationale;1177.0;Officiers de gendarmerie;5995.12;0.0;5995.12;SB;Sécurités
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;161.0;Sécurité civile;1162.0;Personnels techniques;495.83;0.0;495.83;SB;Sécurités
20221230_16_43_50;2023.0;BG;23.0;Transition écologique et cohésion des territoires;181.0;Prévention des risques;1053.0;Catégorie B;33.0;0.0;33.0;TA;Écologie, développement et mobilité durables
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1176.0;Personnels administratifs cat C;2198.93;0.0;2198.93;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1177.0;Officiers de gendarmerie;28.0;0.0;28.0;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1167.0;Corps d'encadrement et d'application (police nationale);32.83;0.0;32.83;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;3.0;Agriculture et souveraineté alimentaire;142.0;Enseignement supérieur et recherche agricoles;1013.0;Enseignants;1093.0;0.0;1093.0;RA;Recherche et enseignement supérieur
20221230_16_43_50;2023.0;BG;70.0;Armées;212.0;Soutien de la politique de la défense;1090.0;Ouvriers de l'Etat;10920.76;0.0;10920.76;DA;Défense
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;209.0;Solidarité à l'égard des pays en développement;1101.0;Titulaires et CDI en administration centrale;160.68;0.0;160.68;AD;Aide publique au développement
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;220.0;Statistiques et études économiques;1026.0;Catégorie B;1948.0;0.0;1948.0;DB;Économie
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;176.0;Police nationale;1169.0;Policiers adjoints;9145.6;0.0;9145.6;SB;Sécurités
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;354.0;Administration territoriale de l'État;1176.0;Personnels administratifs cat C;10398.33;-6.8;10391.53;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1173.0;Inspecteurs et délégués du permis du conduire;1362.13;0.0;1362.13;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1179.0;Sous-officiers de gendarmerie;28.0;0.0;28.0;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;126.0;Conseil économique, social et environnemental;1136.0;Catégorie B;22.0;0.0;22.0;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;50.0;Transformation et fonction publiques;368.0;Conduite et pilotage de la transformation et de la fonction publiques;1126.0;Catégorie B;30.0;0.0;30.0;TR;Transformation et fonction publiques
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;230.0;Vie de l'élève;1108.0;Enseignants stagiaires;576.67;0.0;576.67;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;10.0;Justice;166.0;Justice judiciaire;1041.0;C administratifs et techniques;9024.73;530.0;9554.73;JA;Justice
20221230_16_43_50;2023.0;BA;12.0;Services du Premier ministre;624.0;Pilotage et ressources humaines;1207.0;Catégorie B;16.92;0.0;16.92;XJ;Publications officielles et information administrative
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;176.0;Police nationale;1175.0;Personnels administratifs cat B;2692.86;0.0;2692.86;SB;Sécurités
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;308.0;Protection des droits et libertés;1138.0;Contractuels;452.5;1.0;453.5;DC;Direction de l'action du Gouvernement
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;105.0;Action de la France en Europe et dans le monde;1104.0;Militaires;643.23;0.0;643.23;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;230.0;Vie de l'élève;1117.0;Personnels éducatifs et médicaux sociaux;25116.89;0.0;25116.89;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;3.0;Agriculture et souveraineté alimentaire;143.0;Enseignement technique agricole;1014.0;A - Administratifs et Techniques;1081.0;0.0;1081.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;141.0;Enseignement scolaire public du second degré;1106.0;Enseignants du 1er degré;10961.0;0.0;10961.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;230.0;Vie de l'élève;1112.0;Personnels administratif, technique et de service;1287.0;0.0;1287.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;302.0;Facilitation et sécurisation des échanges;1026.0;Catégorie B;7291.44;-36.0;7255.44;GA;Gestion des finances publiques
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;158.0;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;1138.0;Contractuels;5.0;0.0;5.0;MB;Anciens combattants, mémoire et liens avec la Nation
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;138.0;Emploi outre-mer;1162.0;Personnels techniques;29.0;0.0;29.0;OA;Outre-mer
20221230_16_43_50;2023.0;BG;10.0;Justice;335.0;Conseil supérieur de la magistrature;1041.0;C administratifs et techniques;9.0;0.0;9.0;JA;Justice
20221230_16_43_50;2023.0;BG;36.0;Travail, plein emploi et insertion;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;1073.0;A administratifs;1627.0;-2.0;1625.0;TB;Travail et emploi
20221230_16_43_50;2023.0;BG;3.0;Agriculture et souveraineté alimentaire;206.0;Sécurité et qualité sanitaires de l'alimentation;1015.0;B et C - Administratifs et Techniques;3826.0;-2.0;3824.0;AC;Agriculture, alimentation, forêt et affaires rurales
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;129.0;Coordination du travail gouvernemental;1138.0;Contractuels;1393.5;20.0;1413.5;DC;Direction de l'action du Gouvernement
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;176.0;Police nationale;1176.0;Personnels administratifs cat C;8753.97;0.0;8753.97;SB;Sécurités
20221230_16_43_50;2023.0;BG;10.0;Justice;335.0;Conseil supérieur de la magistrature;1043.0;B métiers du greffe et du commandement;4.0;0.0;4.0;JA;Justice
20221230_16_43_50;2023.0;BG;36.0;Travail, plein emploi et insertion;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;1074.0;A techniques;2796.0;0.0;2796.0;TB;Travail et emploi
20221230_16_43_50;2023.0;BG;10.0;Justice;335.0;Conseil supérieur de la magistrature;1039.0;B administratifs et techniques;5.0;0.0;5.0;JA;Justice
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;232.0;Vie politique;1175.0;Personnels administratifs cat B;8.0;0.0;8.0;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;138.0;Emploi outre-mer;1164.0;Militaires (hors gendarmes);1234.0;0.0;1234.0;OA;Outre-mer
20221230_16_43_50;2023.0;BG;3.0;Agriculture et souveraineté alimentaire;215.0;Conduite et pilotage des politiques de l'agriculture;1014.0;A - Administratifs et Techniques;2793.0;1.0;2794.0;AC;Agriculture, alimentation, forêt et affaires rurales
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;134.0;Développement des entreprises et régulations;1025.0;Catégorie A;2917.4;36.0;2953.4;DB;Économie
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;151.0;Français à l'étranger et affaires consulaires;1101.0;Titulaires et CDI en administration centrale;519.08;0.0;519.08;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BA;23.0;Transition écologique et cohésion des territoires;613.0;Soutien aux prestations de l'aviation civile;1202.0;Ingénieurs électroniciens des systèmes de sécurité aérienne et techniciens supérieurs des études et de l'exploitation de l'aviation civile;3097.0;0.0;3097.0;XC;Contrôle et exploitation aériens
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;165.0;Conseil d'État et autres juridictions administratives;1131.0;Magistrats de l'ordre administratif;1297.03;0.0;1297.03;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;10.0;Justice;107.0;Administration pénitentiaire;1040.0;Personnels de surveillance C;29844.07;0.0;29844.07;JA;Justice
20221230_16_43_50;2023.0;BA;12.0;Services du Premier ministre;624.0;Pilotage et ressources humaines;1205.0;Catégorie A+;8.0;0.0;8.0;XJ;Publications officielles et information administrative
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;218.0;Conduite et pilotage des politiques économiques et financières;1024.0;Catégorie A+;792.0;0.0;792.0;GA;Gestion des finances publiques
20221230_16_43_50;2023.0;BG;10.0;Justice;335.0;Conseil supérieur de la magistrature;1036.0;Magistrats de l'ordre judiciaire;5.0;0.0;5.0;JA;Justice
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;140.0;Enseignement scolaire public du premier degré;1106.0;Enseignants du 1er degré;328637.0;0.0;328637.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;10.0;Justice;335.0;Conseil supérieur de la magistrature;1037.0;Personnels d'encadrement;1.0;0.0;1.0;JA;Justice
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;165.0;Conseil d'État et autres juridictions administratives;1136.0;Catégorie B;459.02;0.0;459.02;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;176.0;Police nationale;1166.0;Hauts fonctionnaires, corps de conception et de direction et corps de commandement (police nationale);8236.45;0.0;8236.45;SB;Sécurités
20221230_16_43_50;2023.0;BG;36.0;Travail, plein emploi et insertion;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;1075.0;B administratifs;936.0;-1.0;935.0;TB;Travail et emploi
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;161.0;Sécurité civile;1167.0;Corps d'encadrement et d'application (police nationale);302.33;0.0;302.33;SB;Sécurités
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;230.0;Vie de l'élève;1116.0;Assistants d'éducation;5500.0;0.0;5500.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;151.0;Français à l'étranger et affaires consulaires;1103.0;CDD et volontaires internationaux;99.87;0.0;99.87;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BG;23.0;Transition écologique et cohésion des territoires;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;1054.0;Catégorie C;9624.0;-80.5;9543.5;TA;Écologie, développement et mobilité durables
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;141.0;Enseignement scolaire public du second degré;1108.0;Enseignants stagiaires;10370.0;0.0;10370.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;10.0;Justice;107.0;Administration pénitentiaire;1037.0;Personnels d'encadrement;2720.37;-2.0;2718.37;JA;Justice
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;164.0;Cour des comptes et autres juridictions financières;1135.0;Catégorie A;542.9;0.0;542.9;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;2.0;Culture;224.0;Soutien aux politiques du ministère de la culture;1008.0;Filière scientifique;2015.42;0.8;2016.22;CB;Culture
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;138.0;Emploi outre-mer;1181.0;Personnels administratifs Outre-Mer;46.0;0.0;46.0;OA;Outre-mer
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;152.0;Gendarmerie nationale;1178.0;Officiers du corps technique et administratif de la gendarmerie nationale;577.87;0.0;577.87;SB;Sécurités
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;209.0;Solidarité à l'égard des pays en développement;1103.0;CDD et volontaires internationaux;1011.45;0.0;1011.45;AD;Aide publique au développement
20221230_16_43_50;2023.0;BG;10.0;Justice;310.0;Conduite et pilotage de la politique de la justice;1039.0;B administratifs et techniques;402.28;0.0;402.28;JA;Justice
20221230_16_43_50;2023.0;BG;10.0;Justice;310.0;Conduite et pilotage de la politique de la justice;1036.0;Magistrats de l'ordre judiciaire;224.0;0.0;224.0;JA;Justice
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;165.0;Conseil d'État et autres juridictions administratives;1137.0;Catégorie C;1273.98;0.0;1273.98;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;134.0;Développement des entreprises et régulations;1026.0;Catégorie B;812.63;0.0;812.63;DB;Économie
20221230_16_43_50;2023.0;BG;10.0;Justice;107.0;Administration pénitentiaire;1041.0;C administratifs et techniques;3279.24;0.0;3279.24;JA;Justice
20221230_16_43_50;2023.0;BG;10.0;Justice;310.0;Conduite et pilotage de la politique de la justice;1043.0;B métiers du greffe et du commandement;30.0;0.0;30.0;JA;Justice
20221230_16_43_50;2023.0;BG;2.0;Culture;224.0;Soutien aux politiques du ministère de la culture;1006.0;Filière technique et d'enseignement;2348.0;0.0;2348.0;CB;Culture
20221230_16_43_50;2023.0;BG;6.0;Éducation nationale et  jeunesse;214.0;Soutien de la politique de l'éducation nationale;1107.0;Enseignants du 2nd degré;86.0;0.0;86.0;EC;Enseignement scolaire
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;152.0;Gendarmerie nationale;1162.0;Personnels techniques;1970.98;0.0;1970.98;SB;Sécurités
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;308.0;Protection des droits et libertés;1135.0;Catégorie A;110.5;0.0;110.5;DC;Direction de l'action du Gouvernement
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;105.0;Action de la France en Europe et dans le monde;1103.0;CDD et volontaires internationaux;579.9;0.0;579.9;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BG;23.0;Transition écologique et cohésion des territoires;181.0;Prévention des risques;1052.0;Catégorie A;394.0;0.0;394.0;TA;Écologie, développement et mobilité durables
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;209.0;Solidarité à l'égard des pays en développement;1102.0;Titulaires et CDI dans le réseau;88.05;0.0;88.05;AD;Aide publique au développement
20221230_16_43_50;2023.0;BG;50.0;Transformation et fonction publiques;368.0;Conduite et pilotage de la transformation et de la fonction publiques;1125.0;Catégorie A;334.0;0.0;334.0;TR;Transformation et fonction publiques
20221230_16_43_50;2023.0;BG;36.0;Travail, plein emploi et insertion;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;1072.0;Emplois fonctionnels;70.0;0.0;70.0;TB;Travail et emploi
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;216.0;Conduite et pilotage des politiques de l'intérieur;1174.0;Personnels administratifs cat A;1677.83;1.0;1678.83;AB;Administration générale et territoriale de l'État
20221230_16_43_50;2023.0;BG;1.0;Europe et affaires étrangères;185.0;Diplomatie culturelle et d'influence;1105.0;Agents de droit local;96.88;0.0;96.88;AA;Action extérieure de l'État
20221230_16_43_50;2023.0;BA;23.0;Transition écologique et cohésion des territoires;613.0;Soutien aux prestations de l'aviation civile;1201.0;Ingénieurs du contrôle de la navigation aérienne;3954.0;0.0;3954.0;XC;Contrôle et exploitation aériens
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;152.0;Gendarmerie nationale;1165.0;Ouvriers d'Etat;383.34;0.0;383.34;SB;Sécurités
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;176.0;Police nationale;1174.0;Personnels administratifs cat A;1305.81;0.0;1305.81;SB;Sécurités
20221230_16_43_50;2023.0;BG;56.0;Solidarités, autonomie et personnes handicapées;124.0;Conduite et soutien des politiques sanitaires et sociales;1372.0;Emplois fonctionnels;92.0;0.0;92.0;SE;Solidarité, insertion et égalité des chances
20221230_16_43_50;2023.0;BG;56.0;Solidarités, autonomie et personnes handicapées;124.0;Conduite et soutien des politiques sanitaires et sociales;1375.0;B administratifs;1107.0;21.0;1128.0;SE;Solidarité, insertion et égalité des chances
20221230_16_43_50;2023.0;BG;23.0;Transition écologique et cohésion des territoires;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;1052.0;Catégorie A;12016.0;-24.0;11992.0;TA;Écologie, développement et mobilité durables
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;308.0;Protection des droits et libertés;1137.0;Catégorie C;28.0;0.0;28.0;DC;Direction de l'action du Gouvernement
20221230_16_43_50;2023.0;BG;56.0;Solidarités, autonomie et personnes handicapées;124.0;Conduite et soutien des politiques sanitaires et sociales;1374.0;A techniques;696.0;0.0;696.0;SE;Solidarité, insertion et égalité des chances
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;126.0;Conseil économique, social et environnemental;1134.0;Catégorie A +;19.0;0.0;19.0;CA;Conseil et contrôle de l'État
20221230_16_43_50;2023.0;BG;9.0;Intérieur et outre-mer;161.0;Sécurité civile;1175.0;Personnels administratifs cat B;37.9;0.0;37.9;SB;Sécurités
20221230_16_43_50;2023.0;BG;12.0;Services du Premier ministre;158.0;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;1137.0;Catégorie C;3.0;0.0;3.0;MB;Anciens combattants, mémoire et liens avec la Nation
20221230_16_43_50;2023.0;BG;7.0;Économie, finances et souveraineté industrielle et numérique;220.0;Statistiques et études économiques;1027.0;Catégorie C;1473.0;0.0;1473.0;DB;Économie
