Nature juridique du bénéficiaire;;;;Rattachement d'un operateur;;Bénéficiaire de la taxe;;Taxe affectée;;;;;;;;;;;Référence juridique;
Secteur;Catégorie d'opérateur ou répartition nature juridique;Catégorie d'opérateur ou nature juridique;Numéro SIREN;Mission;Programme;Code;Libellé;Code;Libellé;Exécution 2018;Plafond 2018;Reversement BG 2018;Exécution 2019;Plafond 2019;Reversement BG 2019;Exécution 2020;Plafond 2020;Reversement BG 2020;Début du plafonnement;Référence juridique
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;130014442;;;43;AGRASC;62;Fraction des produits annuels de la vente de biens confisqués;27 700 000;6 306 000;21 394 000;133 300 000;6 306 000;126 994 000;26 300 000;1 306 000;24 994 000;LFI 2012;Art. 706-163 du Code de la procédure pénale
Autres bénéficiaires;Associations;Association déclarée;784671497;;;91;ANFA - Association nationale pour la formation automobile;87;Taxe pour le développement de la formation professionnelle dans les métiers de la réparation de l'automobile, du cycle et du motocycle;30 843 000;;;31 922 505;;;32 656 722;;;;Art. 1609 sexvicies I du CCGI
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;130022338;;;92;ANSP - Agence nationale de santé publique;90;Contribution perçue au profit de l'Institut national de prévention et d'éducation pour la santé (INPES);0;;;0;;;0;;;;Art. 1609 octovicies du CGI et art. L. 2133-1 du Code de la santé publique
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180034027;Immigration, asile et intégration;104 Intégration et accès à la nationalité française;42;OFII - Office français de l'immigration et de l'intégration;206;Redevance perçue à l’occasion de l’introduction des familles étrangères en France;749 470;;;805 785;;;805 785;;;;Art. R 421-29 du CESEDA
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;;;;126;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";140;Redevance due par les titulaires de titres d'exploitation de mines d'hydrocarbures liquides ou gazeux;1 196 968;;;1 123 345;;;1 123 345;;;;Art. L. 132-16 du Code minier
Secteur local;Communes;Commune et commune nouvelle;;;;129;Communes;157;Impôt sur les spectacles, jeux et divertissements;278 121 339;;;278 121 339;;;278 121 339;;;;Art. 1559 à 1566 du CGI
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;;;;44;FNAL - Fonds national d'aide au logement;21;Taxe annuelle sur les locaux à usage de bureaux, les locaux commerciaux, les locaux de stockage et les surfaces de stationnement annexées à ces catégories de locaux perçue dans la région Ile-de-France;116 100 000;116 100 000;0;116 100 000;116 100 000;0;116 100 000;116 100 000;0;LFR 2016 et LFI 2017;Art. 231 ter du CGI, 1 du A du XI de l'article 36 de la LFI 2017
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180035065;;;111;CNAF;128;Taxe spéciale sur les conventions d'assurance automobile;1 025 000 000;;;1 030 225 000;;;1 045 678 375;;;;Art. 991 à 1004 du CGI
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;507679033;;;81;Etablissement public foncier local Alsace (ex du Bas Rhin);20;Taxes spéciales d'équipement;3 955 432;;;7 000 000;;;8 400 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;321549941;;;30;Comité de développement et de promotion de l'habillement - DEFI;38;Taxe pour le développement des industries de l'habillement;9 950 000;10 000 000;0;9 300 000;9 381 000;0;9 300 000;9 381 000;0;LFI 2012;Art. 71 D de la LFR 2003 modifié par l'art. 44 de la LFI 2005
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère industriel ou commercial non doté d'un comptable public;390199669;Écologie, développement et mobilité durables;174 Énergie, climat et après-mines;21;ANDRA - Agence nationale pour la gestion des déchets radioactifs;29;Taxe additionnelle à la taxe sur les installations nucléaires de base - Recherche;65 072 400;65 000 000;72 400;65 072 400;65 000 000;72 400;64 154 900;55 000 000;9 154 900;LFI 2012;Art. 43 V de la LFI 2000
Autres bénéficiaires;Autres personnes morales de droit privé;Société à responsabilité limitée (sans autre indication);;;;190;Filière de responsabilité élargie du producteur (REP) relative aux navires de plaisance et de sport hors d’usage (NPSHU);31;Droit de francisation et de navigation (DAFN);Inexistant en 2018;;;900 000;;;900 000;;;;L.541-10-10 du Code de l'environnement
Autres bénéficiaires;Associations;Association déclarée;784396426;;;12;Association pour le soutien du théâtre privé;17;Taxe sur les spectacles perçue au profit de l'Association pour le soutien du théâtre privé;8 000 000;8 000 000;0;8 000 000;8 000 000;0;8 000 000;8 000 000;0;LFI 2012;Art. 77 de la LFR 2003
Autres bénéficiaires;Associations;Association déclarée;401415500;;;191;France Galop et la société d’encouragement à l’élevage du cheval français (SECF);269;Redevances sur les parties hippique;69 000 000;;;69 000 000;;;69 000 000;;;;Art. 1609 Tertricies du CGI
Organismes d'administration centrale ;Autres personnes morales de droit public dépendant de l'Etat;Autorité administrative indépendante;110000239;;;38;AMF - Autorité des marchés financiers;48;Droits et contributions pour frais de contrôle;110 067 000;94 000 000;16 067 000;104 398 000;96 500 000;7 898 000;106 198 000;99 000 000;7 198 000;LFI 2014;Art. L621-5-3 et D621-27 à D621-30 et suiv. du Code monétaire et financier
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;451440275;;;66;Etablissement public foncier local du département de la Haute-Savoie;20;Taxes spéciales d'équipement;7 960 098;;;8 100 000;;;8 200 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Secteur local;Départements;Département;;;;147;Départements (part départementale);197;Taxe départementale de publicité foncière sur les mutations à titres onéreux;11 392 495 686;;;11 392 495 686;;;11 392 495 686;;;;Art. 1594 A du CGI
Secteur local;Établissement public administratif local;(Autre) Établissement public administratif local;287500078;;;178;STIF - Syndicat des transports d'Ile de France STIF;242;Versement transport dû par les entreprises de plus de 9 salariés implantées en Ile de France;Inexistant en 2018;;;Inexistant en 2019;;;Inexistant en 2020;;;;Art L2531-2 du Code général des collectivités territoriales
Autres bénéficiaires;Associations;Association déclarée;775571268;;;28;Francéclat;36;Taxe pour le développement des industries de l'horlogerie, bijouterie, joaillerie, orfèvrerie et arts de la table;13 300 000;13 500 000;0;12 000 000;12 477 000;0;12 000 000;12 477 000;0;LFI 2012;Art. 71 C de la LFR 2003 modifié par l'art. 44 de la LFI 2005 et par l'art. 110 de la LFI 2007
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;529370926;;;85;Etablissement public foncier local de Castre Mazamet;20;Taxes spéciales d'équipement;1 629 016;;;800 000;;;Inexistant en 2020;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;301365847;;;59;Etablissement public foncier de Lorraine;20;Taxes spéciales d'équipement;23 000 000;25 275 000;0;24 000 000;24 000 000;0;19 500 000;19 500 000;0;LFR-I 2014 et de la LFI 2015;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Autres bénéficiaires;Associations;Association déclarée;810158956;;;188;AGFPN - Association de Gestion du Fonds Paritaire National – AGFPN.;264;Contribution patronale au dialogue social (0,016%);92 600 000;;;95 841 000;;;98 045 343;;;;Art. L2135-9 à L2135-18 du code du travail
Secteur local;Communes;Commune et commune nouvelle;;;;136;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part communale;183;Taxe de séjour, taxe de séjour forfaitaire;225 473 913;;;225 473 913;;;225 473 913;;;;Art. L2333-26 à L2333-46 du Code général des collectivités territoriales
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180092272;Cohésion des territoires;135 Urbanisme, territoires et amélioration de l'habitat;110;CGLLS - Caisse de garantie du logement locatif social;122;Cotisation additionnelle versée par les organismes HLM et les SEM;130 000 000;;;132 500 000;;;132 500 000;;;;Art. L452-4-1 du Code de la construction et de l'habitation
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;775594815;;;181;Centre technique de l’industrie des papiers, cartons et celluloses;246;Taxe pour le développement des industries de fabrication du papier, du carton et de la pâte de cellulose.;1 351 000;3 100 000;0;1 300 000;2 607 000;0;2 400 000;2 607 000;0;LFR 2017 et LFI 2018; bis de l’article 71 de la loi de finances rectificative pour 2003 (n° 2003-1312 du 30 décembre 2003)
Autres bénéficiaires;Autres personnes morales de droit privé;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle;824541148;;;57;Action Logement Services;81;Participation des employeurs à l'effort de construction (PEEC);1 796 000 000;;;1 563 000 000;;;1 602 000 000;;;;Art. L. 313-1 du Code de la construction et de l'habitation
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180092173;;;118;Fonds CMU - Fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;133;Fraction de Taxe de solidarité additionnelle (TSA);2 700 500 000;;;2 768 000 000;;;2 794 500 000;;;;Art. L. 862-4 du Code de la sécurité sociale
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180014045;;;114;Centre national de la fonction publique territoriale (CNFPT);131;Cotisation obligatoire;344 691 277;;;347 104 115;;;349 880 948;;;;Art. 12-2 de la loi n°84-53 du 26 janvier 1984
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;524110921;;;80;Etablissement public foncier de Vendée;20;Taxes spéciales d'équipement;9 000 000;9 890 000;0;9 400 000;9 400 000;0;7 400 000;7 400 000;0;LFR-I 2014 et de la LFI 2015;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;754078475;;;88;Etablissement public foncier local de Loire Atlantique;20;Taxes spéciales d'équipement;Inexistant en 2018;;;Inexistant en 2019;;;Inexistant en 2020;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Autres bénéficiaires;Associations;Association déclarée;;;;109;CFA - Centres de formation des apprentis;120;Contribution supplémentaire à l'apprentissage - versements aux CFA;270 943 589;;;280 426 615;;;Inexistant en 2020;;;;Article 1609 quinvicies du CGI
Secteur local;Organismes consulaires;Organisme consulaire;;;;32;Chambres de commerce et d'industrie de région (CCI-R);42;TA-CFE - fraction CCI-R de la Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambres de commerce et d’industrie de région;607 000 000;549 000 000;58 000 000;607 000 000;449 000 000;158 000 000;507 000 000;349 000 000;158 000 000;LFI 2013 et de la LFR-III 2012;Art. 1600 (I et II) du CGI (modifié par l'art. 9 de la loi n° 2010-853 de refonte du réseau consulaire)
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180046039;Médias, livre et industries culturelles;334 Livre et industries culturelles;37;ANFr - Agence nationale des fréquences;270;Taxe applicable aux radiomoteurs;Inexistant en 2018;;;Inexistant en 2019;;;Inexistant en 2020;;;;B du VI de l'art. 45 de la loi de finances pour 1987
Autres bénéficiaires;Associations;Association déclarée;;;;174;Personne publique assurant la gestion de l'espace naturel protégé concerné ou la commune d'implantation de l'espace naturel protégé;234;Taxe sur les passagers maritimes embarqués à destination d'espaces naturels protégés;3 483 368;;;3 000 000;;;3 000 000;;;;"Art. 285 quater du Code des douanes; décret n°96-25 du 1er janvier 1996 (modalités); art. D321-15 du Code de l'environnement (liste des sites); arrêtés du 20 août 1996 (tarif et modalités)"
Secteur local;Départements;Département;;;;147;Départements (part départementale);192;Droits départementaux d'enregistrement sur les mutations à titre onéreux d'immeubles;488 079 622;;;488 079 622;;;488 079 622;;;;Art 1594 A du CGI
Secteur local;Régions;Région;;;;156;Régions;215;Taxe intérieure de consommation sur les produits énergétiques (TICPE) - part Grenelle;604 000 000;;;583 000 000;;;577 000 000;;;;Art. 94 de la LFI 2010, art. 11 et 12 de la loi n° 2009-967 du 3 août 2009 de programmation relative à la mise en œuvre du Grenelle de l'environnement, et art. 265 A bis du Code des douanes
