Nature juridique du bénéficiaire;;;;Rattachement d'un operateur;;Bénéficiaire de la taxe;;Taxe affectée;;;;;;;;;;;Référence juridique;
Secteur;Catégorie d'opérateur ou répartition nature juridique;Catégorie d'opérateur ou nature juridique;Numéro SIREN;Mission;Programme;Code;Libellé;Code;Libellé;Exécution 2018;Plafond 2018;Reversement BG 2018;Exécution 2019;Plafond 2019;Reversement BG 2019;Exécution 2020;Plafond 2020;Reversement BG 2020;Début du plafonnement;Référence juridique
Organismes d'administration centrale ;Opérateurs État;Autre établissement public national administratif à compétence territoriale limitée;183100064;Écologie, développement et mobilité durables;113 Paysages, eau et biodiversité;24;Agences de l'eau;32;Taxe pour obstacle sur les cours d'eau, taxe pour stockage d'eau en période d'étiage, taxe pour la protection du milieu aquatique, redevance pour pollutions diffuses (sauf fraction ONEMA) , Redevances pour pollution de l'eau et redevance pour modernisation des réseaux de collecte, 'Redevances pour pollution de l'eau et redevance pour modernisation des réseaux de collecte;2 264 212 698;2 280 000 000;0;2 152 000 000;2 105 000 000;47 000 000;2 135 000 000;2 105 000 000;30 000 000;LFR 2015 et de la LFI 2016;Art. L213-10, L213-10-8 et L213-10-10 à L213-10-12 du Code de l’environnement
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;143;Communes et EPCI (établissements publics de coopération intercommunale) situés dans un rayon maximal autour de l'accès principal aux installations de stockage;179;"TA-TINB - Taxe additionnelle à la taxe sur les installations nucléaires de base dite ""de stockage""";3 300 000;;;3 300 000;;;3 300 000;;;;Art. 2 de la LFI 2010
Autres bénéficiaires;Autres personnes morales de droit privé;Autre personne morale de droit privé;440656247;;;148;VIVEA - Fonds pour la formation des entrepreneurs du vivant;1;PEFPC : Participation au financement de la formation des professions non salariées (Entreprises du Vivant, agriculture) correspondant à 0,15% du montant annuel du plafond de la SS;58 974 314;;;61 038 415;;;62 442 299;;;;Art. L. 6331-53 du Code du travail (agrément conjoint travail et peche)
Autres bénéficiaires;Associations;Fondation;413812827;;;160;Fondation du patrimoine;220;Fraction du produit des successions en déshérence;4 000 000;;;4 000 000;;;4 000 000;;;;Art. 7 de la loi n°96-590 du 2 juillet 1996 et décret n°2004-868 du 26 août 2004
Autres bénéficiaires;Associations;Association déclarée;775682321;;;112;Comité de gestion des œuvres sociales des personnels hospitaliers (CGOS);129;Cotisation obligatoire;384 491 219;;;387 957 668;;;391 061 329;;;;Art. 116-1 de la loi n°86-33 du 9 janvier 1986
Secteur local;Communes;Commune et commune nouvelle;;;;136;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part communale;184;Taxe de ski de fond;2 643 826;;;2 643 826;;;2 643 826;;;;Art. L2333-81 du Code général des collectivités territoriales
Secteur local;Régions;Région;237500079;;;176;Région Ile-de-France;21;Taxe annuelle sur les locaux à usage de bureaux, les locaux commerciaux, les locaux de stockage et les surfaces de stationnement annexées à ces catégories de locaux perçue dans la région Ile-de-France;212 938 800;;;214 000 800;;;215 000 800;;;;Art. 231 ter du CGI (affectation partielle art. L4414-7 du Code général des collectivités locales)
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130024565;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189;France compétences;265;Contribution unique à la formation professionnelle et à l'alternance;Inexistant en 2018;;;Inexistant en 2019;;;4 500 000 000;9 475 409 000;0;PLF 2020;L.6131-2 du Code du travail
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;102;CCMSA (non salariés-maladie);117;Taxe sur les boissons sucrées;375 372 825;;;434 126 553;;;441 072 578;;;;Art. 1613 ter du CGI
Secteur local;Communes;Commune et commune nouvelle;;;;136;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part communale;186;Taxes d'enlèvement des ordures ménagères;619 719 965;;;619 719 965;;;619 719 965;;;;Art. 1520 à 1526 du CGI
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180035024;;;99;CNAMTS;103;Contribution due par les entreprises fabriquant ou exploitant des dispositifs médicaux sur leurs dépenses de publicité;47 403 526;;;48 636 504;;;49 852 416;;;;Art. L. 245-5-1 à L. 245-5-5 du Code de la sécurité sociale
Secteur local;Départements;Département;;;;133;Départements d'Outre-mer;173;Droits de consommation sur les tabacs (DOM);219 000 000;;;219 000 000;;;219 000 000;;;;Art. 268 du Code des douanes
Autres bénéficiaires;Associations;Association déclarée;775692015;;;58;AFT - Association pour le développement de la formation professionnelle dans les transports;77;Taxe destinée à financer le développement des actions de formation professionnelle dans les transports routiers;62 000 000;;;62 000 000;;;63 426 000;;;;Art. 1635 bis M du CGI
Secteur local;Communes;Commune et commune nouvelle;;;;136;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part communale;188;Taxes sur les friches commerciales;76 000 000;;;78 000 000;;;81 000 000;;;;Art. 1530 du CGI
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;;;;126;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";139;Contribution sociale de solidarité des sociétés (C3S);3 761 656 081;;;3 910 000 000;;;4 012 163 241;;;;Art. L651-1 à L651-9 du Code de la sécurité sociale
Secteur local;Communes;Commune et commune nouvelle;;;;130;Communes concernées;166;Fraction du Prélèvement sur les mises de jeux de cercle en ligne affectée aux communes dans le ressort territorial desquelles sont ouverts au public un ou plusieurs casinos;10 000 000;;;10 000 000;;;10 000 000;;;;Art. 302 bis ZI du CGI et art. 47 de la loi n°2010-476 du 12 mai 2010 relative à l’ouverture à la concurrence et à la régulation du secteur des jeux d’argent et de hasard en ligne
Autres bénéficiaires;Associations;Association déclarée;;;;173;OPCA - Organismes paritaires collecteurs agréés;232;"PEFPC : Participation des entreprises de moins de 10 salariés au développement de la formation professionnelle continue [0,55% des rémunérations] (contrats et périodes de professionnalisation - DIF; Plan de formation; hors CIF-CDD)";577 886 634;;;598 112 666;;;611 869 257;;;;Art. L. 6331-2 du Code du travail
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130006364;Agriculture, alimentation, forêt et affaires rurales;149 Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;3;France Agrimer;253;Taxe sur les bois et plants de vigne;0;650 000;0;Inexistant en 2019;;;Inexistant en 2020;;;;"LOI n°2016-1918 du 29 décembre 2016 - art. 68; article 1606 du code général des impôts"
Secteur local;Organismes consulaires;Organisme consulaire;;;;31;CRMA (incl. Alsace et Moselle);40;TA-CFE - fraction CRMA de la Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambre régionale de métiers et d'artisanat;230 828 401;203 149 000;27 679 401;230 828 401;203 149 000;27 679 401;230 828 401;203 149 000;27 679 401;LFR 2017 et LFI 2018;Article 1601 du code général des impôts et article 3 de la loi n° 48-977 du 16 juin 1948 relative à la taxe pour frais de chambre de métiers applicable dans les départements du Bas-Rhin, du Haut-Rhin et de la Moselle
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime spécial de Sécurité Sociale;478650385;;;97;Caisse nationale de retraite des industries électriques et gazières;97;Contribution tarifaire d'acheminement (CTA);1 539 494 000;;;1 532 000 000;;;1 532 000 000;;;;Art. 18 de la loi n°2004-803 du 9 août 2004 relative au service public de l’électricité et du gaz et aux entreprises électriques et gazières
Autres bénéficiaires;Associations;Association déclarée;314389040;;;90;AGS - Association pour la gestion du régime d'assurance des créances des salariés;85;Contribution des employeurs à l'association pour la gestion du régime d'assurance des créances des salariés (AGS);857 000 000;;;886 995 000;;;907 395 885;;;;Art. L143-11-6 du Code du travail et I de l'article 5 de la loi n° 2008-126 relative à la réforme de l'organisation du service public de l'emploi du 13 février 2008
Secteur local;Départements;Département;;;;147;Départements (part départementale);182;Taxe d’aménagement;571 949 410;;;571 949 410;;;571 949 410;;;;Art L.331-3 du Code de l’urbanisme (créée à/c du 1ermars 2012, art. 28 LFR 2010)
Autres bénéficiaires;Autres personnes morales de droit privé;Safer anonyme à directoire;623820602;;;60;Etablissement public foncier de Normandie;20;Taxes spéciales d'équipement;13 000 000;14 970 000;0;14 250 000;14 250 000;0;11 750 000;11 750 000;0;LFR-I 2014 et de la LFI 2015;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Secteur local;Communes;Commune et commune nouvelle;;;;144;Communes ou Groupements de communes (parts communale et intercommunale);187;Taxes locales d'équipement;72 179 921;;;72 179 921;;;72 179 921;;;;Art 1585 A et 1635 bis B du CGI (abrogés à/c du 1er mars 2012 : art. 28 de la LFR 2010 n° 2010-1658)
Secteur local;Communes;Commune et commune nouvelle;;;;146;Communes de Saint-Martin et de Saint Barthélémy;191;Taxe additionnelle sur les certificats d'immatriculation perçue au profit des communes de Saint-Martin et Saint-Barthélémy;Inexistant en 2018;;;Inexistant en 2019;;;Inexistant en 2020;;;;Art. 1585 I du CGI
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;435028535;;;49;"Agence pour la mise en valeur des espaces urbains de la zone dite des "" 50 pas géométriques "" en Martinique";20;Taxes spéciales d'équipement;1 515 000;1 515 000;0;1 415 000;1 415 000;0;1 315 000;1 315 000;0;LFR 2015 et de la LFI 2016;Art. 1609 D du CGI
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;;;;44;FNAL - Fonds national d'aide au logement;68;Cotisation des employeurs;2 807 746 000;;;2 889 232 000;;;2 902 000 000;;;;Art. L. 834-1 du Code de la sécurité sociale
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;494057722;;;76;Etablissement public foncier local du Grand Toulouse;20;Taxes spéciales d'équipement;18 093 217;;;17 800 000;;;18 000 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180035065;;;111;CNAF;124;Contributions patronales et salariales sur les attributions d’options (stock-options) de souscription ou d’achat des actions et sur les attributions gratuites;281 929 605;;;450 852 328;;;414 260 676;;;;Art. L. 137-13 et L. 137-14 du Code de la sécurité sociale
Secteur local;Communes;Commune et commune nouvelle;;;;129;Communes;160;Imposition forfaitaire annuelle sur les pylônes;267 000 000;;;275 000 000;;;282 000 000;;;;Art. 1519 A du CGI
Secteur local;Organismes consulaires;Organisme consulaire;180000036;;;106;CNBA - Chambre nationale de la batellerie artisanale;147;Taxe spécifique pour la Chambre nationale de la batellerie artisanale;1 100 000;;;Inexistant en 2019;;;Inexistant en 2020;;;;Art. 93 de la LFI 1985
Organismes d'administration centrale ;Autres personnes morales de droit public dépendant de l'Etat;Autorité administrative indépendante;130012321;;;17;ARAFER - Autorité de régulation des activités ferroviaires et routières;64;Taxe pour frais de contrôle due par les concessionnaires d'autoroutes;2 847 712;2 600 000;247 712;2 600 000;2 600 000;0;Inexistant en 2020;;;LFR 2015 et de la LFI 2016;Art. 1609 sextricies du CGI
Secteur local;Départements;Département;;;;139;Communes et départements (part départementale);177;Redevance proportionnelle sur l'énergie hydraulique;0;;;0;;;0;;;;Loi du 16 octobre 1919
Autres bénéficiaires;Associations;Association déclarée;;;;108;FAF - Fonds d'assurance formation des professions concernées;207;PEFPC : Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,15% du montant annuel du plafond de la sécurité sociale;167 068 304;;;172 915 695;;;176 892 756;;;;Art. L. 6331-48 du Code du travail
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère scientifique culturel et professionnel;;;;182;Etablissements publics d'enseignement supérieur, établissements mentionnés aux articles L. 443-1 et L. 753-1 du code de l’éducation ou à l'article L. 1431-1 du code général des collectivités territoriales dispensant des formations initiales d'enseignement supérieur, établissements d'enseignement supérieur privés d'intérêt général et centres régionaux des œuvres universitaires et scolaires;252;Contribution vie étudiante et campus;Inexistant en 2018;;;135 000 000;95 000 000;40 000 000;140 000 000;140 000 000;0;LFI 2019;Article L.841-5 du code de l'éducation
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;;;;126;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";146;Contribution sur les régimes de retraite conditionnant la constitution de droits à prestations à l’achèvement de la carrière du bénéficiaire dans l’entreprise;203 804 278;;;189 478 205;;;180 507 820;;;;Art. L. 137-11 du Code de la sécurité sociale
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;101;CCMSA - non salariés branche vieillesse;113;Droit de circulation sur les vins, cidres, poirés et hydromels;114 854 771;;;110 203 153;;;110 846 740;;;;Art. L. 438 du CGI et art. L. 731-3 du Code rural et de la pêche maritime
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;;;;8;FSD - Fonds de solidarité pour le développement géré par l'Agence française de développement (AFD);13;Taxe sur les transactions financières - fraction affectée de la ressource État;1 302 000 000;528 000 000;774 000 000;1 443 000 000;528 000 000;915 000 000;1 658 000 000;528 000 000;1 130 000 000;LFI 2013 et de la LFR-III 2012;Art. 235 ter ZD du CGI et I de l'art. 22 de la LFR 2005
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;;;;33;Centres techniques industriels de la plasturgie et des composites;43;Taxe affectée au financement d’un nouveau Centre Technique Industriel de la plasturgie et des composites;10 641 800;6 500 000;4 141 800;6 304 000;6 098 000;206 000;6 590 000;6 098 000;492 000;LFR 2015 et de la LFI 2016;I de l'art. 71 de la LFR 2003
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;137;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part intercommunale;183;Taxe de séjour, taxe de séjour forfaitaire;182 438 309;;;182 438 309;;;182 438 309;;;;Art. L2333-26 à L2333-46 du Code général des collectivités territoriales
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130012024;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;75;Taxe annuelle relative à l'évaluation et au contrôle de la mise sur le marché des produits phytopharmaceutiques et à leurs adjuvants;12 328 950;15 000 000;0;13 500 000;15 000 000;0;14 000 000;15 000 000;0;LFR 2016 et LFI 2017;Art. 130 de la LFI 2007
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130006364;Agriculture, alimentation, forêt et affaires rurales;149 Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;3;France Agrimer;6;Taxe sur les céréales;15 353 360;17 500 000;0;Inexistant en 2019;;;Inexistant en 2020;;;;Art. 1619 du CGI
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;;;;44;FNAL - Fonds national d'aide au logement;63;Taxe sur les plus-values immobilières (PVI) autres que terrains à bâtir;72 748 000;45 000 000;27 748 000;72 748 000;45 000 000;27 748 000;72 748 000;45 000 000;27 748 000;LFI 2013 et de la LFR-III 2012;Art. 1609 nonies G du CGI
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180035065;;;111;CNAF;126;Taxe sur les véhicules de société (TVS);750 871 819;;;713 328 228;;;677 661 816;;;;Art. L. 1010 du CGI et art. L. 131-8 du Code de la sécurité sociale
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;439484593;;;50;"Agence pour la mise en valeur des espaces urbains de la zone dite des "" 50 pas géométriques "" en Guadeloupe";20;Taxes spéciales d'équipement;1 400 000;1 515 000;0;1 415 000;1 415 000;0;1 315 000;1 315 000;0;LFR 2015 et de la LFI 2016;Art. 1609 C du CGI
Secteur local;Communes;Commune et commune nouvelle;;;;129;Communes;165;Taxe locale sur la publicité extérieure;197 594 883;;;197 594 883;;;197 594 883;;;;Art. 171 de la LME (Loi de modernisation de l'économie- Loi 2008-776 du 4 août 2008)
Secteur local;Communes;Commune et commune nouvelle;;;;140;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part communale;185;Taxe sur les remontées mécaniques;36 873 763;;;36 873 763;;;36 873 763;;;;Art. L2333-49 à L2333-53, L3333-4 à L3333-7 du Code général des collectivités territoriales
Organismes d'administration centrale ;Autres personnes morales de droit public dépendant de l'Etat;Groupement d'intérêt public (GIP);;;;168;"Groupements d'intérêt public ""Objectif Meuse"" et ""Haute-Marne"" et Communes concernées";229;"TA-TINB - Taxe additionnelle à la taxe sur les installations nucléaires de base dite ""Accompagnement""";57 809 600;;;57 809 600;;;57 059 600;;;;V de l'art. 43 de la LFI 2000 modifié par l'art. 21 de la loi n°2006-739 du 28 juin 2006
Secteur local;Régions;Région;;;;156;Régions;182;Taxe d’aménagement;58 746 839;;;58 746 839;;;58 746 839;;;;Art L.331-4 du Code de l’urbanisme (créée à/c du 1er mars 2012, art. 28 LFR 2010)
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;142;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part départementale;181;Taxe départementale sur la consommation finale d'électricité (TCFE);715 114 868;;;715 114 868;;;715 114 868;;;;Art. L3333-2 et suivants du Code général des collectivités territoriales dans leur rédaction en vigueur à/c du 1er janvier 2011 (modifiés par le II de l'art. 23 de la loi n° 2010-1488 portant nouvelle organisation du marché de l'électricité)
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;530428903;;;84;Etablissement public foncier local Béarn - Pyrénées;20;Taxes spéciales d'équipement;3 966 740;;;3 900 000;;;3 900 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180035024;;;99;CNAMTS;99;Droit de licence sur la rémunération des débitants de tabacs;343 590 798;;;369 010 960;;;349 010 960;;;;Art. L. 568 du CGI et art. L.131-8 du Code de la sécurité sociale
Secteur local;Régions;Région;;;;156;Régions;213;Taxe sur les permis de conduire;2 530 063;;;2 530 063;;;2 530 063;;;;Art. 1599 terdecies du CGI
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180035065;;;111;CNAF;125;Taxe exceptionnelle sur la réserve de capitalisation (exit-tax);1 000 000;;;1 000 000;;;1 000 000;;;;Art. 23 de la LFI 2011
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180092553;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;18;AFITF - Agence de financement des infrastructures de transport de France;27;Taxe due par les concessionnaires d'autoroutes;476 800 000;476 800 000;0;528 300 000;528 300 000;0;557 300 000;557 300 000;0;LFI 2012;Art 302 bis ZB du CGI
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180092553;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;18;AFITF - Agence de financement des infrastructures de transport de France;26;Fraction affectée du produit du relèvement du tarif de taxe intérieure de consommation sur les produits énergétiques (TICPE) sur le carburant gazole;1 028 164 000;1 028 164 000;0;1 205 815 000;1 205 815 000;0;1 586 700 000;1 586 700 000;0;LFR-I 2014 et de la LFI 2015;Art. 36 de la LFI 2015
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;15;Personnes publiques ou privées exploitant des aérodromes pour lesquels : - le nombre annuel des mouvements d'aéronefs de masse maximale au décollage supérieure ou égale à 20 tonnes a dépassé 20 000 lors de l'une des cinq années civiles précédentes, - ou le nombre annuel des mouvements d'aéronef de masse maximale au décollage supérieure ou égale à 2 tonnes a dépassé 50 000 lors de l'une des 5 années civiles précédentes, si les plans d'exposition au bruit ou de gêne sonore de cet aérodrome possèdent un domaine d'intersection avec les plans d'exposition au bruit ou de gêne sonore d'un aérodrome présentant les caractéristiques définies au tiret précédent.;23;Taxe sur les nuisances sonores aériennes;47 504 000;55 000 000;0;49 500 000;55 000 000;0;53 900 000;55 000 000;0;LFI 2014;Art. 1609 quatervicies A du CGI
Secteur local;Organismes consulaires;Organisme consulaire;;;;31;CRMA (incl. Alsace et Moselle);247;Participation au financement de la formation- Fraction affectée aux CMA pour leurs actions de formation;28 215 387;39 869 000;0;30 999 719;39 869 000;0;30 999 719;39 869 000;0;LFI 2013 et de la LFR-III 2012;Article L. 6331-50 du code du travail
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;514185792;;;79;Etablissement public foncier de Bretagne;20;Taxes spéciales d'équipement;19 700 000;21 648 000;0;21 400 000;21 400 000;0;17 300 000;17 300 000;0;LFR-I 2014 et de la LFI 2015;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Autres bénéficiaires;Associations;Association déclarée;;;;109;CFA - Centres de formation des apprentis;119;Taxe d'apprentissage - Part du quota réservée au financement des CFA;869 558 629;;;899 993 181;;;Inexistant en 2020;;;;Art. L6241-1 et suiv. du Code du travail et art. 1599ter A et suiv. du CGI
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;104;"CCMSA (non salariés-maladie) en 2016; CCMSA (non salariés-vieillesse) en 2017; CCMSA (non salariés-RCO) en 2018";111;Taxe portant sur les quantités de farines, semoules et gruaux de blé tendre livrées ou mises en oeuvre en vue de la consommation humaine;58 292 916;;;Inexistant en 2019;;;Inexistant en 2020;;;;Art. 1618 septies du CGI et art. L. 731-3 du Code rural
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;101;CCMSA - non salariés branche vieillesse;114;Droit de consommation sur les produits intermédiaires;65 718 295;;;63 388 581;;;63 758 771;;;;Art. 402 bis du CGI et art. L. 731-3 du Code rural et de la pêche maritime
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;;;;158;"CNAVTS, CNAF, FSV, CNAMTS en 2016; CNAVTS, CNAF, CNAMTS dès 2017";218;Taxe sur les salaires;13 248 000 000;;;14 226 000 000;;;14 501 000 000;;;;Art. 231 du CGI et art. L131-8 du Code de la sécurité sociale
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;120;"CCMSA (non salariés-vieillesse et maladie) jusqu'en 2016; CCMSA (non salariés-vieillesse, maladie et RCO) en 2017";115;Droits de consommation sur les alcools;2 201 600 000;;;2 123 553 280;;;2 146 742 481;;;;Art. 403 du CGI et articles L. 731-2 et L. 731-3 du Code rural et de la pêche maritime
Autres bénéficiaires;Associations;Association déclarée;349958876;;;93;Association de gestion du fonds de développement pour l'insertion professionnelle des handicapés (AGEFIPH);91;Contribution annuelle au fonds de développement pour l'insertion professionnelle des handicapés (FIPH);434 900 000;;;450 121 500;;;460 474 294;;;;Loi du 10 juillet 1987, art. L 5212-1, L 5212-10 et L 5214-1 du Code du travail
Secteur local;Communes;Commune et commune nouvelle;;;;129;Communes;159;Taxe de balayage;113 983 080;;;113 983 080;;;113 983 080;;;;Art. 1528 du CGI
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;;;;36;"CTI des matériaux : Centre d'étude et de recherche de l'industrie du béton (CERIB); Centre technique de matériaux naturels de construction (CTMNC)";46;Taxe pour le développement des industries des matériaux de construction regroupant les industries du béton, de la terre cuite et des roches ornementales et de construction;13 376 000;14 000 000;0;13 576 000;12 120 000;1 456 000;13 576 000;12 120 000;1 456 000;LFI 2012;Art. 71 F de la LFR 2003
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;485361448;;;74;Etablissement public foncier local des Landes;20;Taxes spéciales d'équipement;Inexistant en 2018;;;Inexistant en 2019;;;Inexistant en 2020;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;829950005;;;48;Etablissement public foncier de Mayotte;20;Taxes spéciales d'équipement;400 000;400 000;0;800 000;800 000;0;1 000 000;1 000 000;0;LFR 2016 et LFI 2017;Art. 1609 B du CGI
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130003262;Administration générale et territoriale de l'État;354 Administration territoriale de l'État;41;ANTS - Agence nationale des titres sécurisés;55;Fraction des droits de timbre sur les cartes nationales d'identité;22 100 000;11 250 000;10 850 000;22 400 000;11 250 000;11 150 000;19 800 000;11 250 000;8 550 000;LFI 2012;Art. 1628 bis du CGI (art. 134 al. I et III de la LFI 2009)
Organismes d'administration centrale ;Autres personnes morales de droit public dépendant de l'Etat;Autorité administrative indépendante;130005374;;;170;H3C - Haut conseil du commissariat aux comptes;39;Contribution annuelle acquittée par les personnes inscrites comme commissaires aux comptes, et droit fixe sur chaque rapport de certification des comptes, et contribution de la compagnie nationale des commissaires aux comptes;14 953 000;19 400 000;0;14 757 000;19 400 000;0;14 757 000;19 400 000;0;LFR 2017 et LFI 2018;Art. L 821-5 et 821-6-1 du Code de commerce
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;135;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre;271;Taxe sur l'exploration de gîtes géothermiques à haute température;0;;;0;;;Inexistant en 2020;;;;Art. 1591 du CGI
Secteur local;Communes;Commune et commune nouvelle;;;;134;Communes de plus de 5.000 hbts;174;Taxe communale additionnelle à certains droits d'enregistrement;2 751 833 520;;;2 751 833 520;;;2 751 833 520;;;;Art. 1584 du CGI
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;;;;4;FNGRA - Fonds national de gestion des risques en agriculture et fonds de calamités agricoles dans les départements d'outre-mer;7;Contributions additionnelles aux primes ou cotisations afférentes à certaines conventions d'assurance;68 800 000;60 000 000;8 800 000;69 000 000;60 000 000;9 000 000;69 500 000;60 000 000;9 500 000;LFR 2015 et de la LFI 2016;Art. 1635 bis A et AA du CGI et art. L361-5 et L362-1 du Code rural et de la pêche maritime
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130012024;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;73;Taxe liée aux dossiers de demande concernant les médicaments vétérinaires ou les établissements pharmaceutiques vétérinaires.;3 394 300;4 000 000;0;4 000 000;4 000 000;0;4 000 000;4 000 000;0;LFR 2016 et LFI 2017;II de l'art. L.5141-8 du Code de la santé publique
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;100;"FCATA (Fonds commun des accidents du travail agricole) jusqu'en 2016; CCMSA en 2017";112;Contribution forfaitaire des organismes assureurs et contribution forfaitaire des organismes participant à la gestion du régime prévu par la loi n° 2001-1128 du 30 novembre 2001;Inexistant en 2018;;;Inexistant en 2019;;;Inexistant en 2020;;;;Art. 1622 du CGI
