Type de dépenses;Année;Code Compte;Libellé du compte;Code Section;Libellé de la section;Code Ligne Dépense;Libellé Ligne Dépense;Montant Dépenses PLF 2025;Prévision  Dépenses 2026;Prévision Dépenses 2027
Depenses Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-3;Change;915-3-36;Versements au budget général;1000000.0;0.0;0.0
Depenses Compte de commerce;2025.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-71;Gestion de la trésorerie : intérêts des comptes de dépôts des correspondants du Trésor et assimilés;589000000.0;564000000.0;565000000.0
Depenses Compte de commerce;2025.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-33;Renouvellement des matériels et installations d'exploitation;2400000.0;2000000.0;2000000.0
Depenses Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-1;Assurance-crédit et assurance-investissement;915-1-16;Versements au budget général;690000000.0;228000000.0;419000000.0
Depenses Compte de commerce;2025.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-1;Cantine des détenus;912-1-51;Achats de biens de cantine;122500000.0;123000000.0;123500000.0
Depenses Compte d'opération monétaire;2025.0;953.0;Pertes et bénéfices de change;;;953-0-30;Dépenses;30000000.0;30000000.0;30000000.0
Depenses Compte de commerce;2025.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-1;Cantine des détenus;912-1-52;Achats de prestations de service;30500000.0;31000000.0;31500000.0
Depenses Compte de commerce;2025.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-2;Travail des détenus en milieu pénitentiaire;912-2-62;Impôts et cotisations sociales dus au titre des versements aux détenus en contrepartie de leur travail;17100000.0;17600000.0;18600000.0
Depenses Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-6;Financement de la construction navale;915-6-66;Versements au budget général;6000000.0;6000000.0;6000000.0
Depenses Compte de commerce;2025.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-37;Taxes;1835000.0;1900000.0;1900000.0
Depenses Compte de commerce;2025.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-34;Impôts et taxes;11800000.0;11800000.0;11800000.0
Depenses Compte de commerce;2025.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;901-2;Achat de carburant en secteur civil;901-2-02;Achat de carburant en secteur civil;239110981.0;244752913.0;251396927.0
Depenses Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-1;Assurance-crédit et assurance-investissement;915-1-12;Indemnisations, frais accessoires sur sinistres, frais juridiques et autres frais directement liés;274000000.0;386000000.0;313000000.0
Depenses Compte de commerce;2025.0;907.0;Opérations commerciales des domaines;;;907-0-39;Opérations réalisées en application de décisions de justice;200000.0;200000.0;200000.0
Depenses Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-2;Assurance-prospection;915-2-22;Indemnisations, frais juridiques et autres frais directement liés;108000000.0;108000000.0;100000000.0
Depenses Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-6;Financement de la construction navale;915-6-62;Indemnisations, frais juridiques et autres frais directement liés;0.0;0.0;6000000.0
Depenses Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-8;Stabilisation de taux;915-8-81;Intérêts défavorables sur stabilisation en euros;170000000.0;289000000.0;310000000.0
Depenses Compte de commerce;2025.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-2;Opérations de gestion active de la dette au moyen d'instruments financiers à terme;903-2-92;Gestion active de la dette : intérêts des appels de marge sur contrats d'échange de taux d'intérêt;20000000.0;20000000.0;20000000.0
Depenses Compte de commerce;2025.0;910.0;Couverture des risques financiers de l'État;;;910-0-34;Autres charges et versements;426000000.0;0.0;0.0
Depenses Compte de commerce;2025.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-40;Acquisition Quotas carbone;1400000.0;1200000.0;1200000.0
Depenses Compte de commerce;2025.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-36;Autres dépenses de gestion courante;2000000.0;2000000.0;2000000.0
