Une dépense fiscale dont la fin du fait générateur est antérieure à l'année du projet de loi de finances est sur une ligne grisée,;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;$@Entete
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210309.0;Réduction d'impôt au titre des dons faits par les entreprises à des oeuvres ou organismes d'intérêt général;Finalité : Aider les associations d'intérêt général;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210307.0;Exonération des dons reçus par une entreprise ayant subi un sinistre survenu à la suite d'une catastrophe naturelle ou d'un événement ayant des conséquences dommageables;Finalité : Aider les entreprises ayant subi un sinistre;;;;;;
Taxe sur la valeur ajoutée;Régimes ultramarins;;710110.0;Taux de 2,10 % applicable à certaines opérations relatives au logement social outre-mer qui sont éligibles soit aux prêts locatifs sociaux, soit au crédit d’impôt sur les sociétés en faveur de l’investissement dans les logements neufs outre-mer;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Droits d'enregistrement et de timbre;Mutations à titre gratuit;Exonérations;520123.0;Exonération de droits de succession sur les immeubles non bâtis ou les droits portant sur ces immeubles, de faible valeur et indivis au sein d'une parcelle cadastrale, pour lesquels le droit de propriété du défunt n'a pas été constaté avant son décès, sous condition de reconstitution des titres de propriété;Finalité : Favoriser la transmission de biens nécessitant la reconstitution du titre de propriété;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Déductions;200403.0;Déduction exceptionnelle de 40% en faveur des entreprises investissant dans des équipements de réfrigération et de traitement de l’air utilisant des fluides autres que les hydrofluorocarbures (HFC);Finalité : Aider les entreprises grandes consommatrices d'énergie;;;;;;
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100114.0;Déduction des travaux de grosses réparations supportés par les nus-propriétaires dans le cas de démembrements de propriété consécutifs à une succession ou une donation;Finalité : Aider à l'amélioration du logement;;;;;;
Impôt sur le revenu;Revenus fonciers;Déductions;130213.0;Déduction des dépenses d'amélioration afférentes aux propriétés non bâties;Finalité : Favoriser l'entretien des espaces naturels;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre onéreux - Taxe de publicité foncière;Mutations de biens meubles;530214.0;Exonération des acquisitions de droits sociaux réalisées dans le cadre du rachat de ses propres titres par une société destinés à être cédés aux adhérents d’un plan d’épargne entreprise;Finalité : Soutenir le développement des plans d’épargne entreprise;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre onéreux - Taxe de publicité foncière;Mutations de biens meubles;530208.0;Exonération des acquisitions et des cessions réalisées par les SAFER.;Finalité : Aider le secteur agricole;;;;;;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90101.0;Exonération en faveur de certaines opérations réalisées dans les ZRR;Finalité : Aider certains espaces géographiques (espaces ruraux);;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Régimes spéciaux d'imposition;230606.0;Exonération d’impôt sur les bénéfices pour les entreprises qui exercent ou créent une activité dans les bassins d’emploi à redynamiser (BER);Finalité : Aider certains espaces géographiques (difficultés d'emploi);;;;;;
Taxe sur la valeur ajoutée;Régimes ultramarins;;710105.0;Non applicabilité provisoire de la TVA en Guyane et à Mayotte;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110202.0;Crédit d'impôt au titre des cotisations versées aux organisations syndicales représentatives de salariés et aux associations professionnelles nationales de militaires;Finalité : Aider les organisations syndicales;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux particuliers;730306.0;Taux particuliers applicables à divers produits et services consommés ou utilisés en Corse;Finalité : Aider certains espaces géographiques (Corse);;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110213.0;Réduction d'impôt au titre des frais de dépendance et d'hébergement pour les personnes dépendantes accueillies en établissement spécialisé;Finalité : Aider les personnes dépendantes;;;;;;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150120.0;Exonération des plus-values immobilières au titre de la première cession d'un logement sous condition de remploi par le cédant d'une fraction du prix de cession à l'acquisition ou la construction d'un logement affecté à son habitation principale;Finalité : Développement et amélioration de l'offre de logement;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Provisions;230411.0;Provision pour risque d’intervention du fonds de garantie des dépôts et de résolution;Finalité : Aider le secteur des assurances;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre gratuit;Exonérations;520122.0;Exonération de droits de mutation des successions des policiers, des gendarmes et des agents des douanes décédés dans l'accomplissement de leur mission;Finalité : Aider les familles des policiers, gendarmes et agents des douanes décédés;;;;;;
Accise sur les énergies;Gaz naturels;Tarifs réduits;830202.0;Tarif réduit pour les gaz naturels consommés comme combustible dans les installations grandes consommatrices d'énergie exerçant une activité considérée comme fortement exposée à la concurrence internationale (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110263.0;Réduction d'impôt accordée au titre des souscriptions en numéraire au capital d'entreprises de presse;Finalité : Aider le secteur de la presse;;;;;;
Impôts locaux;Taxe foncière sur les propriétés bâties;Dégrèvements à la charge de l'Etat;50204.0;Dégrèvement égal au quart des dépenses à raison des travaux d'économie d'énergie, sur la cotisation de taxe foncière sur les propriétés bâties pour les organismes HLM et les SEM;Finalité : Aider le secteur immobilier public pour travaux d'économies d'énergie;;;;;;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150121.0;Exonération des plus-values immobilières réalisées par les personnes âgées ou handicapées à l'occasion de la cession de leur ancienne résidence principale avant leur entrée dans un établissement médicalisé;Finalité : Aider les personnes âgées, modestes ou handicapées;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre gratuit;Déductions de l'actif;520403.0;Déduction de la valeur déclarée d'immeubles ou de droits immobiliers transmis par donation, des frais de reconstitution des titres de propriété y afférents engagés dans les vingt-quatre mois précédant la donation et mis à la charge du donateur par le notaire, sous condition de reconstitution des titres de propriété.;Finalité : Favoriser la transmission de biens nécessitant la reconstitution du titre de propriété;;;;;;
Taxe sur la valeur ajoutée;Régimes ultramarins;;710107.0;Exonération de TVA des ventes et importations de riz à La Réunion;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110109.0;Demi-part supplémentaire ou quart de part supplémentaire en cas de résidence alternée, par enfant à charge titulaire de la carte d'invalidité ou part supplémentaire par personne rattachée au foyer fiscal titulaire de la carte d'invalidité;Finalité : Aider les personnes ayant des enfants invalides à charge;;;;;;
Impôt sur le revenu;Bénéfices agricoles;Régimes spéciaux d'imposition;170307.0;Report d'imposition de l'indemnité destinée à couvrir les dommages causés aux récoltes par des évènements climatiques à l'exercice de constatation de cette perte;Finalité : Aider le secteur agricole;;;;;;
Droits d'enregistrement et de timbre;Dispositions communes aux mutations à titre gratuit et à titre onéreux;;510101.0;Exonération des mutations à titre gratuit ou onéreux portant sur des oeuvres d'art, livres, objets de collection ou documents de haute valeur artistique ou historique et agréés, dont le nouveau propriétaire fait don à l'Etat;Finalité : Aider l'acquisition d'oeuvres par les institutions culturelles;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320143.0;Réduction d'impôt pour mise à disposition d'une flotte de vélos;Finalité : Encourager la mobilité durable;;;;;;
Impôt sur le revenu;Plus-values des particuliers;Gains de cessions de valeurs mobilières : Exonérations;150704.0;Exonération des gains retirés d'opérations de bourse effectuées par les clubs d'investissement durant leur existence. Création d'un régime simplifié d'imposition;Finalité : Orienter l'épargne vers le capital des entreprises;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (revenus fonciers et bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Déductions;260101.0;Déductibilité ou non-imposition des loyers et accessoires non perçus afférents à des immeubles donnés en location à une entreprise et consentis entre le 15/04/2020 et le 31/12/2021;;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730223.0;Taux de 5,5% pour les travaux d'amélioration de la qualité énergétique des locaux à usage d'habitation achevés depuis plus de deux ans ainsi que sur les travaux induits qui leur sont indissociablement liés;Finalité : Diminuer la consommation énergétique des logements;;;;;;
Accise sur les énergies;Électricité;Tarifs réduits;820202.0;Tarif réduit pour l’électricité consommée par les installations hyperélectro-intensives (niveau d'électro-intensité au moins égal à 13,5 %);Finalité : Aider les entreprises grandes consommatrices d'énergie;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320138.0;Déduction de la part des excédents mis en réserves impartageables par les sociétés coopératives d'intérêt collectif;Finalité : Favoriser le renforcement des fonds propres des sociétés coopératives d'intérêt collectif;;;;;;
Impôt sur le revenu;Bénéfices non commerciaux;Déductions;160301.0;Déduction forfaitaire au titre du groupe III déclarée par les médecins conventionnés;Finalité : Inciter les médecins au conventionnement avec la sécurité sociale qui déclare les recettes des contribuables;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120142.0;"Exonération de la prise en charge directe à titre de pensions alimentaires des dépenses d'hospitalisation ou d'hébergement en établissement : - des ascendants privés de ressources suffisantes par leurs enfants ou petits-enfants ; - des enfants majeurs infirmes dénués de ressources par leurs parents";Finalité : Aider les personnes dépendantes;;;;;;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Modalités de calcul;150209.0;Abattement exceptionnel de 70% ou de 85% applicable, sous conditions, aux plus-values de cession de terrains à bâtir ou d'immeubles bâtis destinés à la démolition, en vue de la construction de logements, en zones A et A bis, réalisées du 1er janvier 2018 au 31 décembre 2022;Finalité : Développement et amélioration de l'offre de logement;;;;;;
Impôt sur le revenu;Bénéfices industriels et commerciaux;Exonérations;180102.0;Exonération accordée sous certaines conditions, aux personnes louant ou sous-louant en meublé, une partie de leur habitation principale jusqu'au 31 décembre 2023 ou jusqu’au 15 juillet 2024;Finalité : Favoriser la location d'une partie de son habitation;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210315.0;Crédit d'impôt au titre des dépenses engagées pour la formation du chef d'entreprise;Finalité : Favoriser la formation;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730218.0;Taux de 5,5% pour la fourniture par réseaux d'énergie calorifique d'origine renouvelable;Finalité : Augmenter la part des énergies renouvelables dans la consommation;;;;;;
Impôt sur le revenu;Bénéfices agricoles;Régimes spéciaux d'imposition;170306.0;Rattachement du revenu exceptionnel d'un exploitant agricole soumis à un régime réel d'imposition par fractions égales, aux résultats de l'exercice de sa réalisation et des six exercices suivants;Finalité : Aider le secteur agricole;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320131.0;Réduction d’impôt pour souscription au capital des sociétés de presse;Finalité : Aider le secteur de la presse;;;;;;
Impôt sur les sociétés;Exonérations;Exonérations de produits;300208.0;Exonération des établissements publics de recherche, des établissements publics d'enseignement supérieur, des personnes morales créées pour la gestion d'un pôle de recherche et d'enseignement supérieur et des fondations d'utilité publique du secteur de la recherche pour leurs revenus tirés d'activités relevant d'une mission de service public;Finalité : Augmenter les dépenses de recherche (universités);;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320135.0;Crédit d'impôt pour les entreprises de création de jeux vidéos;Finalité : Aider le secteur audiovisuel;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120113.0;Exonération partielle de la prise en charge par l'employeur, une collectivité territoriale ou Pôle emploi, des frais de transport entre le domicile et le lieu de travail;Finalité : Inciter les salariés à utiliser les transports en commun pour le trajet domicile-travail;;;;;;
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles : Exonérations;150403.0;"Exonération de la taxe forfaitaire sur les bijoux, objets d'art, de collection et d'antiquité en cas de vente aux musées bénéficiaires de l'appellation ""musée de France"" ou aux services d'archives et bibliothèques de l'Etat, d'une collectivité territoriale ou d'une autre personne publique";Finalité : Aider l'acquisition d'oeuvres par les institutions culturelles;;;;;;
Impôt sur les sociétés;Modalités particulières d'imposition;;320116.0;Franchise d'impôt sur les sociétés pour les activités lucratives accessoires de certains organismes sans but lucratif lorsque les recettes correspondantes n'excèdent pas une limite indexée, chaque année, sur la prévision de l'indice des prix à la consommation, hors tabac, retenue dans le projet de loi de finances;Finalité : Aider les organismes sans but lucratif;;;;;;
Impôt sur le revenu;Revenus fonciers;Régimes spéciaux d'imposition;130304.0;Doublement du plafond du déficit foncier imputable sur le revenu global pour les propriétaires bailleurs réalisant des travaux de rénovation énergétique;Finalité : Promouvoir la rénovation énergétique des passoires thermiques;;;;;;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40101.0;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Finalité : Aider certains espaces géographiques (espaces ruraux);;;;;;
Accise sur les énergies;Électricité;Tarifs réduits;820204.0;Tarif réduit pour l’électricité consommée par les transports collectifs ferroviaires et routiers (train, métro, tramway, câble, autobus hybride rechargeable et électrique, trolleybus);Finalité : Aider les entreprises de transport public;;;;;;
Accise sur les énergies;Charbons;Tarifs réduits;840201.0;Tarif réduit pour les charbons consommés dans les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre onéreux - Taxe de publicité foncière;Mutations de biens meubles;530218.0;Exonération des cessions de parts ou d’actions des organismes de placement collectif immobilier et des organismes professionnels de placement collectif immobilier;Finalité : Favoriser l’activité de financement de certains organismes de placement collectif immobilier;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux particuliers;730302.0;Taux de 2,10 % applicable aux ventes d'animaux de boucherie et de charcuterie à des personnes non assujetties à la TVA;Finalité : Aider le secteur agricole;;;;;;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60106.0;Exonération en faveur des parcelles NATURA 2000;Finalité : Favoriser la protection des espaces naturels;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices non commerciaux) et à l'impôt sur les sociétés;Exonérations;220102.0;Exonération du bénéfice réalisé par les entreprises qui exercent une activité dans une zone urbaine de 3e génération ou qui créent une activité dans une zone franche urbaine-territoire entrepreneur (ZFU-TE) entre le 1er janvier 2006 et le 31 décembre 2023;Finalité : Aider certains espaces géographiques (urbains);;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110242.0;Réduction d'impôt pour frais de scolarité dans l'enseignement supérieur;Finalité : Développer l'enseignement supérieur;;;;;;
Taxe sur la valeur ajoutée;Exonérations;Autres exonérations;720203.0;Exonération des publications des collectivités publiques et des organismes à but non lucratif;Finalité : Aider les collectivités locales et les organismes à but non lucratif;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210321.0;"Crédit d'impôt ""Eco prêt à taux zéro""";Finalité : Diminuer la consommation énergétique des logements;;;;;;
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90110.0;Exonération en faveur des entreprises dont les établissements vendent au public des écrits périodiques en qualité de mandataires inscrits à la commission du réseau de la diffusion de la presse et revêtent la qualité de diffuseurs de presse spécialistes;Finalité : Aider le secteur de la presse;;;;;;
Catégorie;Sous catégorie;Sous sous catégorie;;Libellé législatif;Information complémentaire;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730222.0;Taux de 10% de TVA applicable pour les ventes et les livraisons à soi-même aux investisseurs dits « institutionnels » de logements locatifs intermédiaires situés dans des zones caractérisées par un déséquilibre important entre l’offre et la demande de logement , lorsqu’ils répondent à des critères de mixité avec des logements locatifs sociaux, ainsi que pour les livraisons de logements locatifs intermédiaires à l’association foncière logement, ou aux sociétés qu’elle contrôle, lorsqu’ils sont situés dans des quartiers ciblés de la politique de la ville ou à leur proximité;Finalité : Développer l'offre de logements intermédiaires;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120111.0;Exonération de la participation des employeurs au financement des titres-restaurant;Finalité : Aider les entreprises à financer la restauration de leurs salariés;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110267.0;Crédit d'impôt sur le revenu au titre du premier abonnement à un journal, à une publication périodique ou à un service de presse en ligne d'information politique et générale;Finalité : Aider le secteur de la presse;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120126.0;Exonération des pensions servies en vertu des dispositions du code des pensions militaires d'invalidité et des victimes de guerre, de la retraite du combattant, des retraites mutuelles servies aux anciens combattants et aux victimes de guerre, de certaines allocations servies aux anciens harkis et assimilées ou à leurs ayant droits et de certaines prestations versées aux orphelins de guerre;Finalité : Aider les anciens combattants;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210330.0;Crédit d’impôt en faveur des entreprises agricoles disposant d’une certification d’exploitation à haute valeur environnementale en cours de validité au 31 décembre 2021 ou délivrée au cours de l’une des années 2022 ou 2023;;;;;;;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140102.0;Exonération des intérêts des livrets A;Finalité : Orienter l'épargne vers l'immobilier social;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120128.0;Exonération de la rente viagère lorsqu'un PEA se dénoue après 5 ans ou un PEP après 8 ans;Finalité : Orienter l'épargne vers le capital des entreprises;;;;;;
Impôts locaux;Cotisation sur la valeur ajoutée des entreprises;Exonérations compensées par l'Etat;40113.0;Exonération en faveur des établissements exerçant une activité commerciale dans une zone de revitalisation des commerces en milieu rural (ZoRCoMiR) pouvant bénéficier de l'exonération de cotisation foncière des entreprises;Finalité : Aider certains espaces géographiques (espaces ruraux);;;;;;
Impôt sur les sociétés;Exonérations;Exonérations de produits;300204.0;Exonération d'impôt sur les sociétés de la valeur nette de l'avantage en nature consenti par les personnes morales qui ont pour objet de transférer gratuitement à leurs membres la jouissance d'un bien meuble ou immeuble;Finalité : Harmoniser la situation des personnes qui ont la disposition d'un lieu (appartement meublé, parking…) sous couvert d'une société et celle des personnes ayant la possession directe de ces biens;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre gratuit;Exonérations;520118.0;Exonération, sous certaines conditions, de droits de mutation à titre gratuit, à concurrence des trois quarts de leur montant, en faveur des successions et donations intéressant les propriétés non bâties qui ne sont pas de nature de bois et forêts et situées dans les sites NATURA 2000, les zones centrales des parcs nationaux, les réserves naturelles, les sites classés et les espaces naturels remarquables du littoral;Finalité : Favoriser la transmission des biens situés dans les espaces naturels protégés;;;;;;
Impôt sur les sociétés;Exonérations;Exonérations d'activités;300110.0;Exonération des unions d'économie sociale;Finalité : Soutenir l'économie sociale;;;;;;
Accise sur les énergies;Produits énergétiques autres que les gaz naturels et les charbons;Exonérations;800118.0;Tarif particulier (nul) pour divers gaz à usage combustible (gaz de houille, gaz à l'eau, gaz pauvres et gaz similaires);;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110229.0;Réduction d'impôt au titre des intérêts d'emprunts souscrits par une personne physique en vue de financer la reprise d'une entreprise exploitée sous forme de société soumise à l'impôt sur les sociétés;Finalité : Favoriser les reprises d'entreprises;;;;;;
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140106.0;Exonération des intérêts des livrets jeune;Finalité : Aider l'épargne des jeunes;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120143.0;Exonération des indemnités versées aux victimes des essais nucléaires français et à leurs ayants-droit;Finalité : Aider les personnes victimes des essais nucléaires;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730224.0;Taux de 5,5 % pour les droits d’entrée aux réunions sportives;Finalité : Soutenir le secteur sportif;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110226.0;Réduction d'impôt sur le revenu pour investissements et cotisations d'assurance de bois et forêts jusqu'au 31 décembre 2022;Finalité : Aider le secteur sylvicole;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110260.0;Réduction d’impôt au titre de la souscription de parts de fonds d’investissement de proximité investis dans des sociétés qui exercent leurs activités dans les départements et collectivités d’outre-mer (FIPOM);Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110266.0;Réduction d'impôt accordée au titre des souscriptions en numéraire au capital initial ou aux augmentations de capital d'une société foncière solidaire;;;;;;;
Autres droits;Composantes de la taxe générale sur les activités polluantes;Tarifs réduits;990201.0;"Tarif réduit de la composante ""déchets"" pour la réception de résidus à haut pouvoir calorifique issus des opérations de tri performantes dans une installation de valorisation énergétique dont le rendement excède 0,7";Finalité : Aider les entreprises pour leurs travaux de prévention de risques;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices agricoles) et à l'impôt sur les sociétés;Dispositions diverses;200311.0;Crédit d’impôt en faveur de la recherche collaborative;Finalité : Encourager la recherche partenariale entre les entreprises et les organismes de recherche et de diffusion des connaissances (ORDC);;;;;;
Autres droits;Taxe annuelle sur les véhicules lourds de transport de marchandises;Exonérations;930101.0;Exonération pour les véhicules utilisés pour certains services publiques et missions d'intérêt général (la défense nationale, la protection civile, la lutte contre les incendies, les secours, le maintien de l’ordre et l’entretien des voies de circulation);Finalité : Diminuer le coût d’utilisation des véhicules pour certaines missions régaliennes ou liées de sécurité;;;;;;
Accise sur les énergies;Électricité;Tarifs réduits;820203.0;Tarif réduit pour l’électricité consommée par les installations industrielles situées au sein de sites industriels électro-intensifs ou d'entreprises industrielles électro-intensives;Finalité : Aider les entreprises grandes consommatrices d'énergie;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110256.0;Réduction d'impôt au titre des investissements effectués dans le secteur du logement social dans les collectivités d'outre-mer et en Nouvelle-Calédonie;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Régimes spéciaux d'imposition;230601.0;Application du taux réduit d'imposition aux distributions d'actifs effectués, directement ou indirectement, par certaines sociétés de capital-risque;Finalité : Orienter l'épargne vers le capital-risque;;;;;;
Impôt sur les sociétés;Provisions et amortissements;Amortissements;310206.0;Amortissement exceptionnel sur cinq ans des investissements réalisés dans les petites et moyennes entreprises innovantes;;;;;;;
Droits d'enregistrement et de timbre;Partages et opérations assimilées;;550106.0;Exonération des rachats de parts de fonds communs de placement et de parts de fonds de placement immobilier;Finalité : Favoriser l’activité de financement de certains organismes de placement collectif;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux, bénéfices agricoles et bénéfices non commerciaux) et à l'impôt sur les sociétés;Dispositions diverses;210325.0;Crédit d'impôt à raison des investissements productifs réalisés dans les départements d'outre-mer;Finalité : Aider certains départements, territoires et collectivités d'Outre-mer;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux et bénéfices non commerciaux) et à l'impôt sur les sociétés;Exonérations;220104.0;Exonération d’impôt sur les bénéfices pour les entreprises créées ou reprises dans les ZRR;Finalité : Aider certains espaces géographiques (espaces ruraux);;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux particuliers;730301.0;Taux de 2,10 % applicable aux droits d'entrée des 140 premières représentations de certains spectacles;Finalité : Aider le secteur artistique (spectacles);;;;;;
Impôt sur les sociétés;Exonérations;Exonérations d'activités;300111.0;Exonération des bénéfices réalisés par les sociétés créées pour reprendre une entreprise ou des établissements industriels en difficulté;Finalité : Favoriser les reprises d'entreprises;;;;;;
Autres impôts directs;Impôt sur la fortune immobilière;Exonérations;440101.0;Exonération des immeubles affectés à l'activité professionnelle principale du redevable ou à l’activité opérationnelle de l’entreprise dans laquelle le redevable exerce son activité professionnelle principale;Finalité : Aider les dirigeants d'entreprise;;;;;;
Impôt sur le revenu;Bénéfices agricoles;Déductions;170106.0;Déduction de précaution;Finalité : Aider le secteur agricole;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120117.0;Exonération totale pour les prestations et rentes viagères servies aux victimes d'accidents du travail et de maladies professionnelles et à hauteur de 50 % pour les indemnités temporaires;Finalité : Aider les personnes allocataires d'indemnités pour accidents du travail ou maladies professionnelles;;;;;;
Impôt sur le revenu;Bénéfices non commerciaux;Exonérations;160205.0;Exonération, dans la limite de 14,5 % d'un plafond révisable chaque année, des sommes perçues par les arbitres et juges sportifs;Finalité : Aider les arbitres;;;;;;
Accise sur les énergies;Produits énergétiques autres que les gaz naturels et les charbons;Tarifs réduits;800226.0;Tarif réduit pour les gazoles utilisés pour réaliser des travaux statiques ou de terrassement pour les besoins de certaines activités extractives soumises à une forte concurrence internationale (niveau d'intensité énergétique de l'entreprise au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);;;;;;;
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120133.0;Exonération des indemnités versées aux victimes de l'amiante;Finalité : Aider les personnes victimes de l'amiante;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Régimes spéciaux d'imposition;230609.0;Exonération d’impôt sur les bénéfices pour les entreprises créées dans les zones de développement prioritaire (ZDP);Finalité : Aider certains espaces géographiques;;;;;;
Impôts locaux;Taxe foncière sur les propriétés bâties;Exonérations compensées par l'Etat;50107.0;Abattement en faveur des immeubles anti-sismiques des départements d'outre-mer;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Impôt sur le revenu;Bénéfices non commerciaux;Exonérations;160207.0;Exonération des sommes perçues à titre de dédommagement par les aidants familiaux dans le cadre de la prestation de compensation handicap;Finalité : Aider les personnes handicapées;;;;;;
