Une dépense fiscale dont la fin du fait générateur est antérieure à l'année du projet de loi de finances est sur une ligne grisée,;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;$@Entete
Taxe sur la valeur ajoutée;Régimes ultramarins;;710108.0;Exonération des livraisons de biens dans certaines communes de Guadeloupe ou de Martinique réalisées auprès des touristes effectuant une croisière;Finalité : Aider certains espaces géographiques (Outre-mer);;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730216.0;Taux de 5,5 % dans le secteur de l’accession sociale à la propriété et dans le secteur du logement locatif social pour les logements financés par un prêt locatif aidé d’intégration (PLAI), pour les logements financés par un prêt locatif à usage social (PLUS) lorsqu’ils relèvent de la politique de renouvellement urbain, ainsi que pour certains travaux portant sur ces logements ou participant au renouvellement urbain;Finalité : Aider certains espaces géographiques (urbains);;;;;;
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110107.0;Maintien du quotient conjugal pour les contribuables veufs ayant des enfants à charge;Finalité : Aider les personnes ayant des enfants à charge et dont le conjoint est décédé;;;;;;
Impôt sur le revenu et impôt sur les sociétés;Dispositions communes à l'impôt sur le revenu (bénéfices industriels et commerciaux) et à l'impôt sur les sociétés;Provisions;230403.0;Déduction spéciale prévue en faveur des entreprises de presse;Finalité : Aider le secteur de la presse;;;;;;
Taxe sur la valeur ajoutée;Assiette et taux;Taux réduit;730230.0;Taux de 10 % applicable aux droits d’admission aux expositions, sites et installations à caractère culturel, ludique, éducatif et professionnel ainsi qu’aux loteries foraines;Finalité : Aider le secteur artistique (spectacles);;;;;;
Taxe sur la valeur ajoutée;Exonérations;Exonérations à caractère social;720108.0;Exonération des prestations de services et des livraisons de biens qui leur sont étroitement liées, effectuées dans le cadre de la garde d'enfants par les établissements visés aux deux premiers alinéas de l'article L. 2324-1 du code de la santé publique et assurant l'accueil des enfants de moins de trois ans;Finalité : Aider la garde des jeunes enfants;;;;;;
Taxe sur la valeur ajoutée;Régimes particuliers;;740105.0;Franchise en base pour les activités lucratives accessoires des associations sans but lucratif lorsque les recettes correspondantes n'excèdent pas un seuil de chiffre d'affaires, indexé, chaque année, sur la prévision de l'indice des prix à la consommation, hors tabac, retenue dans le projet de loi de finances de l'année;Aider les organismes sans but lucratif;;;;;;
Droits d'enregistrement et de timbre;Mutations à titre onéreux - Taxe de publicité foncière;Mutations de biens meubles;530212.0;Application d'un abattement de 300 000 € sur la valeur du fonds ou de la clientèle en cas de cession en pleine propriété de fonds artisanaux, de fonds de commerce, de fonds agricoles ou de clientèles d'une entreprise individuelle ou de parts ou actions d'une société;Finalité : Favoriser la transmission d'entreprises;;;;;;
Autres droits;Malus CO2 sur les véhicules de tourisme;;970105.0;Réduction des émissions, ou de la puissance administrative, prises en compte dans le barème du malus à hauteur de 80 grammes par kilomètre, ou de 4 CV, pour les véhicules comportant au moins 8 places assises dont disposent les personnes morales;Finalité : Favoriser le transport collectif;;;;;;
Accise sur les énergies;Gaz naturels;Tarifs réduits;830201.0;Tarif réduit pour les gaz naturels consommés comme combustible dans les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);;;;;;;
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110110.0;Demi-part supplémentaire, ou quart de part supplémentaire en cas de résidence alternée des enfants à charge, accordée aux parents isolés;Finalité : Aider les personnes vivant seules et ayant des enfants à charge;;;;;;
Accise sur les énergies;Produits énergétiques autres que les gaz naturels et les charbons;Tarifs réduits;800212.0;Tarif particulier pour l'E10, carburant essence pouvant contenir jusqu’à 10 % d’éthanol;;;;;;;
