Mission;Code Mission;Type Mission;Programme;Libellé Programme;Action;Libellé Action;SousAction;Libellé SousAction;Catégorie;Code Titre;Code Ministère;Libellé Ministère;AE T2 PLF 2023;AE Hors T2 PLF 2023;CP T2 PLF 2023;CP Hors T2 PLF 2023;AE T2 Amendements 2023;AE Hors T2 Amendements 2023;CP T2 Amendements 2023;CP Hors T2 Amendements 2023;AE T2 LFI 2023;AE Hors T2 LFI 2023;AE (T2 + Hors T2) LFI  2023;CP T2 LFI 2023;CP Hors T2 LFI 2023;CP (T2 + Hors T2) LFI  2023;check LFI positive pour le croisement action/sous-action catégorie de cette ligne;"check
 AE = CP en T2"
Sport, jeunesse et vie associative;SF;BG;219.0;Sport;04;Promotion des métiers du sport;;;64.0;4.0;42.0;Sports et jeux olympiques et paralympiques;0.0;2966953.0;0.0;2966953.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;141.0;Enseignement scolaire public du second degré;02;Enseignement général et technologique en lycée;;;21.0;4.0;6.0;Éducation nationale et  jeunesse;4677273052.0;0.0;4677273052.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Remboursements et dégrèvements;RD;BG;201.0;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);02;Taxes foncières;01;Taxes foncières;63.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;1868000000.0;0.0;1868000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Administration générale et territoriale de l'État;AB;BG;216.0;Conduite et pilotage des politiques de l'intérieur;05;Affaires immobilières;;;31.0;4.0;9.0;Intérieur et outre-mer;0.0;160086724.0;0.0;138742352.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;09;Engagement et combat;78;Frapper à distance - Mirage 2000;51.0;4.0;70.0;Armées;0.0;22187882.0;0.0;36248342.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;01;Soutien au plan d'investissement dans les compétences;;;22.0;4.0;36.0;Travail, plein emploi et insertion;631747.0;0.0;631747.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;156.0;Gestion fiscale et financière de l'État et du secteur public local;07;Gestion financière du secteur public local hors fiscalité;;;22.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;477422377.0;0.0;477422377.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;178.0;Préparation et emploi des forces;03;Préparation des forces navales;05;Ressources humaines des forces navales;53.0;4.0;70.0;Armées;0.0;1146000.0;0.0;1146000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Santé;SA;BG;204.0;Prévention, sécurité sanitaire et offre de soins;11;Pilotage de la politique de santé publique;;;63.0;4.0;35.0;Santé et prévention;0.0;0.0;0.0;2000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Investir pour la France de 2030;AV;BG;422.0;Valorisation de la recherche;05;Accélération du développement des écosystèmes d'innovation performants;;;62.0;4.0;12.0;Services du Premier ministre;0.0;0.0;0.0;13000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Financement des aides aux collectivités pour l'électrification rurale;YK;CAS;793.0;Électrification rurale;09;Déclaration d'utilité publique (Très haute tension);;;64.0;4.0;43.0;Transition énergétique;0.0;500000.0;0.0;500000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Cohésion des territoires;VA;BG;135.0;Urbanisme, territoires et amélioration de l'habitat;05;Innovation, territorialisation et services numériques;;;52.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;16158401.0;0.0;15208401.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;55;"Préparation des forces terrestres - Personnel travaillant pour le programme ""Préparation et emploi des forces""";01;Ressources humaines des forces terrestres;21.0;4.0;70.0;Armées;4084832956.0;0.0;4084832956.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;102.0;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;02;Accompagnement des publics les plus en difficultés;61.0;4.0;36.0;Travail, plein emploi et insertion;0.0;988201914.0;0.0;988201914.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;139.0;Enseignement privé du premier et du second degrés;07;Dispositifs spécifiques de scolarisation;;;21.0;4.0;6.0;Éducation nationale et  jeunesse;138143642.0;0.0;138143642.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
