Mission;Code Mission;Type Mission;Programme;Libellé Programme;Action;Libellé Action;SousAction;Libellé SousAction;Catégorie;Code Titre;Code Ministère;Libellé Ministère;AE T2 PLF 2023;AE Hors T2 PLF 2023;CP T2 PLF 2023;CP Hors T2 PLF 2023;AE T2 Amendements 2023;AE Hors T2 Amendements 2023;CP T2 Amendements 2023;CP Hors T2 Amendements 2023;AE T2 LFI 2023;AE Hors T2 LFI 2023;AE (T2 + Hors T2) LFI  2023;CP T2 LFI 2023;CP Hors T2 LFI 2023;CP (T2 + Hors T2) LFI  2023;check LFI positive pour le croisement action/sous-action catégorie de cette ligne;"check
 AE = CP en T2"
Plan de relance;PR;BG;362.0;Écologie;07;Infrastructures et mobilité vertes;;;62.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;0.0;0.0;15000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;15;Personnels mettant en oeuvre les politiques d'accompagnement des mutations économiques et développement de l'emploi;;;22.0;4.0;36.0;Travail, plein emploi et insertion;34823343.0;0.0;34823343.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Anciens combattants, mémoire et liens avec la Nation;MB;BG;158.0;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;01;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation;;;21.0;4.0;12.0;Services du Premier ministre;988959.0;0.0;988959.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;176.0;Police nationale;01;Ordre public et protection de la souveraineté;02;Ordre public et protection de la souveraineté - Hors administration centrale et cabinets;21.0;4.0;9.0;Intérieur et outre-mer;850976465.0;0.0;850976465.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;176.0;Police nationale;05;Missions de police judiciaire et concours à la justice;02;Missions de police judiciaire et concours à la justice - Hors administration centrale et cabinets;21.0;4.0;9.0;Intérieur et outre-mer;1581312727.0;0.0;1581312727.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;214.0;Soutien de la politique de l'éducation nationale;02;Évaluation et contrôle;;;21.0;4.0;6.0;Éducation nationale et  jeunesse;50140629.0;0.0;50140629.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Engagements financiers de l'État;EB;BG;114.0;Appels en garantie de l'État (crédits évaluatifs);04;Développement international de l'économie française;02;Assurance-prospection;65.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;97500000.0;0.0;97500000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Conseil et contrôle de l'État;CA;BG;164.0;Cour des comptes et autres juridictions financières;22;Contrôle des finances publiques;;;23.0;4.0;12.0;Services du Premier ministre;97646.0;0.0;97646.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;174.0;Énergie, climat et après-mines;02;Accompagnement transition énergétique;;;61.0;4.0;43.0;Transition énergétique;0.0;3326047498.0;0.0;3072494265.0;0.0;700000000.0;0.0;700000000.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Cohésion des territoires;VA;BG;109.0;Aide à l'accès au logement;01;Aides personnelles;;;61.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;13362000000.0;0.0;13362000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;161.0;Sécurité civile;11;Prévention et gestion de crises;;;64.0;4.0;9.0;Intérieur et outre-mer;0.0;7590000.0;0.0;7590000.0;0.0;7000000.0;0.0;7000000.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;66;Rayonnement et contribution extérieure;05;Pilotage, soutien et communication -  Elèves des classes préparatoires des lycées de la défense;21.0;4.0;70.0;Armées;1309810.0;0.0;1309810.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sport, jeunesse et vie associative;SF;BG;350.0;Jeux olympiques et paralympiques 2024;02;Comité d'organisation des jeux olympiques et paralympiques;;;64.0;4.0;42.0;Sports et jeux olympiques et paralympiques;0.0;0.0;0.0;25000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Direction de l'action du Gouvernement;DC;BG;129.0;Coordination du travail gouvernemental;16;Coordination de la politique numérique;;;31.0;4.0;12.0;Services du Premier ministre;0.0;32009241.0;0.0;30221241.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;50;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";02;Renseignement de sécurité et de défense;23.0;4.0;70.0;Armées;439641.0;0.0;439641.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";06;Renseignement d'intérêt militaire;21.0;4.0;70.0;Armées;103772307.0;0.0;103772307.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Justice;JA;BG;335.0;Conseil supérieur de la magistrature;01;Conseil supérieur de la magistrature;;;23.0;4.0;10.0;Justice;9821.0;0.0;9821.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Relations avec les collectivités territoriales;RC;BG;119.0;Concours financiers aux collectivités territoriales et à leurs groupements;05;Dotation générale de décentralisation des régions;;;63.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;1298030418.0;0.0;1298030418.0;0.0;107000000.0;0.0;107000000.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Outre-mer;OA;BG;123.0;Conditions de vie outre-mer;06;Collectivités territoriales;;;64.0;4.0;9.0;Intérieur et outre-mer;0.0;10000000.0;0.0;10000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Aide publique au développement;AD;BG;110.0;Aide économique et financière au développement;03;Traitement de la dette des pays pauvres;;;64.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;1300132.0;0.0;1300132.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Solidarité, insertion et égalité des chances;SE;BG;137.0;Égalité entre les femmes et les hommes;25;Prévention et lutte contre les violences et la prostitution;;;64.0;4.0;12.0;Services du Premier ministre;0.0;27583580.0;0.0;30804402.0;0.0;5962757.0;0.0;5962757.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;218.0;Conduite et pilotage des politiques économiques et financières;02;Expertise, audit, évaluation et contrôle;;;51.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;5710729.0;0.0;5310729.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Recherche et enseignement supérieur;RA;BG;142.0;Enseignement supérieur et recherche agricoles;01;Enseignement supérieur;;;32.0;4.0;3.0;Agriculture et souveraineté alimentaire;0.0;45640498.0;0.0;45640498.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;161.0;Sécurité civile;11;Prévention et gestion de crises;;;23.0;4.0;9.0;Intérieur et outre-mer;9483.0;0.0;9483.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;141.0;Enseignement scolaire public du second degré;12;Pilotage, administration et encadrement pédagogique;;;22.0;4.0;6.0;Éducation nationale et  jeunesse;1587085077.0;0.0;1587085077.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;156.0;Gestion fiscale et financière de l'État et du secteur public local;09;Soutien;;;23.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;7925068.0;0.0;7925068.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;176.0;Police nationale;03;Sécurité routière;01;Sécurité routière  - Administration centrale et cabinet;23.0;4.0;9.0;Intérieur et outre-mer;66899.0;0.0;66899.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;203.0;Infrastructures et services de transports;41;Ferroviaire;;;62.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;2708374508.0;0.0;2704924508.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Direction de l'action du Gouvernement;DC;BG;129.0;Coordination du travail gouvernemental;13;Ordre de la Légion d'honneur;;;53.0;4.0;12.0;Services du Premier ministre;0.0;2949000.0;0.0;2949000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Économie;DB;BG;134.0;Développement des entreprises et régulations;15;Mise en oeuvre du droit de la concurrence (Autorité de la concurrence);;;21.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;12999204.0;0.0;12999204.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;12;Etudes, statistiques évaluation et recherche;;;31.0;4.0;36.0;Travail, plein emploi et insertion;0.0;7232784.0;0.0;6837862.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Remboursements et dégrèvements;RD;BG;200.0;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);11;Remboursements et restitutions liés à la mécanique de l'impôt;05;Impôt sur le revenu;61.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;10315022825.0;0.0;10315022825.0;0.0;1057895953.0;0.0;1057895953.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Pensions;YD;CAS;741.0;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;02;Militaires relevant du code des pensions civiles et militaires de retraite;;;31.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;100000.0;0.0;100000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Financement des aides aux collectivités pour l'électrification rurale;YK;CAS;793.0;Électrification rurale;11;Sécurisation de fils nus (Fusion des actions 6 et 7 à partir de 2021);;;64.0;4.0;43.0;Transition énergétique;0.0;100000000.0;0.0;100000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Action extérieure de l'État;AA;BG;105.0;Action de la France en Europe et dans le monde;07;Réseau diplomatique;;;21.0;4.0;1.0;Europe et affaires étrangères;377235212.0;0.0;377235212.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;08;Projection - mobilité - soutien;46;Assurer la mobilité - Rénovation Cougar;31.0;4.0;70.0;Armées;0.0;0.0;0.0;114416.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;52;Relations internationales;01;DGA / Soutien aux exportations;22.0;4.0;70.0;Armées;2881769.0;0.0;2881769.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Recherche et enseignement supérieur;RA;BG;231.0;Vie étudiante;02;Aides indirectes;;;32.0;4.0;38.0;Enseignement supérieur et recherche;0.0;290898690.0;0.0;290898690.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Administration générale et territoriale de l'État;AB;BG;232.0;Vie politique;02;Organisation des élections;;;21.0;4.0;9.0;Intérieur et outre-mer;943700.0;0.0;943700.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Administration générale et territoriale de l'État;AB;BG;232.0;Vie politique;03;Commission nationale des comptes de campagne et des financements politiques;;;22.0;4.0;9.0;Intérieur et outre-mer;1353170.0;0.0;1353170.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Administration générale et territoriale de l'État;AB;BG;354.0;Administration territoriale de l'État;01;Coordination de la sécurité des personnes et des biens;;;23.0;4.0;9.0;Intérieur et outre-mer;1409535.0;0.0;1409535.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Avances à l'audiovisuel public;ZD;CCF;845.0;Institut national de l'audiovisuel;01;Institut national de l'audiovisuel;;;71.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;93629039.0;0.0;93629039.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Engagements financiers de l'État;EB;BG;114.0;Appels en garantie de l'État (crédits évaluatifs);04;Développement international de l'économie française;06;Garantie du risque exportateur;65.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;23000000.0;0.0;23000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;161.0;Sécurité civile;14;Fonctionnement, soutien et logistique;;;51.0;4.0;9.0;Intérieur et outre-mer;0.0;32256.0;0.0;32256.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;103.0;Accompagnement des mutations économiques et développement de l'emploi;03;Développement de l'emploi;01;Baisse du coût du travail pour faciliter le développement de territoires et de secteurs à forts potentiels d'emploi;61.0;4.0;36.0;Travail, plein emploi et insertion;0.0;1353503704.0;0.0;1353503704.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;06;Dissuasion;22;Assurer la crédibilité opérationnelle de la dissuasion - soutien et mise en oeuvre des forces - toutes opérations;51.0;4.0;70.0;Armées;0.0;541412466.0;0.0;517248021.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;08;Projection - mobilité - soutien;43;Projeter les forces - Autres opérations;51.0;4.0;70.0;Armées;0.0;84349323.0;0.0;70685830.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Direction de l'action du Gouvernement;DC;BG;308.0;Protection des droits et libertés;12;Commission nationale de contrôle des techniques de renseignement;;;21.0;4.0;12.0;Services du Premier ministre;1820228.0;0.0;1820228.0;0.0;89403.0;0.0;89403.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Outre-mer;OA;BG;123.0;Conditions de vie outre-mer;04;Sanitaire, social, culture, jeunesse et sports;;;64.0;4.0;9.0;Intérieur et outre-mer;0.0;2000000.0;0.0;2000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;43;Espace - Communiquer - Moyens de communication satellitaire;31.0;4.0;70.0;Armées;0.0;170515111.0;0.0;129029849.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;156.0;Gestion fiscale et financière de l'État et du secteur public local;09;Soutien;;;51.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;63375543.0;0.0;69726655.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;176.0;Police nationale;04;Police des étrangers et sûreté des transports internationaux;04;Autres actions relatives à la police des étrangers et à la sureté des transports internationaux - Hors administration centrale et cabinets;23.0;4.0;9.0;Intérieur et outre-mer;3229539.0;0.0;3229539.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Pensions;YD;CAS;743.0;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;02;Réparation;;;61.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;754745956.0;0.0;754745956.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;156.0;Gestion fiscale et financière de l'État et du secteur public local;06;Gestion des pensions;;;22.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;26597563.0;0.0;26597563.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";05;Service du commissariat des armées;23.0;4.0;70.0;Armées;6223735.0;0.0;6223735.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;111.0;Amélioration de la qualité de l'emploi et des relations du travail;02;Qualité et effectivité du droit;;;61.0;4.0;36.0;Travail, plein emploi et insertion;0.0;740000.0;0.0;740000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;144.0;Environnement et prospective de la politique de défense;07;Prospective de défense;04;Gestion des moyens et subventions;53.0;4.0;70.0;Armées;0.0;22454962.0;0.0;22454962.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;159.0;Expertise, information géographique et météorologie;11;Etudes et expertise en matière de développement durable;;;32.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;194065764.0;0.0;194065764.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Agriculture, alimentation, forêt et affaires rurales;AC;BG;206.0;Sécurité et qualité sanitaires de l'alimentation;01;Santé, qualité et protection des végétaux;;;64.0;4.0;3.0;Agriculture et souveraineté alimentaire;0.0;22154156.0;0.0;22261233.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;103.0;Accompagnement des mutations économiques et développement de l'emploi;03;Développement de l'emploi;01;Baisse du coût du travail pour faciliter le développement de territoires et de secteurs à forts potentiels d'emploi;62.0;4.0;36.0;Travail, plein emploi et insertion;0.0;1767757995.0;0.0;1767757995.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;214.0;Soutien de la politique de l'éducation nationale;05;Action internationale;;;64.0;4.0;6.0;Éducation nationale et  jeunesse;0.0;2492690.0;0.0;2492690.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Développement agricole et rural;YF;CAS;776.0;Recherche appliquée et innovation en agriculture;02;Fonction support;;;31.0;4.0;3.0;Agriculture et souveraineté alimentaire;0.0;500000.0;0.0;500000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Outre-mer;OA;BG;123.0;Conditions de vie outre-mer;07;Insertion économique et coopération régionales;;;64.0;4.0;9.0;Intérieur et outre-mer;0.0;889500.0;0.0;889500.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Cohésion des territoires;VA;BG;162.0;Interventions territoriales de l'État;10;Fonds interministériel pour la transformation de la Guyane;;;63.0;4.0;12.0;Services du Premier ministre;0.0;7367943.0;0.0;3203339.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Plan de relance;PR;BG;363.0;Compétitivité;06;Commandes militaires;;;52.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;0.0;0.0;36500000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";04;Service interarmées des munitions;23.0;4.0;70.0;Armées;373681.0;0.0;373681.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;103.0;Accompagnement des mutations économiques et développement de l'emploi;01;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;01;Développement de l'emploi en TPE-PME;62.0;4.0;36.0;Travail, plein emploi et insertion;0.0;692956228.0;0.0;523583788.0;0.0;-5000000.0;0.0;-5000000.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;146.0;Équipement des forces;09;Engagement et combat;63;Frapper à distance - Porte-avions;31.0;4.0;70.0;Armées;0.0;1072053280.0;0.0;176126412.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;156.0;Gestion fiscale et financière de l'État et du secteur public local;03;Fiscalité des particuliers et fiscalité directe locale;;;22.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;745397353.0;0.0;745397353.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;181.0;Prévention des risques;10;Prévention des risques naturels et hydrauliques;;;63.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;1000000.0;0.0;1000000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Justice;JA;BG;182.0;Protection judiciaire de la jeunesse;04;Formation;;;64.0;4.0;10.0;Justice;0.0;20000.0;0.0;20000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Solidarité, insertion et égalité des chances;SE;BG;124.0;Conduite et soutien des politiques sanitaires et sociales;22;Personnels transversaux et de soutien;;;22.0;4.0;56.0;Solidarités, autonomie et personnes handicapées;28640071.0;0.0;28640071.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Travail et emploi;TB;BG;155.0;Conception, gestion et évaluation des politiques de l'emploi et du travail;18;Personnels transversaux et de soutien;;;21.0;4.0;36.0;Travail, plein emploi et insertion;41754502.0;0.0;41754502.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Agriculture, alimentation, forêt et affaires rurales;AC;BG;149.0;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;21;Adaptation des filières à l'évolution des marchés;;;62.0;4.0;3.0;Agriculture et souveraineté alimentaire;0.0;232060887.0;0.0;232457420.0;0.0;5000000.0;0.0;5000000.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Recherche et enseignement supérieur;RA;BG;150.0;Formations supérieures et recherche universitaire;14;Immobilier;;;22.0;4.0;38.0;Enseignement supérieur et recherche;19640310.0;0.0;19640310.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Solidarité, insertion et égalité des chances;SE;BG;124.0;Conduite et soutien des politiques sanitaires et sociales;22;Personnels transversaux et de soutien;;;21.0;4.0;56.0;Solidarités, autonomie et personnes handicapées;53090398.0;0.0;53090398.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Sécurités;SB;BG;161.0;Sécurité civile;14;Fonctionnement, soutien et logistique;;;23.0;4.0;9.0;Intérieur et outre-mer;45197.0;0.0;45197.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;214.0;Soutien de la politique de l'éducation nationale;07;Établissements d'appui de la politique éducative;;;53.0;4.0;6.0;Éducation nationale et  jeunesse;0.0;1056989.0;0.0;1056989.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Agriculture, alimentation, forêt et affaires rurales;AC;BG;215.0;Conduite et pilotage des politiques de l'agriculture;02;Évaluation de l'impact des politiques publiques et information économique;;;21.0;4.0;3.0;Agriculture et souveraineté alimentaire;10502614.0;0.0;10502614.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Enseignement scolaire;EC;BG;230.0;Vie de l'élève;02;Santé scolaire;;;63.0;4.0;6.0;Éducation nationale et  jeunesse;0.0;3790000.0;0.0;3790000.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Écologie, développement et mobilité durables;TA;BG;159.0;Expertise, information géographique et météorologie;12;Information géographique et cartographique;;;32.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;88914556.0;0.0;88914556.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Direction de l'action du Gouvernement;DC;BG;308.0;Protection des droits et libertés;13;Commission du secret de la Défense nationale;;;23.0;4.0;12.0;Services du Premier ministre;2909.0;0.0;2909.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Pensions;YD;CAS;743.0;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;06;Pensions des sapeurs-pompiers et anciens agents de la défense passive victimes d'accident;;;61.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;0.0;11444348.0;0.0;11444348.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Conseil et contrôle de l'État;CA;BG;165.0;Conseil d'État et autres juridictions administratives;06;Soutien;;;52.0;4.0;12.0;Services du Premier ministre;0.0;4238280.0;0.0;5676080.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Défense;DA;BG;212.0;Soutien de la politique de la défense;65;"Journée défense et citoyenneté - Personnel travaillant pour le programme ""Reconnaissance et réparation en faveur du monde combattant""";;;23.0;4.0;70.0;Armées;729509.0;0.0;729509.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Cohésion des territoires;VA;BG;112.0;Impulsion et coordination de la politique d'aménagement du territoire;14;Prime d'aménagement du territoire, contrats de ruralité et pacte Etat-métropoles;;;63.0;4.0;23.0;Transition écologique et cohésion des territoires;0.0;0.0;0.0;4509183.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
Gestion des finances publiques;GA;BG;218.0;Conduite et pilotage des politiques économiques et financières;07;Pilotage des finances publiques et projets interministériels;;;22.0;4.0;7.0;Économie, finances et souveraineté industrielle et numérique;18978101.0;0.0;18978101.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0
