Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege;commentFP
MSN;BG;UE;;;Plan d'urgence face à la crise sanitaire;Plan urg. crise san;
PGM;BG;356;UE;36;Prise en charge du dispositif exceptionnel de chômage partiel à la suite de la crise sanitaire;Chômage partiel CS;"Le programme ""Prise en charge du dispositif exceptionnel d'activité partielle"", créé en LFRI,a pour vocation d’inciter toutes les entreprises qui connaissent une réduction, voire une suspension temporaire de leur activité dans le contexte sanitaire et économique résultant du Covid-19, à recourir à l’activité partielle (dit « chômage partiel ») via la mise en place d’un nouveau dispositif de soutien exceptionnel de l’Etat. Les deux dispositifs d’activité partielle – APLD et activité partielle de droit commun – ont vocation à remplacer l’activité partielle exceptionnelle en 2021, dans le contexte de la relance. Par conséquent, en PLF 2021, l’intégralité des financements de l’activité partielle au titre de 2021 seront portés par le programme « cohésion sociale et territoriale » (P 356) de la mission « Plan de relance ». Aucun crédit n’est donc budgété en PLF 2021 sur le programme ""Prise en charge du dispositif exceptionnel d'activité partielle""."
ACT;BG;356-01;;;Favoriser le recours à l'activité partielle pour prévenir les licenciements;Activité partielle;
PGM;BG;357;UE;7;Fonds de solidarité pour les entreprises à la suite de la crise sanitaire;Fds solidarité entreprise;Le programme 357 « Fonds de solidarité pour les entreprises à la suite de la crise sanitaire » porte les aides d'urgence destinées à prévenir  la  cessation d’activité des très petites entreprises (TPE), des micro-entrepreneurs, des indépendants et des professions libérales. Co-financé par les Régions, les collectivités d'outre-mer et par les assureurs, ce fonds, qui a été prolongé jusqu'au 31 décembre 2020, est composé de deux aides : une aide forfaitaire visant à compenser 50 % de la perte de chiffre d'affaires mensuelle (dans la limite de 1 500 €) et une aide complémentaire pour les entreprises les plus en difficulté pouvant atteindre 10 000 € (cas général).
ACT;BG;357-01;;;Soutenir les entreprises éligibles au fonds de solidarité;Sout.ent Fds sol;
PGM;BG;358;UE;7;Renforcement exceptionnel des participations financières de l'État dans le cadre de la crise sanitaire;Renf excep PFE crise;
ACT;BG;358-01;;;Renforcement exceptionnel des participations financières de l'État dans le cadre de la crise sanitaire;Renf excep PFE crise san;
PGM;BG;360;UE;7;Compensation à la sécurité sociale des allègements de prélèvements pour les entreprises les plus touchées par la crise sanitaire;Comp.secu alleg.prel.cris;Ce programme a été créé spécifiquement pour soutenir les employeurs les plus touchés par la crise économique actuelle résultant de l’épidémie de covid-19. Afin de préserver la pérennité de l'activité et de garantir l'emploi, des mesures ambitieuses d'exonération de cotisations et contributions sociales, ainsi qu'un dispositif d'aide au paiement de charges sociales pour les TPE et PME sont mises en place auprès des employeurs particulièrement affectés par la crise.
ACT;BG;360-01;;;Soutenir les entreprises dans leur reprise d'activité;sout.ent.reprise act;
MSN;CCF;ZC;;;Avances aux collectivités territoriales;AvancesColloc;"La mission ""Avances aux collectivités territoriales"" retrace les avances aux collectivités et établissements publics, et à la Nouvelle- Calédonie (programme 832), les avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes (programme 833), et les avances remboursables de droits de mutation à titre onéreux destinées à soutenir les départements et d’autres collectivités affectés par les conséquences économiques de l’épidémie de Covid-19 (programme 834)."
PGM;CCF;832;ZC;7;Avances aux collectivités et établissements publics, et à la Nouvelle-Calédonie;Avances aux collectivités;Ce programme permet à l’État d'accorder des avances aux collectivités territoriales qui connaissent des difficultés momentanées de trésorerie.
ACT;CCF;832-01;;;Avances de l'article L. 2337-1 du code général des collectivités territoriales;Avances de l'article L. 2;
ACT;CCF;832-02;;;Avances de l'article 14 de la loi n° 46-2921 du 23 décembre 1946 et de l'article L. 2337-2 du code général des collectivités territoriales;Avances L 2337-2 CGCT;
ACT;CCF;832-03;;;Avances de l'article 34 de la loi n° 53-1336 du 31 décembre 1953 (avances spéciales sur recettes budgétaires);Avances de l'article 34 d;
ACT;CCF;832-04;;;Avances à la Nouvelle-Calédonie, au titre de la fiscalité du nickel;Avances à la Nouvelle-Cal;
PGM;CCF;833;ZC;7;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;AvancesImpoColloc&Divers;Ce programme a pour finalité de garantir aux collectivités territoriales et aux organismes assimilés, le versement par l’État des avances sur le montant des impositions directes locales.
ACT;CCF;833-01;;;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;Avances sur le montant de;
ACT;CCF;833-02;;;Avances aux départements sur le produit de la taxe intérieure de consommation sur les produits énergétiques;Avances aux départements ;
ACT;CCF;833-03;;;Avances aux départements sur les frais de gestion de la taxe foncière sur les propriétés bâties;Avances aux départements ;
ACT;CCF;833-04;;;Avances aux régions sur les frais de gestion de la contribution foncière des entreprises (CFE) et de la contribution sur la valeur ajoutée des entreprises (CVAE) et sur le produit de la taxe intérieure de consommation sur les produits énergétiques (TICPE);Avan.régions frais gesCFE;
PGM;CCF;834;ZC;7;Avances remboursables de droits de mutation à titre onéreux destinées à soutenir les départements et d'autres collectivités affectés par les conséquences économiques de l'épidémie de covid-19;Avanc.droits mut covid;Ce programme a pour finalité de verser aux départements des avances remboursables de DMTO.
ACT;CCF;834-01;;;Permettre aux départements de faire face à la baisse momentanée de leurs recettes de DMTO;avances DMTO covid;
MSN;CAS;YK;;;Financement des aides aux collectivités pour l'électrification rurale;FACÉ;La mission « Financement des aides aux collectivités pour l’électrification rurale » a pour objet de soutenir les autorités organisatrices de la distribution d’électricité (AODE), par une aide financière, dans leurs travaux de renforcement, d’enfouissement et de sécurisation des réseaux électriques en milieu rural.
PGM;CAS;793;YK;23;Électrification rurale;Électrification rurale;Le programme « Électrification rurale » porte les aides financières devant bénéficier aux autorités organisatrices de la distribution d’électricité (AODE), pour les accompagner dans leurs travaux de renforcement, enfouissement et sécurisation des réseaux électriques.
ACT;CAS;793-07;;;Sécurisation des fils nus de faible section;Sécur fils nus (FS);
ACT;CAS;793-03;;;Renforcement des réseaux;Renforcement des réseaux;
ACT;CAS;793-04;;;Extension des réseaux;Extension des réseaux;
ACT;CAS;793-05;;;Enfouissement et pose en façade;Enfouiss & pose en façade;
ACT;CAS;793-06;;;Sécurisation des fils nus (hors faible section);Sécur fils nus (HFS);
ACT;CAS;793-08;;;Fonctionnement;Fonctionnement;
ACT;CAS;793-09;;;Déclaration d'utilité publique (Très haute tension);Déclar utilité pub (THT);
ACT;CAS;793-10;;;Intempéries;Intempéries;
ACT;CAS;793-11;;;Sécurisation de fils nus (Fusion des actions 6 et 7 à partir de 2021);Sécurisation de fils nus;
PGM;CAS;794;YK;23;Opérations de maîtrise de la demande d'électricité, de production d'électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;maîtrise dmde électricité;Le programme « Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées » vise à financer des unités de production décentralisées d’électricité notamment dans les départements et régions d’outre-mer (DROM).
ACT;CAS;794-04;;;Maîtrise de la demande d'énergie;Maîtrise demande énergie;
ACT;CAS;794-07;;;Transition énergétique;Transition énergétique;
ACT;CAS;794-03;;;Installations de proximité en zone non interconnectée;Inst prox zone non interc;
ACT;CAS;794-05;;;Déclaration d'utilité publique (Très haute tension) - (Engagements antérieurs au 1er janvier 2013);Déclar THT avant 01-2013;
ACT;CAS;794-06;;;Intempéries - (Engagements antérieurs au 1er janvier 2013);Intempéries avant 01-2013;
ACT;CAS;794-02;;;Sites isolés;Sites isolés;
ACT;CAS;794-08;;;Appel à projets innovants;Appel à projets innovants;
