Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege
ACT;BG;304-14;;;Aide alimentaire;Aide alimentaire
SSA;BG;304-14-01;;;Aide alimentaire - crédits nationaux;Aide alimentaire - crédit
SSA;BG;304-14-02;;;Aide alimentaire - crédits déconcentrés;Aide alimentaire - crédit
ACT;BG;304-15;;;Qualification en travail social;Qualification en travail 
SSA;BG;304-15-01;;;Qualification en travail social - crédits nationaux;Qualification en travail 
SSA;BG;304-15-02;;;Qualification en travail social - crédits déconcentrés;Qualification en travail 
SSA;BG;304-15-03;;;Certification professionnelle;Certificat° prof.
ACT;BG;304-16;;;Protection juridique des majeurs;Protection juridique des 
SSA;BG;304-16-01;;;Services tutélaires;Services tutélaires
SSA;BG;304-16-02;;;Mandataires individuels;Mandataires individuels
ACT;BG;304-17;;;Protection et accompagnement des enfants, des jeunes et des familles vulnérables;Protection et accompagnem
SSA;BG;304-17-01;;;Agence française de l'adoption;AFA
SSA;BG;304-17-02;;;GIP Enfance en danger;GIPED
SSA;BG;304-17-03;;;Soutien financier aux organismes nationaux;Subventions nationales
SSA;BG;304-17-04;;;Frais de justice;Frais de justice
SSA;BG;304-17-05;;;Autres actions nationales;Autres actions nationales
SSA;BG;304-17-06;;;Point accueil écoute jeune;PAEJ
SSA;BG;304-17-07;;;Mineurs Non Accompagnés;MNA
SSA;BG;304-17-08;;;Autres actions  locales;Autres actions  locales
SSA;BG;304-17-09;;;Stratégie de prévention et protection de l'enfance;Strat protect° enfance
SSA;BG;304-17-10;;;Cellules territoriales appui et isolement;CTAI
SSA;BG;304-17-11;;;Plan vacances apprenantes;Vacances apprenantes
ACT;BG;304-18;;;Aide à la vie familiale et sociale des anciens migrants dans leur pays d'origine (AVFS);AVFS
ACT;BG;304-19;;;Stratégie interministérielle de Prévention et de Lutte contre la Pauvreté des Enfants et des Jeunes;Stratégie interministérie
SSA;BG;304-19-01;;;Contractualisation avec les départements;Contractualisation CD
SSA;BG;304-19-02;;;Mesures d'investissement social (hors contractualisation);Mesures d'invest.social
SSA;BG;304-19-03;;;Contractualisation avec les régions;Contractualisat° régions
SSA;BG;304-19-04;;;Contractualisation avec les métropoles;Contract métropoles
SSA;BG;304-19-05;;;Marge de manœuvre territoriale;Marge de manœuvre territ.
MSN;BG;SF; ;;;SportJeunAssoc
PGM;BG;163;SF;06;Jeunesse et vie associative;Jeunesse et vie associati
ACT;BG;163-01;;;Développement de la vie associative;Dvpt  vie associative
ACT;BG;163-02;;;Actions en faveur de la jeunesse et de l'éducation populaire;Actions JEP
ACT;BG;163-04;;;Développement du service civique;Dvpt service civique
ACT;BG;163-06;;;Service National Universel;SNU
PGM;BG;219;SF;06;Sport;Sport
ACT;BG;219-01;;;Promotion du sport pour le plus grand nombre;sport plus grand nombre
ACT;BG;219-02;;;Développement du sport de haut niveau;haut niveau
ACT;BG;219-03;;;Prévention par le sport et protection des sportifs;Prévention sport
ACT;BG;219-04;;;Promotion des métiers du sport;Promotion métiers sport
ACT;BG;219-98;;;Personnels des services centraux concourant au programme sport;Personnels des services c
ACT;BG;219-99;;;Personnels des services déconcentrés concourant aux programme Sport;Personnels des services d
PGM;BG;350;SF;06;Jeux olympiques et paralympiques 2024;JoP2024
ACT;BG;350-01;;;Société de livraison des ouvrages olympiques et paralympiques;SOLIDEO
ACT;BG;350-02;;;Comité d'organisation des jeux olympiques et paralympiques;COJO
ACT;BG;350-04;;;Héritage des jeux olympiques et paralympiques;Héritage des jeux olympiq
ACT;BG;350-05;;;Autres dépenses liées aux Jeux olympiques et paralympiques;Autres dépenses JOP
MSN;BG;TR; ;;;Trans&fonct.Publ.
PGM;BG;148;TR;50;Fonction publique;Fonction publique
ACT;BG;148-01;;;Formation des fonctionnaires;Formation des fonctionnai
SSA;BG;148-01-01;;;Ecole nationale d'administration;Ecole nationale d'adminis
SSA;BG;148-01-02;;;Instituts régionaux d'administration;Instituts régionaux d'adm
SSA;BG;148-01-07;;;Formation interministérielle;Formation interministérie
ACT;BG;148-02;;;Action sociale interministérielle;Action sociale interminis
SSA;BG;148-02-02;;;Aide aux familles;Aide aux familles
SSA;BG;148-02-03;;;Retraités;Retraités
SSA;BG;148-02-04;;;Logement;Logement
SSA;BG;148-02-05;;;Restauration;Restauration
SSA;BG;148-02-06;;;Sections régionales interministérielles d'action sociale;Sections régionales inter
ACT;BG;148-03;;;Appui et innovation des ressources humaines;Appui Innovation RH
PGM;BG;348;TR;07;Rénovation des cités administratives et autres sites domaniaux multi-occupants;RénCitéAdmSiteDomMultiOcc
ACT;BG;348-11;;;Etudes;Etudes
ACT;BG;348-12;;;Travaux et gros entretien à la charge du propriétaire;Trav gros entretien propr
ACT;BG;348-13;;;Acquisitions, construction;Acqui.construction
PGM;BG;349;TR;50;Fonds pour la transformation de l'action publique;FondsTransf.Act.Publ
ACT;BG;349-01;;;Fonds pour la transformation de l'action publique;Fonds pour la transformat
PGM;BG;351;TR;50;Fonds d'accompagnement interministériel Ressources humaines;FondsAccIntRH
ACT;BG;351-01;;;Accompagnement interministériel Ressources humaines;Accompagnement RH
PGM;BG;352;TR;50;Innovation et transformation numériques;Innov&transf.numérique
ACT;BG;352-01;;;Fonds pour l'accélération du financement des start-up d'État;Fonds pour l'accélération
ACT;BG;352-02;;;Soutien au recrutement de profils rares dédiés à l'innovation numérique;Recrut.profis rares
MSN;BG;TB; ;;;Travail et emploi
PGM;BG;102;TB;36;Accès et retour à l'emploi;Accès&RretourEmploi
ACT;BG;102-01;;;Amélioration de l'efficacité du service public de l'emploi;Amélioration de l’efficac
SSA;BG;102-01-01;;;Indemnisation des demandeurs d'emploi;Indemnisation des demande
SSA;BG;102-01-02;;;Coordination du service public de l'emploi;Coordination du service p
ACT;BG;102-02;;;Amélioration des dispositifs en faveur de l'emploi des personnes les plus éloignées du marché du travail;Amélioration des disposit
SSA;BG;102-02-01;;;Insertion dans l'emploi au moyen de contrats aidés;Insertion dans l'emploi a
SSA;BG;102-02-02;;;Accompagnement des publics les plus en difficultés;Accompagnement des public
ACT;BG;102-03;;;Plan d'investissement des compétences;Plan inv compétences
ACT;BG;102-04;;;Aide exceptionnelle contrat pro;AideExcepContPro
PGM;BG;103;TB;36;Accompagnement des mutations économiques et développement de l'emploi;AccMutationsEco&DevEmploi
ACT;BG;103-01;;;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi;Anticipation et accompagn
SSA;BG;103-01-01;;;Développement de l'emploi en TPE-PME;Développement de l’emploi
SSA;BG;103-01-02;;;Implication des branches et des entreprises dans la prévention du licenciement et le reclassement des salariés;Implication des branches 
ACT;BG;103-02;;;Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences;Amélioration de l'inserti
SSA;BG;103-02-03;;;Reconnaissance des compétences acquises par les personnes;Reconnaissance des compét
SSA;BG;103-02-04;;;Amélioration de l'accès à la qualification par le développement de l'alternance et de la certification;Amélioration de l'accès à
ACT;BG;103-03;;;Développement de l'emploi;Développement de l'emploi
SSA;BG;103-03-01;;;Baisse du coût du travail pour faciliter le développement de territoires et de secteurs à forts potentiels d'emploi;Baisse du coût du travail
SSA;BG;103-03-02;;;Promotion de l'activité;Promotion de l'activité
SSA;BG;103-03-03;;;Aide à l'embauche;Aide à l'embauche
ACT;BG;103-04;;;Plan d'investissement des compétences;Plan inv compétences
ACT;BG;103-05;;;Aide exceptionnelle apprentissage;Aide except apprentis
PGM;BG;111;TB;36;Amélioration de la qualité de l'emploi et des relations du travail;AmélioQualEmploRelTravail
ACT;BG;111-01;;;Santé et sécurité au travail;Santé et sécurité au trav
SSA;BG;111-01-10;;;Recherche et exploitation des études;Recherche et exploitation
SSA;BG;111-01-11;;;Agence nationale de sécurité sanitaire de l'alimentation, de l'environnement et du travail (ANSES);Agence nationale de sécur
SSA;BG;111-01-12;;;Agence nationale pour l'amélioration des conditions de travail (ANACT);Agence nationale pour l'a
SSA;BG;111-01-13;;;Fonds d'amélioration des conditions de travail (FACT);Fonds d'amélioration des 
ACT;BG;111-02;;;Qualité et effectivité du droit;Qualité et effectivité du
SSA;BG;111-02-01;;;Veille sur l'effectivité du droit : formation continue des conseillers prud'homaux;Veille sur l'effectivité 
SSA;BG;111-02-02;;;Renouvellement des conseillers prud'hommes;Renouvellement CPH
SSA;BG;111-02-03;;;Conseiller du salarié, subventions aux groupements et associations, et autres dépenses liées à la qualité et à l'effectivité du droit;Conseiller du salarié, su
SSA;BG;111-02-04;;;Défenseur syndical;Défenseur syndical
ACT;BG;111-03;;;Dialogue social et démocratie sociale;Dialogue social et démocr
SSA;BG;111-03-01;;;Paritarisme et formation syndicale;Parit et formation synd
SSA;BG;111-03-02;;;Action des services déconcentrés dans le développement de la négociation collective : soutien aux acteurs du dialogue social;Action des services décon
SSA;BG;111-03-03;;;Représentativités syndicale et patronale;Représentativité OS et OP
ACT;BG;111-04;;;Lutte contre le travail illégal;Lutte contre le travail i
PGM;BG;155;TB;36;Conception, gestion et évaluation des politiques de l'emploi et du travail;ConcepGestEvalPolTravail
ACT;BG;155-01;;;Soutien au plan d'investissement dans les compétences;PIC
ACT;BG;155-07;;;Fonds social européen - Assistance technique;Fonds social européen - A
SSA;BG;155-07-05;;;Concours du fonds social européen. Assistance technique. Objectif convergence (2007-2013);Concours du fonds social 
SSA;BG;155-07-06;;;Concours du fonds social européen. Assistance technique. Objectif compétitivité régionale et emploi (2007-2013);Concours du fonds social 
SSA;BG;155-07-07;;;Concours du fonds social européen. Assistance technique. Programme emploi et inclusion (2014-2020);FSE AT Prog Emploi inclus
SSA;BG;155-07-08;;;Concours du fonds social européen. Assitance technique. Programme initiative pour l'emploi des jeunes (IEJ) (2014-2020);FSE AT Prog IEJ
SSA;BG;155-07-09;;;Concours du fonds social européen. Assistance technique. Programmes FSE Etat - Régions d'outre-mer (2014-2020);Concours du fonds social 
ACT;BG;155-08;;;Fonctionnement des services;Fonctionnement des servic
ACT;BG;155-09;;;Systèmes d'information;Systèmes d'information
ACT;BG;155-11;;;Communication;Communication
ACT;BG;155-12;;;Etudes, statistiques évaluation et recherche;Etudes, statistiques éval
SSA;BG;155-12-01;;;Etudes et statistiques (hors opérateurs);Etudes et statistiques (h
SSA;BG;155-12-02;;;CEE;CEE
SSA;BG;155-12-03;;;CEREQ;CEREQ
ACT;BG;155-13;;;Politique des ressources humaines;Politique des ressources 
ACT;BG;155-14;;;Personnels mettant en oeuvre les politiques d'accès et retour à l'emploi;Personnels mettant en oeu
ACT;BG;155-15;;;Personnels mettant en oeuvre les politiques d'accompagnement des mutations économiques et développement de l'emploi;Personnels mettant en oeu
ACT;BG;155-16;;;Personnels mettant en oeuvre les politiques d'amélioration de la qualité de l'emploi et des relations du travail;Personnels mettant en oeu
ACT;BG;155-17;;;Personnels de statistiques, études et recherche;Personnels de statistique
ACT;BG;155-18;;;Personnels transversaux et de soutien;Personnels transversaux e
ACT;BG;155-98;;;Dépenses des personnels des services centraux concourant aux politiques de l'emploi et du travail;Dépenses des personnels d
ACT;BG;155-99;;;Dépenses des personnels des services  déconcentrés concourant aux politiques de l'emploi et du travail;Dépenses des personnels d
MSN;BA;XC; ;;;BACEA
PGM;BA;612;XC;23;Navigation aérienne;Navigation aérienne
ACT;BA;612-01;;;Soutien et prestations externes de la Navigation aérienne;Soutien et prestations ex
ACT;BA;612-02;;;Exploitation et innovation de la Navigation aérienne;Exploitation et innovatio
PGM;BA;613;XC;23;Soutien aux prestations de l'aviation civile;SoutienPrestationsAvciv
ACT;BA;613-01;;;Ressources humaines et management;Ressources humaines et ma
SSA;BA;613-01-01;;;Ressources humaines et management;Ressources humaines et ma
SSA;BA;613-01-02;;;Météo-France;Météo-France
ACT;BA;613-02;;;Logistique;Logistique
ACT;BA;613-03;;;Affaires financières;Affaires financières
ACT;BA;613-04;;;Formation aéronautique;Formation aéronautique
PGM;BA;614;XC;23;Transports aériens, surveillance et certification;Transports aériens, sur
ACT;BA;614-01;;;Développement durable et régulation;Développement durable et 
ACT;BA;614-02;;;Surveillance et certification;Surveillance et certifica
ACT;BA;614-04;;;Enquêtes de sécurité aérienne;Enquêtes de sécurité aéri
MSN;BA;XJ; ;;;BAPOIA
PGM;BA;623;XJ;12;Édition et diffusion;Edition et diffusion
ACT;BA;623-01;;;Diffusion légale;Diffusion légale
ACT;BA;623-02;;;Information administrative, édition publique et promotion;Info. admin. et éditions
PGM;BA;624;XJ;12;Pilotage et ressources humaines;Pilotage&RH
ACT;BA;624-01;;;Pilotage, modernisation et activités numériques;Pilot. moder. & act. num.
ACT;BA;624-02;;;Promotion et distribution des publications;Promo. Distrib. des pub.
ACT;BA;624-03;;;Dépenses de personnel;Dépenses de personnel
ACT;BA;624-04;;;Convention Etat - Société anonyme de composition et d'impression des journaux officiels;convention état- saci-jo
MSN;CAS;YE; ;;;Contrôle de la circu
PGM;CAS;751;YE;09;Structures et dispositifs de sécurité routière;StructDispSécur.Routière
ACT;CAS;751-01;;;Dispositifs de contrôle;Dispositifs de contrôle
ACT;CAS;751-02;;;Centre national de traitement;Centre national de traite
ACT;CAS;751-03;;;Soutien au programme;Soutien au programme
ACT;CAS;751-04;;;Système d'information Education routière et permis de conduire;SI ERPC
PGM;CAS;753;YE;09;Contrôle et modernisation de la politique de la circulation et du stationnement routiers;ContrModCircStatioRoutier
ACT;CAS;753-01;;;Déploiement du procès-verbal électronique;Déploiement du procès-ver
PGM;CAS;754;YE;45;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;ContrEquipCollocTransp
ACT;CAS;754-01;;;Contribution à l'équipement des collectivités territoriales pour l'amélioration des transports en commun, de la sécurité et de la circulation routières;EQUIPEMENT CT TRANSPORTS
PGM;CAS;755;YE;07;Désendettement de l'État;Désendettement de l'État
ACT;CAS;755-01;;;Désendettement de l'État;Désendettement de l'État
MSN;CAS;YF; ;;;Développement agrico
PGM;CAS;775;YF;03;Développement et transfert en agriculture;Développement et transfer
ACT;CAS;775-01;;;Développement et transfert;Développement et transfer
ACT;CAS;775-02;;;Fonction support;Fonction support
PGM;CAS;776;YF;03;Recherche appliquée et innovation en agriculture;RechAppliqInnovAgri
ACT;CAS;776-01;;;Recherche appliquée et innovation;Recherche appliquée et in
SSA;CAS;776-01-01;;;Programmes de développement agricole et rural;Programmes de développeme
SSA;CAS;776-01-02;;;Appels à projet;Appels à projet
ACT;CAS;776-02;;;Fonction support;Fonction support
MSN;CAS;YK; ;;;FACÉ
PGM;CAS;793;YK;23;Électrification rurale;Électrification rurale
ACT;CAS;793-03;;;Renforcement des réseaux;Renforcement des réseaux
ACT;CAS;793-04;;;Extension des réseaux;Extension des réseaux
ACT;CAS;793-05;;;Enfouissement et pose en façade;Enfouiss & pose en façade
ACT;CAS;793-06;;;Sécurisation des fils nus (hors faible section);Sécur fils nus (HFS)
ACT;CAS;793-07;;;Sécurisation des fils nus de faible section;Sécur fils nus (FS)
ACT;CAS;793-08;;;Fonctionnement;Fonctionnement
ACT;CAS;793-09;;;Déclaration d'utilité publique (Très haute tension);Déclar utilité pub (THT)
ACT;CAS;793-10;;;Intempéries;Intempéries
ACT;CAS;793-11;;;Sécurisation de fils nus (Fusion des actions 6 et 7 à partir de 2021);Sécurisation de fils nus
PGM;CAS;794;YK;23;Opérations de maîtrise de la demande d'électricité, de production d'électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;maîtrise dmde électricité
ACT;CAS;794-02;;;Sites isolés;Sites isolés
ACT;CAS;794-03;;;Installations de proximité en zone non interconnectée;Inst prox zone non interc
ACT;CAS;794-04;;;Maîtrise de la demande d'énergie;Maîtrise demande énergie
ACT;CAS;794-05;;;Déclaration d'utilité publique (Très haute tension) - (Engagements antérieurs au 1er janvier 2013);Déclar THT avant 01-2013
ACT;CAS;794-06;;;Intempéries - (Engagements antérieurs au 1er janvier 2013);Intempéries avant 01-2013
ACT;CAS;794-07;;;Transition énergétique;Transition énergétique
ACT;CAS;794-08;;;Appel à projets innovants;Appel à projets innovants
MSN;CAS;YB; ;;;Ges.Patrim.Immo.État
PGM;CAS;721;YB;07;Contribution des cessions immobilières au désendettement de l'État;ContrCessionImmoDsndtEtat
ACT;CAS;721-01;;;Contribution au désendettement de l'État;Contribution au désendett
PGM;CAS;723;YB;07;Opérations immobilières et entretien des bâtiments de l'État;Operat.EntrBatEtat
ACT;CAS;723-11;;;Opérations structurantes et cessions;Operations structurantes
ACT;CAS;723-12;;;Contrôles règlementaires, audits, expertises et diagnostics;Contrôles règlementaires,
ACT;CAS;723-13;;;Maintenance à la charge du propriétaire;Maintenance à la charge d
ACT;CAS;723-14;;;Gros entretien, réhabilitation, mise en conformité et remise en état;Gros entretien, réhabilit
MSN;CAS;YM; ;;;PartFranceDes.Grèce
