Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege
ACT;BG;146-06;;;Dissuasion;Dissuasion
SSA;BG;146-06-14;;;Assurer la crédibilité technique de la dissuasion M51;DisCrédTech-M51
SSA;BG;146-06-15;;;Assurer la crédibilité technique de la dissuasion SNLE NG : adaptation M51;DisCrédTe-SNLE NG-AdapM51
SSA;BG;146-06-17;;;Assurer la crédibilité technique de la dissuasion - Air sol moyenne portée amélioré (ASMPA);DisCrédTech-ASMPA
SSA;BG;146-06-18;;;Assurer la crédibilité technique de la dissuasion Simulation;DisCrédTech-Simulation
SSA;BG;146-06-19;;;Assurer la crédibilité technique de la dissuasion - Autres opérations;DisCrédTech-Autr.Op.
SSA;BG;146-06-22;;;Assurer la crédibilité opérationnelle de la dissuasion - soutien et mise en oeuvre des forces - toutes opérations;DisCrédOps-Sout&meoF-ttOp
SSA;BG;146-06-23;;;Assurer la crédibilité technique de la posture - toutes opérations;DisCrédTechPosture-ttOp
SSA;BG;146-06-24;;;Assurer la crédibilité technique de la dissuasion – SNLE 3G;DisCrédTech-SNLE 3G
ACT;BG;146-07;;;Commandement et maîtrise de l'information;Cdt & Maitrise de l'Info
SSA;BG;146-07-23;;;Commander et conduire - ARTEMIS IA;C&C-ARTEMIS IA
SSA;BG;146-07-24;;;Commander et conduire - Système de commandement et de conduite des opérations aériennes (SCCOA);C&C-SCCOA
SSA;BG;146-07-25;;;Commander et conduire - Système d'information TERRE;C&C-SI Terre
SSA;BG;146-07-27;;;Commander et conduire - Géographie numérique;C&C-DNG 3D
SSA;BG;146-07-28;;;Commander et conduire - Autres opérations;C&C-Autr.OP.
SSA;BG;146-07-29;;;Commander et conduire - Système d'information des armées (SIA);C&C-SIA
SSA;BG;146-07-30;;;Communiquer - Cyber;Comm-Cyber
SSA;BG;146-07-35;;;Communiquer - Autres opérations;Comm-Autr.Op.
SSA;BG;146-07-36;;;Communiquer - CONTACT;Comm-CONTACT
SSA;BG;146-07-37;;;Communiquer - DESCARTES;Comm-DESCARTES
SSA;BG;146-07-42;;;Espace - Renseigner, surveiller, acquérir et reconnaître - ROEM;Espace-ROEM
SSA;BG;146-07-43;;;Espace - Communiquer - Moyens de communication satellitaire;Espace-Comm Satellitaire
SSA;BG;146-07-44;;;Espace - Renseigner, surveiller, acquérir et reconnaître - ROIM;Espace-ROIM
SSA;BG;146-07-45;;;Espace - Maîtrise de l'Espace;Espace-Maîtrise Espace
SSA;BG;146-07-46;;;Espace - Commander et conduire - OMEGA;Espace-OMEGA
SSA;BG;146-07-50;;;Communiquer - Transmission;Comm-Transmission
SSA;BG;146-07-60;;;Renseigner, surveiller, acquérir et reconnaître - ALSR;RSA-ALSR
SSA;BG;146-07-61;;;Renseigner, surveiller, acquérir et reconnaître - CUGE;RSA-CUGE
SSA;BG;146-07-62;;;Renseigner, surveiller, acquérir et reconnaître - Drones aériens;RSA-Drones aériens
SSA;BG;146-07-63;;;Renseigner, surveiller, acquérir et reconnaître - Hawkeye;RSA-Hawkeye
SSA;BG;146-07-64;;;Renseigner, surveiller, acquérir et reconnaître - ROEM;RSA-ROEM
SSA;BG;146-07-67;;;Renseigner, surveiller, acquérir et reconnaître - SDCA;RSA-SDCA
SSA;BG;146-07-68;;;Renseigner, surveiller, acquérir - Autres opérations;RSA-Autres opérations
ACT;BG;146-08;;;Projection - mobilité - soutien;PMS-ProjectMobiliSoutien
SSA;BG;146-08-42;;;Projeter les forces - Avion de transport futur (A400M);PMS-Proj-A400M
SSA;BG;146-08-43;;;Projeter les forces - Autres opérations;PMS-Proj-Autr.Op.
SSA;BG;146-08-44;;;Assurer la mobilité - VLTP;PMS-Mobil-VLTP
SSA;BG;146-08-45;;;Assurer la mobilité - HIL;PMS-Mobil-HIL
SSA;BG;146-08-46;;;Assurer la mobilité - Rénovation Cougar;PMS-Mobili-RénoCOUGAR
SSA;BG;146-08-47;;;Assurer la mobilité - Hélicoptère NH 90;PMS-Mobili-NH90
SSA;BG;146-08-48;;;Assurer la mobilité - Autres opérations;PMS-Mobili-Autr.Op.
SSA;BG;146-08-49;;;Assurer la mobilité – Hélicoptères de manœuvre nouvelle génération (HM NG);PMS-HMNG
SSA;BG;146-08-51;;;Maintenir le potentiel ami et autre - Porteur polyvalent terrestre (PPT);Maint.PotentielAmiEtc-PPT
SSA;BG;146-08-53;;;Maintenir le potentiel ami et autre - Autres opérations;Maint.Potent.AmiEtc-AutOp
SSA;BG;146-08-55;;;Maintenir le potentiel ami et autre - MRTT;Maint.PotentielAmEtc-MRTT
SSA;BG;146-08-56;;;Maintenir le potentiel ami et autre - Flotte logistique;Maint.Potent.Ami-Flotlog
ACT;BG;146-09;;;Engagement et combat;Engagement et combat
SSA;BG;146-09-56;;;Frapper à distance - Missile de croisière naval (MDCN);Frapper à distance-MDCN
SSA;BG;146-09-59;;;Frapper à distance - RAFALE;Frapper à distance-RAFALE
SSA;BG;146-09-61;;;Frapper à distance - Autres opérations;Frapper à distance-AutrOP
SSA;BG;146-09-62;;;Frapper à distance - SCAF;Frapper à distance-SCAF
SSA;BG;146-09-63;;;Frapper à distance - Porte-avions;Frapper à distance-PA
SSA;BG;146-09-66;;;Opérer en milieu hostile - Véhicule blindé de combat d'infanterie (VBCI);Op.enMilieuHostile-VBCI
SSA;BG;146-09-68;;;Opérer en milieu hostile - Hélicoptère TIGRE;Op.enMilieuHostile-TIGRE
SSA;BG;146-09-69;;;Opérer en milieu hostile - Future torpille lourde (FTL);Op.enMilieuHostile-FTL
SSA;BG;146-09-71;;;Opérer en milieu hostile - Evolution Exocet;Op.enMilieuHost-Ev.EXOCET
SSA;BG;146-09-73;;;Opérer en milieu hostile - Frégates multi-missions (FREMM);Op.enMilieuHost-Frégates
SSA;BG;146-09-74;;;Opérer en milieu hostile - SNA Barracuda;Op.enMilieuHostile-SNA B.
SSA;BG;146-09-75;;;Opérer en milieu hostile - Autres opérations et conduire des opérations spéciales;Op.enMilieuHosti-Autr.Op.
SSA;BG;146-09-77;;;Opérer en milieu hostile -  SCORPION;Op.enMilieuHosti-SCORPION
SSA;BG;146-09-78;;;Frapper à distance - Mirage 2000;Frapper à distance-M2000
SSA;BG;146-09-79;;;Opérer en milieu hostile - Plateformes;Op.enMilieuHost-Plateform
SSA;BG;146-09-80;;;Opérer en milieu hostile - MGCS Système de combat terrestre principal;Op.enMilieuHosti-MGCS
SSA;BG;146-09-84;;;Opérer en milieu hostile - MAST-F;Op.enMilieuHost-MAST-F
SSA;BG;146-09-85;;;Opérer en milieu hostile - SLAMF;Op.enMilieuHost-SLAMF
SSA;BG;146-09-86;;;Opérer en milieu hostile - ATL2;Op.enMilieuHost-ATL2
SSA;BG;146-09-88;;;Opérer en milieu hostile - missile moyenne portée MMP;Op.enMilieuHostile-MMP
SSA;BG;146-09-89;;;Opérer en milieu hostile - Frégates de taille intermédiaire;Op.enMilieuHostile-FTI
ACT;BG;146-10;;;Protection et sauvegarde;P&S-Protection&Sauvegarde
SSA;BG;146-10-74;;;Assurer la sûreté des approches, la sécurité de l'Etat, de la nation et des citoyens - SECOIA;SûretéAppr&Sécu-SECOIA
SSA;BG;146-10-75;;;Assurer la sûreté des approches, la sécurité de l'Etat, de la nation et des citoyens - Patrouilleur futur;SûretéAppr&Sécu-PatFut
SSA;BG;146-10-76;;;Assurer la sûreté des approches, la sécurité de l'Etat, de la nation et des citoyens - Missiles;SûretéAppr&Sécu-Missiles
SSA;BG;146-10-77;;;Assurer la sûreté des approches, la sécurité de l'Etat, de la nation et des citoyens - AVSIMAR;SûretéAppr&Sécu-AVSIMAR
SSA;BG;146-10-79;;;Assurer la sûreté des approches, la sécurité de l'Etat, de la nation et des citoyens - Autres opérations;SûretéAppr&Sécu-AutresOps
SSA;BG;146-10-80;;;Assurer la sûreté des approches, la sécurité de l'Etat, de la nation et des citoyens – Alerte Avancée;SûretéAppr&AlertAvnc
SSA;BG;146-10-82;;;Assurer la protection des forces et des sites - Famille de systèmes sol-air futurs (FSAF);ProtectF&Sites-FSAF
SSA;BG;146-10-86;;;Assurer la protection des forces et des sites - Autres opérations et assurer la protection de l'homme;ProtectF&Sites-AutOp&Homm
SSA;BG;146-10-87;;;Assurer la protection de l'homme - e-SAN;ProtectionHomme-e-SAN
ACT;BG;146-11;;;Préparation et conduite des opérations d'armement;Prépa&Cond Opé Armement
SSA;BG;146-11-89;;;Fonctionnement et soutien DGA;Fonctionnt & Soutien DGA
SSA;BG;146-11-90;;;Investissements pour les opérations d'armement;Investissements pour OA
ACT;BG;146-12;;;Parts étrangères et programmes civils;Part Etr & Part Civiles
SSA;BG;146-12-96;;;Parts étrangères;PE&PC-Parts étrangères
SSA;BG;146-12-97;;;Programmes civils;PE&PC-Programmes civils
PGM;BG;178;DA;70;Préparation et emploi des forces;Prép&Emploi des forces
ACT;BG;178-01;;;Planification  des moyens et conduite des opérations;Planification  des moyens
SSA;BG;178-01-10;;;Emploi des forces;Emploi des forces
SSA;BG;178-01-11;;;Renseignement d'intérêt militaire;Renseignement militaire
SSA;BG;178-01-14;;;Systèmes d'information et de communication;SIC
SSA;BG;178-01-21;;;Infrastructures SIC;Infrastructures SIC
ACT;BG;178-02;;;Préparation des forces terrestres;Prépa forces terrestres
SSA;BG;178-02-01;;;Commandement et activités des forces terrestres;Cdt-act forces terrestres
SSA;BG;178-02-05;;;Ressources humaines des forces terrestres;RH des forces terrestres
SSA;BG;178-02-07;;;Maintien en condition opérationnelle du matériel des forces terrestres;MCO forces terrestres
SSA;BG;178-02-08;;;Environnement opérationnel des forces terrestres;Env ops forces terrestres
SSA;BG;178-02-11;;;Infrastructures terrestres;Infrast. terrestres
ACT;BG;178-03;;;Préparation des forces navales;Prépa forces navales
SSA;BG;178-03-01;;;Commandement et activités des forces navales;Cdt et act forces navales
SSA;BG;178-03-05;;;Ressources humaines des forces navales;RH des forces navales
SSA;BG;178-03-07;;;Maintien en condition opérationnelle du matériel des forces navales;MCO forces navales
SSA;BG;178-03-08;;;Environnement opérationnel des forces navales;Env ops forces navales
SSA;BG;178-03-11;;;Infrastructures maritimes;Infrastructures maritimes
ACT;BG;178-04;;;Préparation des forces aériennes;Prépa forces aéro
SSA;BG;178-04-02;;;Commandement et activités centralisées des forces aériennes;Cdt-act forces aériennes
SSA;BG;178-04-03;;;Activités des forces aériennes;Act forces aériennes
SSA;BG;178-04-04;;;Activités des forces aériennes stratégiques;Activités des FAS
SSA;BG;178-04-05;;;Ressources humaines des forces aériennes;RH des forces aériennes
SSA;BG;178-04-06;;;Entretien et équipements des forces aériennes;MCO forces aériennes
SSA;BG;178-04-09;;;Service industriel aéronautique (SIAé);SIAé
SSA;BG;178-04-11;;;Infrastructures aériennes;Infrastructures aériennes
SSA;BG;178-04-12;;;Activités spatiales;Activités spatiales
ACT;BG;178-05;;;Logistique et soutien interarmées;Logistique et soutien IA
SSA;BG;178-05-11;;;Infrastructures de santé;Infrastructures de santé
SSA;BG;178-05-80;;;Fonction santé;Fonction santé
SSA;BG;178-05-82;;;Soutien des forces par les bases de défense;Soutien par les BdD
SSA;BG;178-05-83;;;Soutiens complémentaires;Soutiens complémentaires
SSA;BG;178-05-84;;;Service interarmées des munitions;SIMu
SSA;BG;178-05-85;;;Service du commissariat aux armées;SCA
SSA;BG;178-05-89;;;Infrastructure des soutiens;Infrast. des soutiens
ACT;BG;178-06;;;Surcoûts liés aux opérations extérieures;OPEX
ACT;BG;178-07;;;Surcoûts liés aux opérations intérieures;MISSINT
PGM;BG;212;DA;70;Soutien de la politique de la défense;SoutienPolitiqueDéfense
ACT;BG;212-04;;;Politique immobilière;Politique immobilière
ACT;BG;212-05;;;Systèmes d'information, d'administration et de gestion;SIAG (SystInfo,Admin&Gest
ACT;BG;212-06;;;Politiques des ressources humaines;Politique RH: Accompagnt
SSA;BG;212-06-03;;;Reconversion;Reconversion
SSA;BG;212-06-04;;;Action sociale et autres politiques de ressources humaines (hors rémunérations des agents);Act.Sociale&Autr.Polit.RH
ACT;BG;212-08;;;Politique culturelle et éducative;Polit.Culturel.&Educative
SSA;BG;212-08-01;;;Actions culturelles et mise en valeur du patrimoine;Act.Cultu.&MEVal.Patrimoi
SSA;BG;212-08-02;;;Gestion et communication des archives historiques de la défense;Gest&CommArchivesHistoDéf
ACT;BG;212-10;;;Restructurations;Restructurations
ACT;BG;212-11;;;Pilotage, soutien et communication;Pilotage, Soutien & Comm.
ACT;BG;212-50;;;"Recherche et exploitation du renseignement intéressant la sécurité de la France - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";Recherche exploitation/RH
SSA;BG;212-50-01;;;Renseignement extérieur;Rens Sécu France /DGSE
SSA;BG;212-50-02;;;Renseignement de sécurité et de défense;Rens Sécu France/DPSD
ACT;BG;212-51;;;"Prospective de défense - Personnel travaillant  pour le programme ""Environnement et prospective de la politique de défense""";Prospective de défense/RH
SSA;BG;212-51-01;;;DGRIS / Administration  centrale;DGRIS/AC
ACT;BG;212-52;;;Relations internationales;Relations internationales
SSA;BG;212-52-01;;;DGA / Soutien aux exportations;DGA/soutex
SSA;BG;212-52-02;;;DGRIS / Diplomatie de défense;DGRIS/Diplo. défense
ACT;BG;212-53;;;"Préparation et conduite des opérations d'armement - Personnel travaillant  pour le programme  ""Équipement des forces """;Prép et cond opé arm/RH
SSA;BG;212-53-01;;;Soutien aux opérations d'armement;Opé Armement/Soutien/DGA
ACT;BG;212-54;;;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";Plan moyens/Cond opér/RH
SSA;BG;212-54-01;;;Commandement des armées;Plan/CDT des  armées/EMA
SSA;BG;212-54-02;;;Organismes interarmées à vocation opérationnelle;Plan/OIA opér/EMA
SSA;BG;212-54-03;;;Organismes interarmées à vocation prospective et maîtrise des armements;Plan/OIA armements/EMA
SSA;BG;212-54-04;;;Enseignement interarmées;Plan/Enseignement IA/EMA
SSA;BG;212-54-05;;;EMA / Relations internationales militaires / PPE;EMA/RI mil/PPE
SSA;BG;212-54-06;;;Renseignement d'intérêt militaire;Plan/EMA/DRM
SSA;BG;212-54-07;;;Systèmes d'information et de communication;Plan/EMA/DIRISI
ACT;BG;212-55;;;"Préparation des forces terrestres - Personnel travaillant pour le programme ""Préparation et emploi des forces""";Prép forces terr/RH
SSA;BG;212-55-01;;;Ressources humaines des forces terrestres;Prép AT/EMAT
ACT;BG;212-56;;;"Préparation des forces navales - Personnel travaillant pour le programme ""Préparation et emploi des forces""";Prép forces navales/RH
SSA;BG;212-56-01;;;Ressources humaines des forces navales;Prép forces nav/EMM
SSA;BG;212-56-02;;;Rémunérations des ouvriers de l'Etat de la DCNS;Prép forces nav/OE DCNS
ACT;BG;212-57;;;"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""";Prép forces aériennes/RH
SSA;BG;212-57-01;;;Ressources humaines des forces aériennes;Prép AA/EMAA
SSA;BG;212-57-02;;;Service industriel aéronautique(SIAé);Prép AA/SIAé
ACT;BG;212-58;;;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";Logistique soutien IA/RH
SSA;BG;212-58-01;;;Fonction pétrolière;Log-Sout IA/EMA/SEA
SSA;BG;212-58-02;;;Logistique et soutien interarmées / CICoS;Log-Sout IA/BdDE/MA/CICoS
SSA;BG;212-58-03;;;Soutiens complémentaires;Log-Sout IA/Sout comp/EMA
SSA;BG;212-58-04;;;Service interarmées des munitions;Log-Sout IA/EMA/SIMu
SSA;BG;212-58-05;;;Service du commissariat des armées;Log-Sout IA/EMA/SCA
SSA;BG;212-58-06;;;Fonction santé;Log-Sout IA/EMA/SSA
ACT;BG;212-59;;;"Surcoûts liés aux opérations - Personnel travaillant pour le programme ""Préparation et emploi des forces""";Surcoûts  opérations/RH
SSA;BG;212-59-01;;;Surcoûts liés aux opérations extérieures;Surcoûts/OPEX/CPCO
SSA;BG;212-59-02;;;Surcoûts liés aux opérations intérieures;Surcoûts/OPIN/CPCO
ACT;BG;212-60;;;"Politique immobilière - Personnel travaillant pour l'action ""Politique immobilière""";Pol immobil/SID/SGA/RH
ACT;BG;212-61;;;Action sociale, chômage et pensions;Politiques des RH
SSA;BG;212-61-01;;;Actions sociales et autres politiques des ressources humaines;Pol RH/Act soc et autres
SSA;BG;212-61-02;;;Reconversion des personnels militaires - Chômage;Pol RH/Chômage militaire
SSA;BG;212-61-03;;;Reconversion des personnels civils - Chômage;Pol RH/Chômage civil
ACT;BG;212-62;;;"Politique culturelle et éducative - gestion et communication des archives historiques de la défense - Personnel travaillant pour l'action ""Politique culturelle et éducative""";Pol cult-éduc/SHD/SGA/RH
ACT;BG;212-63;;;Restructurations - RH;Restructurations/RH
SSA;BG;212-63-01;;;Restructurations Personnels civils;Restructurations/PC
SSA;BG;212-63-02;;;Restructurations Personnels militaires;Restructurations/PM
ACT;BG;212-64;;;"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;Pilotage, soutien  -  Per
SSA;BG;212-64-01;;;Personnel du SGA employeur;Pil-Sout-com/Pers SGA
SSA;BG;212-64-07;;;Personnel de l'action sociale;Pil-Sout-commPers ASA/SGA
SSA;BG;212-64-08;;;Personnel de l'agence de reconversion de la Défense;Pil-Sout-com/Pers ARD/SGA
ACT;BG;212-65;;;"Journée défense et citoyenneté - Personnel travaillant pour le programme ""Liens entre la Nation et son armée""";Journée déf /DSN/SGA/RH
ACT;BG;212-66;;;Rayonnement et contribution extérieure;Rayonnement et contributi
SSA;BG;212-66-01;;;Pilotage, soutien et communication - effectifs sortants remboursés sous PMEA Mindef;Pil-SC/eff sort. R PMEA
SSA;BG;212-66-02;;;Pilotage, soutien et communication - effectifs sortants non remboursés sous PMEA Mindef;Pil-SC/eff sort.NR PMEA
SSA;BG;212-66-03;;;Pilotage, soutien et communication - effectifs sortants remboursés hors PMEA Mindef;Pil-SC/eff sort. R HPMEA
SSA;BG;212-66-04;;;Pilotage, soutien et communication - Présidence de la République;Pil-Sout-com/PR
SSA;BG;212-66-05;;;Pilotage, soutien et communication -  Elèves des classes préparatoires des lycées de la défense;Pil-Sout-com/élèves
ACT;BG;212-67;;;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;Pilotage, soutien et comm
SSA;BG;212-67-01;;;Sous-Direction des Bureau des Cabinets - Cabinet du Ministre de la Défense - Cabinet du Secrétaire d'Etat aux anciens combattants - Bureau des Officiers Généraux;SDBC - DEFCAB
SSA;BG;212-67-02;;;Contrôle général des armées;CGA
SSA;BG;212-67-03;;;Direction Générale du Numérique;DGNUM
SSA;BG;212-67-04;;;Délégation à l'Information et la Communication de la Défense;DICOD
SSA;BG;212-67-05;;;Gendarmerie de la Sureté de l'Armement Nucléaire;GSAN
SSA;BG;212-67-06;;;Contrôle Budgétaire et Comptable Ministériel défense - Agence Comptable des Services Industriels de l'Armement;CBCM/ACSIA
SSA;BG;212-67-07;;;Direction de la Protection des Installations, moyens et activités de la Défense;DPID
MSN;BG;DC; ;;;DirectionActionGvnt
PGM;BG;129;DC;12;Coordination du travail gouvernemental;CoordTravailGouvtal
ACT;BG;129-01;;;Coordination du travail gouvernemental;Coord. du travail gouvern
SSA;BG;129-01-01;;;Cabinet du Premier ministre et des ministres rattachés;Cabinet PM & min. ratt.
SSA;BG;129-01-02;;;Secrétariat Général du Gouvernement;SG Gouvernement
SSA;BG;129-01-03;;;Service d'Information du Gouvernement;Service Info. du Gouvern.
SSA;BG;129-01-06;;;Commissions rattachées aux services centraux;Comm ratt. aux serv. cent
SSA;BG;129-01-07;;;Commission d'indemnisation des victimes des essais nucléaires;CIVEN
ACT;BG;129-02;;;Coordination de la sécurité et de la défense;Coord. de la sécu. & déf.
SSA;BG;129-02-01;;;Secrétariat général de la défense et de la sécurité nationale - Coordination des enseignements de défense et de sécurité;SG déf.nat. IHEDN
SSA;BG;129-02-02;;;Fonds spéciaux;Fonds spéciaux
SSA;BG;129-02-03;;;Groupement interministériel de contrôle;GIC
ACT;BG;129-03;;;Coordination de la politique européenne;Coord. politique europ.
ACT;BG;129-10;;;Soutien;Soutien
SSA;BG;129-10-01;;;Direction des services administratifs et financiers;Direct. serv. adm. & fin.
SSA;BG;129-10-03;;;Commission de vérification des fonds spéciaux;Comm. vérif. fonds spéc.
ACT;BG;129-11;;;Stratégie et prospective;Stratégie et prospective
SSA;BG;129-11-01;;;Centre d'analyse stratégique;Centre d'analyse strat.
SSA;BG;129-11-02;;;Conseil d'analyse économique;Conseil d'analyse écon.
SSA;BG;129-11-03;;;Conseil d'orientation des retraites;Cons. orientat. retraites
SSA;BG;129-11-04;;;Conseil d'analyse de la société;Conseil analyse de la sté
ACT;BG;129-13;;;Ordre de la Légion d'honneur;Ordre de Légion honneur
ACT;BG;129-15;;;Mission interministérielle de lutte contre les drogues et les conduites addictives;MILD&CA
ACT;BG;129-16;;;Coordination de la politique numérique;DINUM
ACT;BG;129-99;;;"Dépenses de personnel du programme ""coordination du travail gouvernemental"" à reventiler";Dépenses de personnel du 
PGM;BG;308;DC;12;Protection des droits et libertés;ProtecDroits&libertés
ACT;BG;308-02;;;Commission nationale de l'informatique et des libertés;Comm. Nat. Info. & liber.
ACT;BG;308-03;;;Conseil supérieur de l'audiovisuel;Cons sup de l'audiovisuel
ACT;BG;308-05;;;Contrôleur général des lieux de privation de liberté;CG lieux privat. liberté
ACT;BG;308-06;;;Autres autorités indépendantes;Autres autorités indép.
SSA;BG;308-06-01;;;Commission d'accès aux documents administratifs;Comm. accès aux docs adm.
SSA;BG;308-06-02;;;Comité consultatif national d'éthique;Com. consul. Nat. éthique
SSA;BG;308-06-03;;;Commission nationale consultative des droits de l'homme;Comm. Nat. Cons. dts l'H
ACT;BG;308-09;;;Défenseur des droits;Défenseur des droits
ACT;BG;308-10;;;Haute autorité pour la transparence de la vie publique;Hte auto transp vie publ
ACT;BG;308-12;;;Commission nationale de contrôle des techniques de renseignement;Commission nationale de c
ACT;BG;308-13;;;Commission du secret de la Défense nationale;Commission du secret de l
PGM;BG;359;DC;12;Présidence française du Conseil de l'Union européenne en 2022;Présidence Fran C.UE 2022
ACT;BG;359-01;;;Activités obligatoires et traditionnelles de la Présidence;Activ.obli.tradi Présiden
ACT;BG;359-02;;;Manifestations correspondant à l'initiative propre de la Présidence;Manif.initiative Prés
ACT;BG;359-03;;;Fonctionnement du SGPFUE et « biens collectifs »;Fonct.SGPFUE
MSN;BG;TA; ;;;Ecol.dv.mob.durables
PGM;BG;113;TA;23;Paysages, eau et biodiversité;PaysEauBiodiv
ACT;BG;113-01;;;Sites, paysages, publicité;Sites, paysages, pub
SSA;BG;113-01-10;;;Préservation des sites, des paysages et publicité (hors CPER);Préservation site (HCPER)
SSA;BG;113-01-11;;;Préservation des sites, des paysages et publicité (CPER);Préservation sites (CPER)
ACT;BG;113-02;;;logistique, formation et contentieux;Logistique et contentieux
SSA;BG;113-02-01;;;Fonctionnement courant et logistique;Fonctionnement courant
SSA;BG;113-02-02;;;Contentieux de l'ingénierie, de l'eau et de la biodiversité;Contentieux IEB
ACT;BG;113-07;;;Gestion des milieux et biodiversité;Gestion des milieux
SSA;BG;113-07-16;;;Sécurité d'approvisionnement des matières premières et coopération minière;Matières 1ères
SSA;BG;113-07-19;;;Milieux et espaces marins (hors CPER);Milieux marins (HCPER)
SSA;BG;113-07-20;;;Milieux et espaces marins (CPER);Milieux marins (CPER)
SSA;BG;113-07-31;;;Conservation des espèces et des habitats d'intérêt européen dans le réseau Natura 2000 (hors CPER);Natura 2000 (HCPER)
SSA;BG;113-07-32;;;Conservation des espèces et des habitats d'intérêt européen dans le réseau Natura 2000 (CPER);Natura 2000 (CPER)
SSA;BG;113-07-40;;;Mesures territoriales dans le domaine de l'eau (CPER);Eau (CPER)
SSA;BG;113-07-41;;;Mesures territoriales dans le domaine de l'eau (hors CPER);Eau (HCPER)
SSA;BG;113-07-42;;;Espaces protégés (CPER);Espaces protégés (CPER)
SSA;BG;113-07-43;;;Espaces protégés  (hors CPER);Espaces protégés  (HCPER)
SSA;BG;113-07-44;;;Biodiversité, connaissance, contrôle, expertise, conservation des espèces (CPER);Biodiversité (CPER)
SSA;BG;113-07-45;;;Biodiversité, connaissance, contrôle, expertise, conservation des espèces (hors CPER);Biodiversité (HCPER)
SSA;BG;113-07-46;;;Opérateurs de l'eau et de la biodiversité;AFB - SCSP
PGM;BG;159;TA;23;Expertise, information géographique et météorologie;Exp.Géo.Météo
ACT;BG;159-10;;;Gouvernance, évaluation, études et prospective en matière de développement durable;Gouvernance, évaluation, 
SSA;BG;159-10-08;;;Politique de la connaissance et animation en matière de développement durable;Connaissance animation DD
SSA;BG;159-10-09;;;Affaires stratégiques et transversales du CGDD;Aff. strat. et transv.
ACT;BG;159-11;;;Etudes et expertise en matière de développement durable;CEREMA
ACT;BG;159-12;;;Information géographique et cartographique;Information géographique 
SSA;BG;159-12-01;;;Production de l'information géographique;Production de l'informati
SSA;BG;159-12-02;;;Recherche dans le domaine de l'information géographique;Recherche dans le domaine
SSA;BG;159-12-03;;;Pilotage de la politique d'information géographique;Pilotage de la politique 
ACT;BG;159-13;;;Météorologie;Météorologie
SSA;BG;159-13-01;;;Observation et prévision dans le domaine météorologique;Observation et prévision 
SSA;BG;159-13-02;;;Recherche dans le domaine météorologique;Recherche dans le domaine
PGM;BG;174;TA;23;Énergie, climat et après-mines;ÉnergieClimatAprès-mines
ACT;BG;174-01;;;Politique de l'énergie;Politique de l'énergie
SSA;BG;174-01-02;;;Agence nationale pour la gestion des déchets radioactifs (ANDRA);ANDRA
SSA;BG;174-01-03;;;Politique de l'énergie hors ADEME et ANDRA;Energie hors ADEME&ANDRA
SSA;BG;174-01-04;;;Revitalisation des territoires;Revit.territoires
SSA;BG;174-01-05;;;Paquet social Accompagnement de la fermeture des centrales à charbon;PS Acc ferm centr charbon
SSA;BG;174-01-06;;;Protocole;Protocole
ACT;BG;174-02;;;Accompagnement transition énergétique;Acc.trans.énerg.
SSA;BG;174-02-01;;;Prime transition énergétique;Prime trans.énerg.
SSA;BG;174-02-02;;;Chèque énergie;Chèque énergie
ACT;BG;174-03;;;Aides à l'acquisition de véhicules propres;Aides acq.véh.propres
SSA;BG;174-03-01;;;Aides à l'acquisition de véhicules propres;Bonus automobile
SSA;BG;174-03-02;;;Aides au retrait de véhicules polluants;PAC
ACT;BG;174-04;;;Gestion économique et sociale de l'après-mines;Gest éco soc après-mines
SSA;BG;174-04-01;;;Agence nationale de garantie des droits des mineurs (ANGDM);ANGDM
SSA;BG;174-04-02;;;Intervention après-mines (hors ANGDM);interventions hors ANGDM
SSA;BG;174-04-06;;;Charbonnages;Charbonnages
ACT;BG;174-05;;;Lutte contre le changement climatique et pour la qualité de l'air;Lutte chgt clim qual air
SSA;BG;174-05-01;;;Lutte contre l'effet de serre;Lutte effet de serre
SSA;BG;174-05-02;;;Surveillance de la qualité de l'air;Surv qualité de l'air
SSA;BG;174-05-03;;;Centre interprofessionnel technique d'études de la pollution atmosphérique (CITEPA);CITEPA
SSA;BG;174-05-04;;;Etudes et essais dans le domaine des émissions des véhicules;Etudes&essais émiss véh
SSA;BG;174-05-05;;;Surveillance du marché;Surveillance marché
SSA;BG;174-05-06;;;Contrôles des carburants;Ctrl carburants
ACT;BG;174-06;;;Soutien;Soutien
PGM;BG;181;TA;23;Prévention des risques;Prévention des risques
ACT;BG;181-01;;;Prévention des risques technologiques et des pollutions;Prev-risq-tech-pollution
SSA;BG;181-01-02;;;Santé Environnement et Économie circulaire;Santé Envir Éco circulair
SSA;BG;181-01-05;;;Prévention des risques technologiques;Prév risques techno
ACT;BG;181-09;;;Contrôle de la sûreté nucléaire et de la radioprotection;Contrôl-sûreté nucl-radio
