Nature juridique du bénéficiaire;empty;empty;empty;Rattachement d'un operateur;empty;Bénéficiaire de la taxe;empty;Taxe affectée;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;Référence juridique
Autres bénéficiaires;Associations;Association déclarée;349958876.0;;;93.0;Association de gestion du fonds de développement pour l'insertion professionnelle des handicapés (AGEFIPH);91.0;Contribution annuelle au fonds de développement pour l'insertion professionnelle des handicapés (FIPH);442400000.0;;;442400000.0;;;442400000.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national ayant fonction d'administration centrale;180080012.0;Économie;134 Développement des entreprises et régulations;172.0;INPI - Institut national de la propriété industrielle;231.0;Redevances perçues à l'occasion des procédures et formalités en matière de propriété industrielle ainsi que de registre du commerce et des sociétés, établies par divers textes;170000000.0;94000000.0;76000000.0;182220000.0;94000000.0;88220000.0;170000000.0;94000000.0;76000000.0;LFI 2021
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180092272.0;Cohésion des territoires;135 Urbanisme, territoires et amélioration de l'habitat;110.0;CGLLS - Caisse de garantie du logement locatif social;121.0;Cotisation versée par les organismes HLM et les SEM;384000000.0;;;342622000.0;;;272800000.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime spécial de Sécurité Sociale;478650385.0;;;97.0;Caisse nationale de retraite des industries électriques et gazières;97.0;Contribution tarifaire d'acheminement (CTA);1643360000.0;;;1702180000.0;;;1671000000.0;;;
Secteur local;Communes;Commune et commune nouvelle;;;;129.0;Communes;163.0;Taxe pour non-raccordement à l'égout - Participation pour le financement de l'assainissement collectif (PAC);472229.0;;;472229.0;;;646115.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;421198649.0;;;52.0;Etablissement public d'aménagement en Guyane;20.0;Taxes spéciales d'équipement;3471000.0;3405000.0;66000.0;3938000.0;3938000.0;0.0;3938000.0;3938000.0;0.0;LFR 2016 et LFI 2017
Secteur local;Communes;Commune et commune nouvelle;;;;141.0;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part intercommunale;185.0;Taxe sur les remontées mécaniques;104661.0;;;104661.0;;;652277.0;;;
Secteur local;Régions;Région;237500079.0;;;176.0;Région Ile-de-France;237.0;Redevance pour création de bureaux ou de locaux de recherche en région Ile-de-France;;;;;;;;;;
Organismes d'administration centrale;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;180014045.0;;;114.0;Centre national de la fonction publique territoriale (CNFPT);131.0;Cotisation obligatoire;424585241.0;;;493635074.0;;;416500047.0;;;
Secteur social;Organisme mutualiste;Assurance mutuelle agricole;;;;45.0;CAAA - Caisses d'assurances d'accidents agricoles d'Alsace-Moselle;95.0;Cotisation au profit des caisses d’assurances d’accidents agricoles d’Alsace-Moselle;0.0;;;0.0;;;0.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035024.0;;;99.0;CNAMTS;101.0;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;234301805.0;;;247188404.0;;;239185625.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445.0;;;102.0;CCMSA (non salariés-maladie);117.0;Taxe sur les boissons sucrées;430945957.0;;;437841092.0;;;452910562.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;207.0;PEFPC : Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,25% du montant annuel du plafond de la sécurité sociale;176892756.0;;;181168800.0;;;231271297.0;;;
Organismes d'administration centrale;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;;;;215.0;Comités départementaux et interdépartementaux des pêches maritimes et des élevages marins;290.0;Taxe sur les installations de production d'électricité utilisant l'énergie mécanique du vent situées dans les eaux intérieures ou la mer territoriale;;;;0.0;;;0.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130020464.0;Cohésion des territoires;135 Urbanisme, territoires et amélioration de l'habitat;46.0;ANCOLS - Agence nationale de contrôle du logement social;65.0;Prélèvement sur la participation des employeurs à l'effort de construction (PEEC);6450000.0;6450000.0;0.0;6450000.0;6450000.0;0.0;6450000.0;6450000.0;0.0;LFR-I 2014 et de la LFI 2015
Secteur local;Communes;Commune et commune nouvelle;;;;134.0;Communes de plus de 5.000 hbts;174.0;Taxe communale additionnelle à certains droits d'enregistrement;3432358520.0;;;3089122668.0;;;3483878686.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Safer anonyme à directoire;623820602.0;;;60.0;Etablissement public foncier de Normandie;20.0;Taxes spéciales d'équipement;10479000.0;9823000.0;656000.0;10151000.0;10151000.0;0.0;10151000.0;10151000.0;0.0;LFR-I 2014 et de la LFI 2015
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;509167680.0;;;78.0;Etablissement public foncier d'Occitanie;20.0;Taxes spéciales d'équipement;23878000.0;22830000.0;1048000.0;31596000.0;31596000.0;0.0;31596000.0;31596000.0;0.0;LFR-I 2014 et de la LFI 2015
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035032.0;;;126.0;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";144.0;Redevances UMTS 2G et 3G;12835871.0;;;12835871.0;;;7889416.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035065.0;;;111.0;CNAF;126.0;Taxe sur les véhicules de société (TVS);732493825.0;;;759818763.0;;;689613997.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;259.0;PEFPC : Participation au financement de la formation des intermittents correspondant au minimum à 2% des rémunérations versées;30245830.0;;;31364926.0;;;33300000.0;;;
Secteur local;Communes;Commune et commune nouvelle;;;;129.0;Communes;157.0;Impôt sur les spectacles, jeux et divertissements;157914466.0;;;157914466.0;;;307461123.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180046039.0;Médias, livre et industries culturelles;334 Livre et industries culturelles;107.0;CNC - Centre national du cinéma et de l'image animée;150.0;TSA - Taxe sur le prix des entrées aux séances organisées par les exploitants d’établissements de spectacles cinématographiques;117865434.0;;;135793000.0;;;156300000.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;451638902.0;;;67.0;Etablissement public foncier local des collectivités de Côte-d'Or;20.0;Taxes spéciales d'équipement;2700000.0;;;3051700.0;;;3051700.0;;;
