Nature juridique du bénéficiaire;empty;empty;empty;Rattachement d'un operateur;empty;Bénéficiaire de la taxe;empty;Taxe affectée;empty;empty;empty;empty;empty;empty;empty;empty;empty;empty;Référence juridique
Organismes d'administration centrale;Opérateurs État;Groupement d'intérêt public (GIP);130025281.0;Sport, jeunesse et vie associative;219 Sport;201.0;ANS - Agence nationale du sport;69.0;Prélèvement sur les paris sportifs en ligne de la FdJ et des nouveaux opérateurs agréés;181700607.0;34600000.0;147100607.0;181700607.0;34600000.0;147100607.0;181700607.0;34600000.0;147100607.0;LFI 2012
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130020464.0;Cohésion des territoires;135 Urbanisme, territoires et amélioration de l'habitat;46.0;ANCOLS - Agence nationale de contrôle du logement social;66.0;Cotisation versée par les organismes HLM;11334000.0;11334000.0;0.0;11334000.0;11334000.0;0.0;11334000.0;11334000.0;0.0;LFR-I 2014 et de la LFI 2015
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;383330115.0;;;69.0;Etablissement public foncier des Hauts de France;20.0;Taxes spéciales d'équipement;18233000.0;18233000.0;0.0;20714000.0;20714000.0;0.0;23214000.0;23214000.0;0.0;LFR-I 2014 et de la LFI 2015
Secteur local;Organismes consulaires;Organisme consulaire;;;;32.0;Chambres de commerce et d'industrie de région (CCI-R);42.0;TA-CFE - fraction CCI-R de la Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambres de commerce et d’industrie de région;270000000.0;299000000.0;0.0;280000000.0;280000000.0;0.0;280000000.0;255000000.0;25000000.0;LFI 2013 et de la LFR-III 2012
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130003262.0;Administration générale et territoriale de l'État;354 Administration territoriale de l'État;41.0;ANTS - Agence nationale des titres sécurisés;53.0;Droit de timbre pour la délivrance du permis de conduire en cas de perte ou de vol;9604000.0;7000000.0;2604000.0;9604000.0;7000000.0;2604000.0;8780000.0;7000000.0;1780000.0;LFI 2012
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;;;;33.0;Centres techniques industriels de la plasturgie et des composites;43.0;Taxe affectée au financement d’un nouveau Centre Technique Industriel de la plasturgie et des composites;6400000.0;;;6400000.0;;;6400000.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035065.0;;;111.0;CNAF;136.0;Contribution sociale généralisée (CSG);13209000000.0;;;13741000000.0;;;13240000000.0;;;
Secteur local;Organismes consulaires;Organisme consulaire;;;;6.0;Chambres départementales d'agriculture;9.0;Taxe additionnelle à la taxe foncière sur les propriétés non baties, pour frais de chambres d'agriculture (TCA-TFPNB);292000000.0;292000000.0;0.0;292000000.0;292000000.0;0.0;300800000.0;300800000.0;0.0;LFI 2013 et de la LFR-III 2012
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445.0;;;101.0;CCMSA - non salariés branche vieillesse;113.0;Droit de circulation sur les vins, cidres, poirés et hydromels;106143025.0;;;105557986.0;;;108000000.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;794380733.0;;;184.0;Etablissement public et foncier de Guadeloupe;20.0;Taxes spéciales d'équipement;4275000.0;;;6000427.0;;;0.0;;;
Autres bénéficiaires;Associations;Association déclarée;;;;54.0;Organismes de secours et de sauvetage en mer agréés (art. L742-9 code de la sécurité intérieure);245.0;Taxe annuelle sur les engins maritimes à usage personnel (TAEMUP) – Fraction perçue sur les engins ne battant pas pavillon français;160000.0;4000000.0;0.0;160000.0;4000000.0;0.0;160000.0;4000000.0;0.0;LFR 2017 et LFI 2018
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;493349773.0;;;71.0;Etablissement public foncier local de l'Ain;20.0;Taxes spéciales d'équipement;3750000.0;;;3090230.0;;;3090230.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Société à responsabilité limitée (sans autre indication);;;;190.0;Filière de responsabilité élargie du producteur (REP) relative aux navires de plaisance et de sport hors d’usage (NPSHU);31.0;Taxe annuelle sur les engins maritimes à usage personnel (TAEMUP);900000.0;;;900000.0;;;900000.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;120.0;Contribution supplémentaire à l'apprentissage;310734926.0;;;235000000.0;;;190250267.0;;;
Secteur local;Régions;Région;;;;156.0;Régions;216.0;Taxe intérieure de consommation sur les produits énergétique (TICPE dont part modulable);4642852141.0;;;4659437639.0;;;4847712499.0;;;
Secteur local;Communes;Commune et commune nouvelle;;;;129.0;Communes;158.0;Surtaxe sur les eaux minérales;21663438.0;;;21663438.0;;;23825852.0;;;
Secteur local;Régions;Région;;;;177.0;Régions de la Guadeloupe, de la Martinique, de la Guyane et de la Réunion;238.0;Taxe spéciale de consommation sur les carburants;548967195.0;;;548967195.0;;;599981704.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035032.0;;;126.0;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";145.0;Forfait social;5880835495.0;;;6069165006.0;;;6192829256.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;524110921.0;;;80.0;Etablissement public foncier de Vendée;20.0;Taxes spéciales d'équipement;2314000.0;2314000.0;0.0;2470000.0;2470000.0;0.0;2970000.0;2970000.0;0.0;LFR-I 2014 et de la LFI 2015
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130012024.0;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1.0;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;248.0;Taxe sur les produits de tabac;;;;;;;;;;
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;137.0;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part intercommunale;186.0;Taxes d'enlèvement des ordures ménagères;7195881472.0;;;7735572582.0;;;4844268765.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;829950005.0;;;48.0;Etablissement public foncier de Mayotte;20.0;Taxes spéciales d'équipement;891000.0;891000.0;0.0;1807000.0;1807000.0;0.0;2307000.0;2307000.0;0.0;LFR 2016 et LFI 2017
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;226.0;PEFPC : CPF CDD (ex-CIF-CDD) : 1% des salaires versés, ou moins en cas d'accord de branche;301050202.0;;;301050202.0;;;341000000.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130025919.0;Écologie, développement et mobilité durables;113 Paysages, eau et biodiversité;200.0;OFB - Office français de la biodiversité;290.0;Taxe sur les installations de production d'électricité utilisant l'énergie mécanique du vent situées dans les eaux intérieures ou la mer territoriale;;;;0.0;;;0.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère industriel ou commercial non doté d'un comptable public;390199669.0;Écologie, développement et mobilité durables;174 Énergie, climat et après-mines;21.0;ANDRA - Agence nationale pour la gestion des déchets radioactifs;86.0;Contribution spéciale pour la gestion des déchets radioactifs - Conception;80700000.0;;;80700000.0;;;80700000.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;444704977.0;;;65.0;Etablissement public foncier local de la Réunion;20.0;Taxes spéciales d'équipement;9450000.0;;;8844630.0;;;8844630.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;435028535.0;;;49.0;"Agence pour la mise en valeur des espaces urbains de la zone dite des "" 50 pas géométriques "" en Martinique";20.0;Taxes spéciales d'équipement;1198000.0;1198000.0;0.0;975000.0;975000.0;0.0;975000.0;975000.0;0.0;LFR 2015 et de la LFI 2016
Secteur local;Régions;Région;232000018.0;;;127.0;Collectivité territoriale de Corse et Conservatoire de l'espace littoral, de 2007 à 2011;170.0;Taxe due par les entreprises de transport public aérien et maritime;29508540.0;;;29508540.0;;;48924512.0;;;
Secteur local;Départements;Département;;;;147.0;Départements (part départementale);194.0;Droit départemental de passage sur les ouvrages d'art reliant le continent aux îles maritimes;34174937.0;;;34174937.0;;;50276731.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;775686942.0;;;35.0;CTIF - Centre technique des industries de la fonderie;45.0;Taxe sur les produits de la fonderie;5450000.0;;;;;;;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130025919.0;Écologie, développement et mobilité durables;113 Paysages, eau et biodiversité;200.0;OFB - Office français de la biodiversité;204.0;Droit d'examen du permis de chasse;600000.0;;;600000.0;;;600000.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime spécial de Sécurité Sociale;784275919.0;;;98.0;CNBF - Caisse nationale des barreaux français;98.0;Contribution équivalente aux droits de plaidoirie;103384000.0;;;110597000.0;;;110000000.0;;;
Autres bénéficiaires;Associations;Association déclarée;775571268.0;;;28.0;Francéclat;36.0;Taxe pour le développement des industries de l'horlogerie, bijouterie, joaillerie, orfèvrerie et arts de la table;12700000.0;;;12700000.0;;;12700000.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;265.0;Contribution unique à la formation professionnelle et à l'alternance;8997918137.0;9475409000.0;0.0;9830000000.0;9900000000.0;0.0;10453715172.0;10500000000.0;0.0;LFI 2020
Secteur local;Communes;Commune et commune nouvelle;;;;138.0;Communes et départements (part communale);177.0;Redevance proportionnelle sur l'énergie hydraulique;3081126.0;;;3081126.0;;;11347624.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;180092561.0;;;117.0;CNSA;155.0;Contribution solidarité autonomie (CSA);2274000000.0;;;2376000000.0;;;2262000000.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Autre personne morale de droit privé;784394561.0;;;150.0;FGAO - Fonds de garantie des assurances obligatoires de dommages;208.0;Contribution des assurés;99600000.0;;;101100000.0;;;101100000.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;211.0;PEFPC : Participation au financement de la formation des professions non salariées (artisans) correspondant à 0,29% du montant annuel du plafond de la sécurité sociale, dont micro entrepreneurs;32507371.0;;;61376000.0;61400000.0;0.0;84160000.0;85000000.0;0.0;LFR 2017 et LFI 2018
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère industriel ou commercial doté d'un comptable public;525046017.0;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;14.0;SGP - Société du Grand Paris;21.0;Taxe annuelle sur les locaux à usage de bureaux, les locaux commerciaux, les locaux de stockage et les surfaces de stationnement annexées à ces catégories de locaux perçue dans la région Ile-de-France;600900000.0;601000000.0;0.0;655100000.0;664000000.0;0.0;700121192.0;718000000.0;0.0;LFI 2012
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180046039.0;Médias, livre et industries culturelles;334 Livre et industries culturelles;107.0;CNC - Centre national du cinéma et de l'image animée;152.0;TST - Taxe sur les éditeurs et distributeurs de services de télévision - Fraction Distributeurs;176879668.0;;;201601000.0;;;203780000.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035032.0;;;126.0;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";140.0;Redevance due par les titulaires de titres d'exploitation de mines d'hydrocarbures liquides ou gazeux;3600000.0;;;3600000.0;;;5000000.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130025919.0;Écologie, développement et mobilité durables;113 Paysages, eau et biodiversité;200.0;OFB - Office français de la biodiversité;205.0;Redevance pour délivrance initiale du permis de chasse;900000.0;;;900000.0;;;900000.0;;;
Autres bénéficiaires;Associations;Association déclarée;775692015.0;;;58.0;AFT - Association pour le développement de la formation professionnelle dans les transports;77.0;Taxe destinée à financer le développement des actions de formation professionnelle dans les transports routiers;63426000.0;;;63426000.0;;;63426000.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130012024.0;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1.0;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;75.0;Taxe relative à la mise sur le marché des produits phytopharmaceutiques et de leurs adjuvants, des matières fertilisantes et de leurs adjuvants et des supports de culture;8700000.0;15000000.0;0.0;8700000.0;15000000.0;0.0;8700000.0;15000000.0;0.0;LFR 2016 et LFI 2017
Autres bénéficiaires;Associations;Fondation;413812827.0;;;160.0;Fondation du patrimoine;285.0;Fraction du prélèvement sur les jeux de loterie correspondant aux jeux dédiés au patrimoine;31264516.0;;;31264516.0;;;27000000.0;;;
Organismes d'administration centrale;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;;;;219.0;FNAVDL - Fonds national d’accompagnement vers et dans le logement;292.0;Cotisation additionnelle versée par les organismes HLM et les SEM;;;;0.0;;;0.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;180020174.0;;;96.0;Caisse d'amortissement de la dette sociale (CADES);136.0;Contribution sociale généralisée (CSG);9501000000.0;;;9885000000.0;;;9681000000.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Exploitant public;;;;4.0;FNGRA - Fonds national de gestion des risques en agriculture et fonds de calamités agricoles dans les départements d'outre-mer;7.0;Contributions additionnelles aux primes ou cotisations afférentes à certaines conventions d'assurance;69000000.0;60000000.0;9000000.0;120000000.0;120000000.0;0.0;120000000.0;120000000.0;0.0;LFR 2015 et de la LFI 2016
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;137.0;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part intercommunale;183.0;Taxe de séjour, taxe de séjour forfaitaire;223771747.0;;;223771747.0;;;355629867.0;;;
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;135.0;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre;164.0;Taxes dans le domaine funéraire;969277.0;;;969277.0;;;0.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;180092173.0;;;118.0;Fonds CMU - Fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;133.0;Fraction de Taxe de solidarité additionnelle (TSA);;;;;;;;;;
Autres bénéficiaires;Associations;Association déclarée;;;;54.0;Organismes de secours et de sauvetage en mer agréés (art. L742-9 code de la sécurité intérieure);31.0;Taxe annuelle sur les engins maritimes à usage personnel (TAEMUP);4000000.0;4000000.0;0.0;4000000.0;4000000.0;0.0;4000000.0;4000000.0;0.0;LFR 2017 et LFI 2018
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;257.0;PEFPC : Participation au financement de la formation des professions non salariées (Particuliers employeurs) correspondant au minimum à 0,15% au du montant annuel du plafond de la SS;15273593.0;;;15838716.0;;;26039861.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180046039.0;Médias, livre et industries culturelles;334 Livre et industries culturelles;107.0;CNC - Centre national du cinéma et de l'image animée;151.0;TST - Taxe sur les éditeurs et distributeurs de services de télévision - Fraction Editeurs;292211790.0;;;245270000.0;;;257300000.0;;;
Secteur local;Régions;Région;;;;156.0;Régions;215.0;Taxe intérieure de consommation sur les produits énergétiques (TICPE) - part Grenelle;557000000.0;;;563891796.0;;;388124444.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035024.0;;;99.0;CNAMTS;136.0;Contribution sociale généralisée (CSG);50967000000.0;;;52987000000.0;;;51885000000.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035024.0;;;99.0;CNAMTS;102.0;Contribution due par les laboratoires sur leurs dépenses de publicité;130748001.0;;;132055481.0;;;70460228.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;;;;158.0;"CNAVTS, CNAF, FSV, CNAMTS en 2016; CNAVTS, CNAF, CNAMTS dès 2017";218.0;Taxe sur les salaires;16386278293.0;;;17261584620.0;;;16136694652.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130003262.0;Administration générale et territoriale de l'État;354 Administration territoriale de l'État;41.0;ANTS - Agence nationale des titres sécurisés;51.0;Taxe sur les Titres de séjour et de voyage electroniques;16000000.0;14490000.0;1510000.0;16000000.0;14490000.0;1510000.0;20900000.0;14490000.0;6410000.0;LFI 2012
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180046039.0;Médias, livre et industries culturelles;334 Livre et industries culturelles;107.0;CNC - Centre national du cinéma et de l'image animée;153.0;Taxe sur les ventes et les locations de vidéogrammes destinés à l'usage privé du public (taxe vidéo et VOD );127049614.0;;;130000000.0;;;126500000.0;;;
Secteur local;Régions;Région;232000018.0;;;127.0;Collectivité territoriale de Corse et Conservatoire de l'espace littoral, de 2007 à 2011;169.0;Droit de consommation sur les tabacs dans les DOM;143845400.0;;;143845400.0;;;202608950.0;;;
Secteur local;Communes;Commune et commune nouvelle;;;;144.0;Communes ou Groupements de communes (parts communale et intercommunale);182.0;Taxe d’aménagement;1267527134.0;;;1267527134.0;;;1329219276.0;;;
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;132.0;Offices de l'eau (dans les DOM);171.0;Redevances pour prélèvement sur la ressource en eau, pour pollution de l'eau, pour modernisation des réseaux de collecte, pour pollutions diffuses, pour stockage d'eau en période d'étiage, pour obstacle sur les cours d'eau et pour protection du milieu aquatique dans les DOM;28000000.0;;;28000000.0;;;28000000.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère industriel ou commercial doté d'un comptable public;440546018.0;Recherche et enseignement supérieur;190 Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;19.0;IRSN - Institut de radioprotection et de sûreté nucléaire;202.0;Contribution annuelle au profit de l'Institut de radioprotection et de sûreté nucléaire;61087750.0;61100000.0;0.0;61087750.0;61100000.0;0.0;60700000.0;61100000.0;0.0;LFR 2015 et de la LFI 2016
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130024565.0;Travail et emploi;103 Accompagnement des mutations économiques et développement de l'emploi;189.0;France Compétences;286.0;Contribution spécifique à la formation professionnelle pour Saint Pierre et Miquelon;271250.0;;;281286.0;;;329553.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130017791.0;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;13.0;VNF - Voies navigables de France;268.0;Redevance hydraulique;127500000.0;127500000.0;0.0;127500000.0;127500000.0;0.0;136500000.0;136500000.0;0.0;LFI 2020
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère industriel ou commercial doté d'un comptable public;525046017.0;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;14.0;SGP - Société du Grand Paris;266.0;Taxe sur les surfaces de stationnement;14200000.0;28000000.0;0.0;14600000.0;20000000.0;0.0;28231940.0;30000000.0;0.0;LFI 2019
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445.0;;;101.0;CCMSA - non salariés branche vieillesse;114.0;Droit de consommation sur les produits intermédiaires;61929721.0;;;60649900.0;;;59576575.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;439484593.0;;;50.0;"Agence pour la mise en valeur des espaces urbains de la zone dite des "" 50 pas géométriques "" en Guadeloupe";20.0;Taxes spéciales d'équipement;1186000.0;1186000.0;0.0;997000.0;997000.0;0.0;997000.0;997000.0;0.0;LFR 2015 et de la LFI 2016
Secteur local;Communes;Commune et commune nouvelle;;;;129.0;Communes;159.0;Taxe de balayage;113461601.0;;;113461601.0;;;124525900.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;775664881.0;;;25.0;ITERG - Institut des corps gras;33.0;Taxe affectée au financement de l'institut des corps gras;650000.0;;;650000.0;;;650000.0;;;
Secteur local;Communes;Commune et commune nouvelle;;;;136.0;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part communale;176.0;Prélèvement progressif sur le produit des jeux dans les casinos au profit des communes;263310000.0;;;263310000.0;;;0.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035032.0;;;126.0;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";141.0;Contribution sur les avantages de préretraite d’entreprise;54711288.0;;;48462524.0;;;54308037.0;;;
Secteur local;Communes;Commune et commune nouvelle;;;;136.0;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part communale;186.0;Taxes d'enlèvement des ordures ménagères;583566030.0;;;627333482.0;;;564525827.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;;;;34.0;CTI de l'Industrie : CT des indus. mécaniques (CETIM), CT de l'industrie du décolletage (CTDEC), CTI de la construction métallique (CTICM), CT des indus. aérauliques et thermiques (CETIAT), et Institut de Soudure;44.0;Taxe pour le développement des industries de la mécanique et de la construction métallique, des matériels et consommables de soudage et produits du décolletage, de construction métallique et des matériels aérauliques et thermiques;96715378.0;;;96715378.0;;;96715378.0;;;
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;;;;125.0;CNAMTS - Fonds tabacs;137.0;Contribution sociale à la charge des fournisseurs agréés de produits de tabac;;;;;;;;;;
Organismes d'administration centrale;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;;;;209.0;ARPE - Autorité des relations sociales des plateformes d'emploi;284.0;Taxe sur les exploitants de plateformes de mises en relation par voie électronique en vue de fournir certaines prestations de transport;2000000.0;2000000.0;0.0;2000000.0;2000000.0;0.0;2000000.0;2000000.0;0.0;LFI 2022
Secteur local;Communes;Commune et commune nouvelle;;;;136.0;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part communale;184.0;Taxe de ski de fond;3761335.0;;;3761335.0;;;2760407.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;775594815.0;;;181.0;Centre technique de l’industrie des papiers, cartons et celluloses;246.0;Taxe pour le développement des industries de fabrication du papier, du carton et de la pâte de cellulose.;0.0;;;2346000.0;;;2346000.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;441649225.0;;;62.0;Etablissement public foncier de Provence-Alpes-Côte d'Azur;20.0;Taxes spéciales d'équipement;38659000.0;37859000.0;800000.0;38259000.0;38259000.0;0.0;38259000.0;38259000.0;0.0;LFR-I 2014 et de la LFI 2015
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;145.0;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements;189.0;Versement pour sous-densité;208840.0;;;208840.0;;;509983.0;;;
Autres bénéficiaires;Associations;Association déclarée;784396426.0;;;12.0;Association pour le soutien du théâtre privé;17.0;Taxe sur les spectacles perçue au profit de l'Association pour le soutien du théâtre privé;5000000.0;8000000.0;0.0;6000000.0;8000000.0;0.0;8000000.0;8000000.0;0.0;LFI 2012
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;130012024.0;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1.0;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;79.0;Taxe annuelle sur la vente des produits phytopharmaceutiques;4179000.0;4200000.0;0.0;4179000.0;4200000.0;0.0;4179000.0;4200000.0;0.0;LFR-I 2014 et de la LFI 2015
Secteur local;Départements;Département;;;;147.0;Départements (part départementale);182.0;Taxe d’aménagement;583836246.0;;;583836246.0;;;630709585.0;;;
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;142.0;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part départementale;178.0;Redevances communale et départementale des mines;10674603.0;;;10674603.0;;;1205317.0;;;
Secteur local;Communes;Commune et commune nouvelle;;;;140.0;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part communale;178.0;Redevances communale et départementale des mines;6952850.0;;;6952850.0;;;8366867.0;;;
Secteur local;Communes;Commune et commune nouvelle;;;;141.0;Communes ou EPCI (établissements publics de coopération intercommunale) à fiscalité propre et Départements - part intercommunale;180.0;Taxe communale sur la consommation finale d'électricité (TCFE);19211201.0;;;19211201.0;;;23912987.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180034027.0;Immigration, asile et intégration;104 Intégration et accès à la nationalité française;42.0;OFII - Office français de l'immigration et de l'intégration;206.0;Redevance perçue à l’occasion de l’introduction des familles étrangères en France;800000.0;;;800000.0;;;800000.0;;;
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;301365847.0;;;59.0;Etablissement public foncier de Grand-Est;20.0;Taxes spéciales d'équipement;9480000.0;9480000.0;0.0;10531000.0;10531000.0;0.0;11031000.0;11031000.0;0.0;LFR-I 2014 et de la LFI 2015
Secteur social;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;;;;116.0;"CCMSA (non salariés-maladie, non salariés-RCO et salariés), CNAMTS, CNAF, autres régimes de sécurité sociale, CNSA, FCAATA, Fonds CMU-C jusqu'en 2016; CNAMTS et RAVGDT en 2017";134.0;Droits de consommation sur les tabacs;13558609069.0;;;13558609069.0;;;13398481972.0;;;
Organismes d'administration centrale;Opérateurs État;Établissement public national à caractère administratif;180092553.0;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;18.0;AFITF - Agence de financement des infrastructures de transport de France;27.0;Taxe due par les concessionnaires d'autoroutes;655000000.0;566667000.0;88333000.0;680000000.0;566667000.0;113333000.0;566667000.0;566667000.0;0.0;LFI 2012
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;137.0;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part intercommunale;176.0;Prélèvement progressif sur le produit des jeux dans les casinos au profit des communes;1500000.0;;;1500000.0;;;0.0;;;
Autres bénéficiaires;Associations;Association déclarée;;;;174.0;Personne publique assurant la gestion de l'espace naturel protégé concerné ou la commune d'implantation de l'espace naturel protégé;234.0;Taxe sur les passagers maritimes embarqués à destination d'espaces naturels protégés;3600000.0;;;3600000.0;;;3600000.0;;;
Autres bénéficiaires;Associations;Association déclarée;784360653.0;;;187.0;UCF CIBTP - Union des caisses de France;263.0;Cotisation BTP intempéries;128325577.0;;;128325577.0;;;128325577.0;;;
