;;;Dépense fiscale;;
Catégorie;Sous catégorie;Sous sous catégorie;Numéro;Libellé législatif;Information complémentaire
Impôts locaux;Taxe foncière sur les propriétés bâties;Dégrèvements à la charge de l'Etat;050203;Dépenses engagées à raison de travaux dans le cadre de la prévention des risques technologiques;Finalité : Aider les entreprises pour leurs travaux de prévention de risques
Impôts locaux;Taxe foncière sur les propriétés bâties;Dégrèvements à la charge de l'Etat;050204;Dégrèvement égal au quart des dépenses à raison des travaux d'économie d'énergie, sur la cotisation de taxe foncière sur les propriétés bâties pour les organismes HLM et les SEM;Finalité : Aider le secteur immobilier public pour travaux d'économies d'énergie
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;060102;Exonération de la part communale et intercommunale en faveur des terres agricoles à concurrence de 20 %;Finalité : Aider le secteur agricole
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;060103;Exonération en faveur des terrains plantés en bois;Finalité : Aider le secteur sylvicole
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;060104;Exonération totale en faveur des terres agricoles situées en Corse;Finalité : Aider certains espaces géographiques (Corse)
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;060105;Exonération en faveur des zones humides;
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;060106;Exonération en faveur des parcelles NATURA 2000;Finalité : Favoriser la protection des espaces naturels
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;060107;Exonération en faveur de certains terrains situés dans le coeur d'un parc national sis dans un département d'outre-mer;Finalité : Favoriser la protection des espaces naturels situés outre-mer
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;060108;Exonération partielle des terres agricoles situées dans les départements d'outre-mer;Finalité : Aider certains espaces géographiques (Outre-mer)
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;060201;Pertes de récoltes ou de bétail;Finalité : Aider le secteur agricole
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;060202;Association foncière pastorale;Finalité : Aider le secteur agricole
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;060203;Dégrèvement d'office jeunes agriculteurs;Finalité : Aider le secteur agricole
