Année;Type de recettes;Code Ligne Recettes;Libellé;Montant Recettes PLF;Montant Recettes LFI
2024.0;Recettes non fiscales;2413.0;Reversement au titre des créances garanties par l'État;12890000.0;12890000.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3106.0;Prélèvement sur les recettes de l'État au profit du Fonds de compensation pour la taxe sur la valeur ajoutée (FCTVA);7104000000.0;7104000000.0
2024.0;Recettes fiscales;1798.0;Impositions forfaitaires sur les entreprises de réseaux (affectation temporaire à l'Etat en 2010);0.0;0.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3131.0;Dotation de compensation liée au processus de départementalisation de Mayotte;107000000.0;107000000.0
2024.0;Recettes non fiscales;2511.0;Frais de justice et d'instance;10088401.0;10088401.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3141.0;Soutien exceptionnel de l’Etat au profit des collectivités du bloc communal confrontées à des pertes de recettes fiscales et domaniales du fait de la crise sanitaire;0.0;0.0
2024.0;Recettes non fiscales;2501.0;Produits des amendes de la police de la circulation et du stationnement routiers;663084092.0;663084092.0
2024.0;Recettes fiscales;1769.0;Autres droits et recettes à différents titres;136845931.0;136845931.0
2024.0;Recettes fiscales;1412.0;Taxe de participation des employeurs au financement de la formation professionnelle continue;42000000.0;42000000.0
2024.0;Recettes fiscales;1415.0;Contribution des institutions financières;0.0;0.0
2024.0;Prélèvements sur les recettes de l'État au profit des collectivités territoriales;3152.0;Prélèvement exceptionnel sur les recettes de l’État au profit des collectivités territoriales et des groupements de communes qui procèdent à l’abandon ou à la renonciation définitive de loyers;0.0;0.0
2024.0;Recettes fiscales;1303.0;Contribution de la Caisse des dépôts et consignations représentative de l'impôt sur les sociétés;341000000.0;341000000.0
2024.0;Recettes non fiscales;2403.0;Prêts et avances à divers services de l’État ou organismes gérant des services publics;96400000.0;96400000.0
2024.0;Recettes non fiscales;2110.0;Produits des participations de l'État dans des entreprises financières;1578700000.0;1578700000.0
2024.0;Recettes fiscales;1768.0;Taxe spéciale sur certains véhicules routiers;176201739.0;176201739.0
2024.0;Recettes fiscales;1776.0;Redevances sanitaires d'abattage et de découpage;55000000.0;55000000.0
2024.0;Recettes non fiscales;2620.0;Récupération d'indus;29090000.0;29090000.0
2024.0;Recettes fiscales;1301.0;Impôt sur les sociétés;91415375411.0;91415375411.0
