Nature juridique du bénéficiaire;;;;Rattachement d'un operateur;;Bénéficiaire de la taxe;;Taxe affectée;;;;;;;;;;;Référence juridique;
Secteur;Catégorie d'opérateur ou répartition nature juridique;Catégorie d'opérateur ou nature juridique;Numéro SIREN;Mission;Programme;Code;Libellé;Code;Libellé;Exécution 2020;Plafond 2020;Reversement BG 2020;Exécution 2021;Plafond 2021;Reversement BG 2021;Exécution 2022;Plafond 2022;Reversement BG 2022;Début du plafonnement;Référence juridique
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;;;;124;Caisse nationale des allocations familiales [pour le restant des prélèvements];14;Fraction des Prélèvements sociaux sur les jeux prévus aux art. L137-20 à L137-22 du Code de la sécurité sociale;257 758 760;;;345 521 492;;;361 579 741;;;;Art. L137-24 du Code de la sécurité sociale
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035024;;;99;CNAMTS;281;Contribution exceptionnelle des organismes complémentaires en santé aux dépenses liées à la gestion de l'épidémie de Covid-19;970 688 896;;;500 000 000;;;0;;;;Art. 3 et 10 du PLFSS 2021
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;495120008;;;68;Etablissement public foncier de la région Ile-de-France;20;Taxes spéciales d'équipement;192 308 000;192 308 000;0;137 046 000;137 046 000;0;137 046 000;141 226 000;0;LFR-I 2014 et de la LFI 2015;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Secteur local;Communes;Commune et commune nouvelle;;;;136;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part communale;186;Taxes d'enlèvement des ordures ménagères;626 096 186;;;645 505 168;;;670 034 364;;;;Art. 1520 à 1526 du CGI
Secteur local;Organismes consulaires;Organisme consulaire;;;;31;CRMA (incl. Alsace et Moselle);40;TA-CFE - fraction CRMA de la Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambre régionale de métiers et d'artisanat;217 000 000;203 149 000;13 851 000;221 000 000;203 149 000;17 851 000;221 000 000;203 149 000;17 851 000;LFR 2017 et LFI 2018;Article 1601 du code général des impôts et article 3 de la loi n° 48-977 du 16 juin 1948 relative à la taxe pour frais de chambre de métiers applicable dans les départements du Bas-Rhin, du Haut-Rhin et de la Moselle
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;180092561;;;117;CNSA;156;Contribution additionnelle de solidarité autonomie (CASA);761 000 000;;;777 000 000;;;800 000 000;;;;Art. 137-40 du code de la sécurité sociale
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;;;;44;FNAL - Fonds national d'aide au logement;63;Taxe sur les plus-values immobilières (PVI) autres que terrains à bâtir;72 748 000;45 000 000;27 748 000;72 748 000;45 000 000;27 748 000;72 748 000;;;LFI 2013 et de la LFR-III 2012;Art. 1609 nonies G du CGI
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère industriel ou commercial doté d'un comptable public;525046017;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;14;SGP - Société du Grand Paris;84;Taxe spéciale d'équipement au profit de l'établissement public Société du Grand Paris;117 000 000;117 000 000;0;67 100 000;67 100 000;0;67 100 000;67 100 000;0;LFI 2012;Art. 1609 G du CGI (créée à compter de 2011)
Autres bénéficiaires;Associations;Association déclarée;314389040;;;90;AGS - Association pour la gestion du régime d'assurance des créances des salariés;85;Contribution des employeurs à l'association pour la gestion du régime d'assurance des créances des salariés (AGS);907 395 885;;;907 395 885;;;907 395 885;;;;Art. L143-11-6 du Code du travail et I de l'article 5 de la loi n° 2008-126 relative à la réforme de l'organisation du service public de l'emploi du 13 février 2008
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;;;;164;FPRNM - Fonds de prévention des risques naturels majeurs;224;Prélèvement sur le produit des primes ou cotisations additionnelles relatives à la garantie contre le risque de catastrophes naturelles;207 000 000;137 000 000;70 000 000;Inexistant en 2021;;;Inexistant en 2022;;;;Art 1635 bis AD du CGI et art. L 561-3 du Code de l'environnement
