Nature juridique du bénéficiaire;;;;Rattachement d'un operateur;;Bénéficiaire de la taxe;;Taxe affectée;;;;;;;;;;;Référence juridique;
Secteur;Catégorie d'opérateur ou répartition nature juridique;Catégorie d'opérateur ou nature juridique;Numéro SIREN;Mission;Programme;Code;Libellé;Code;Libellé;Exécution 2020;Plafond 2020;Reversement BG 2020;Exécution 2021;Plafond 2021;Reversement BG 2021;Exécution 2022;Plafond 2022;Reversement BG 2022;Début du plafonnement;Référence juridique
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère industriel ou commercial doté d'un comptable public;882539786;Médias, livre et industries culturelles;334 Livre et industries culturelles;202;CNM - Centre national de la musique;92;Taxe sur les spectacles de variétés;10 000 000;50 000 000;0;5 000 000;50 000 000;0;15 000 000;50 000 000;0;LFI 2012;Art. 76 de la LFR 2003
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;422097683;;;61;Etablissement public foncier de l'Ouest Rhône-Alpes;20;Taxes spéciales d'équipement;30 430 000;30 430 000;0;20 510 000;20 510 000;0;20 510 000;19 104 000;1 406 000;LFR-I 2014 et de la LFI 2015;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Secteur local;Communes;Commune et commune nouvelle;;;;129;Communes;160;Imposition forfaitaire annuelle sur les pylônes;294 138 958;;;294 138 958;;;294 138 958;;;;Art. 1519 A du CGI
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130012024;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;73;Taxe liée aux dossiers de demande concernant les médicaments vétérinaires ou les établissements pharmaceutiques vétérinaires.;4 000 000;4 000 000;0;4 000 000;4 000 000;0;4 000 000;4 000 000;0;LFR 2016 et LFI 2017;II de l'art. L.5141-8 du Code de la santé publique
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;130001795;;;152;FIPHFP - Etablissement public administratif chargé de la gestion du fonds pour l'insertion des personnes handicapées dans la fonction publique;210;Contribution des employeurs publics au fonds pour l'insertion des personnes handicapées dans la fonction publique (FIPHFP);97 050 000;;;120 000 000;;;130 000 000;;;;Loi n°2005-102 du 11 février 2005 pour l'égalité des droits et des chances, la participation et la citoyenneté des personnes handicapées
Secteur local;Régions;Région;;;;156;Régions;214;Taxe sur les certificats d'immatriculation des véhicules (cartes grises);2 091 290 661;;;2 091 290 661;;;2 091 290 662;;;;Art. 1599 quindecies du CGI
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130012024;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;89;Taxe sur les déclarations et notifications de produit du tabac;1 000 000;2 000 000;0;Inexistant en 2021;;;Inexistant en 2022;;;;Décret du 22 aout 2016
Autres bénéficiaires;Associations;Association déclarée;;;;173;OPCO;226;PEFPC : CPF CDD (ex-CIF-CDD) : 1% des salaires versés, ou moins en cas d'accord de branche;301 050 202;;;301 050 202;;;301 050 202;;;;Art. L. 6322-37 du Code du travail
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;180092561;;;117;CNSA;155;Contribution solidarité autonomie (CSA);1 977 377 861;;;2 087 000 000;;;2 204 000 000;;;;Art. 137-40 du code de la sécurité sociale
Organismes d'administration centrale ;Etablissements publics nationaux (non opérateurs);Établissement public national à caractère administratif;;;;209;ARPE - Autorité des relations sociales des plateformes d'emploi;284;Taxe sur les exploitants de plateformes de mises en relation par voie électronique en vue de fournir certaines prestations de transport;Inexistant en 2020;;;0;;;1 500 000;;;;Art. 300 bis. du CGI et suivants
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130012024;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;74;Taxe annuelle portant sur les autorisations de médicaments vétérinaires et les autorisations d’établissements pharmaceutiques vétérinaires;4 500 000;4 500 000;0;4 500 000;4 500 000;0;4 300 000;4 500 000;0;LFR 2016 et LFI 2017;I de l’art. L 5141-8 Code de santé publique
Secteur local;Régions;Région;232000018;;;127;Collectivité territoriale de Corse et Conservatoire de l'espace littoral, de 2007 à 2011;168;"Droit annuel de francisation et de navigation en Corse; droit de passeport en Corse";4 470 000;;;4 470 000;;;4 470 000;;;;Art. 222 à 226 et 238 à 240 du Code des douanes
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère industriel ou commercial doté d'un comptable public;440546018;Recherche et enseignement supérieur;190 Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;19;IRSN - Institut de radioprotection et de sûreté nucléaire;202;Contribution annuelle au profit de l'Institut de radioprotection et de sûreté nucléaire;62 450 000;62 500 000;0;61 208 000;61 300 000;0;61 087 750;61 100 000;0;LFR 2015 et de la LFI 2016;Art. 96 de la LFR 2010
Secteur local;Communes;Commune et commune nouvelle;;;;136;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part communale;188;Taxes sur les friches commerciales;12 597 731;;;12 597 731;;;12 597 731;;;;Art. 1530 du CGI
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035024;;;99;CNAMTS;103;Contribution due par les entreprises fabriquant ou exploitant des dispositifs médicaux sur leurs dépenses de publicité;37 821 408;;;38 199 622;;;38 199 622;;;;Art. L. 245-5-1 à L. 245-5-5 du Code de la sécurité sociale
Secteur local;Régions;Région;;;;156;Régions;215;Taxe intérieure de consommation sur les produits énergétiques (TICPE) - part Grenelle;250 583 444;;;250 583 444;;;250 583 444;;;;Art. 94 de la LFI 2010, art. 11 et 12 de la loi n° 2009-967 du 3 août 2009 de programmation relative à la mise en œuvre du Grenelle de l'environnement, et art. 265 A bis du Code des douanes
Autres bénéficiaires;Associations;Association déclarée;784671497;;;91;ANFA - Association nationale pour la formation automobile;87;Taxe pour le développement de la formation professionnelle dans les métiers de la réparation de l'automobile, du cycle et du motocycle;32 656 722;;;32 656 722;;;32 656 722;;;;Art. 1609 sexvicies I du CCGI
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;180020174;;;96;Caisse d'amortissement de la dette sociale (CADES);136;Contribution sociale généralisée (CSG);8 456 000 000;;;8 824 000 000;;;9 109 000 000;;;;Art L136-1 à L136-8 du Code de la sécurité sociale et art. 1600-0-C et 1600-0-D du CGI
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180092553;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;18;AFITF - Agence de financement des infrastructures de transport de France;12;Taxe de solidarité sur les billets d'avion;0;230 000 000;0;90 000 000;230 000 000;0;91 000 000;230 000 000;0;LFI 2020;art.... du code général des impôts
Organismes d'administration centrale ;Opérateurs État;Groupement d'intérêt public (GIP);130025281;Sport, jeunesse et vie associative;219 Sport;201;ANS - Agence nationale du sport;70;Prélèvement sur les jeux exploités par la FdJ hors paris sportifs;234 480 186;71 844 000;162 636 186;234 480 186;71 844 000;162 636 186;234 480 000;71 844 000;162 636 000;LFI 2012;1er alinéa de l'art. 1609 novovicies du CGI et art. 79 de la LFI 2011
Secteur local;Établissement public administratif local;(Autre) Établissement public administratif local;;;;113;Centres de gestion de la fonction publique territoriale;129;Cotisation obligatoire;166 007 755;;;167 169 809;;;170 360 746;;;;Art. 22 de la loi n° 84-53 du 26 janvier 1984
Secteur local;Communes;Commune et commune nouvelle;;;;129;Communes;159;Taxe de balayage;110 818 368;;;110 818 368;;;110 818 368;;;;Art. 1528 du CGI
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130020464;Cohésion des territoires;135 Urbanisme, territoires et amélioration de l'habitat;46;ANCOLS - Agence nationale de contrôle du logement social;66;Cotisation versée par les organismes HLM;11 334 000;11 334 000;0;11 334 000;11 334 000;0;11 334 000;11 334 000;0;LFR-I 2014 et de la LFI 2015;2° de l’article L. 342-21 du Code de la construction et de l’habitation
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;530428903;;;84;Etablissement public foncier local Béarn - Pyrénées;20;Taxes spéciales d'équipement;3 900 000;;;2 925 000;;;2 925 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Autres bénéficiaires;Associations;Association déclarée;775571268;;;28;Francéclat;36;Taxe pour le développement des industries de l'horlogerie, bijouterie, joaillerie, orfèvrerie et arts de la table;9 345 000;;;9 345 000;;;11 000 000;;;;Art. 71 C de la LFR 2003 modifié par l'art. 44 de la LFI 2005 et par l'art. 110 de la LFI 2007
Secteur local;Communes;Commune et commune nouvelle;;;;129;Communes;165;Taxe locale sur la publicité extérieure;163 270 348;;;163 270 348;;;163 270 348;;;;Art. 171 de la LME (Loi de modernisation de l'économie- Loi 2008-776 du 4 août 2008)
Secteur local;Communes;Commune et commune nouvelle;;;;144;Communes ou Groupements de communes (parts communale et intercommunale);187;Taxes locales d'équipement;32 133 744;;;32 133 744;;;32 133 745;;;;Art 1585 A et 1635 bis B du CGI (abrogés à/c du 1er mars 2012 : art. 28 de la LFR 2010 n° 2010-1658)
Secteur local;Départements;Département;;;;147;Départements (part départementale);200;Taxe départementale des espaces naturels sensibles;Inexistant en 2020;;;Inexistant en 2021;;;Inexistant en 2022;;;;Art L.142-2 à L.142-5 du Code de l'urbanisme - substituée à/c du 1er mars 2012 par la part départementale de la TA
Secteur local;Régions;Région;232000018;;;127;Collectivité territoriale de Corse et Conservatoire de l'espace littoral, de 2007 à 2011;170;Taxe due par les entreprises de transport public aérien et maritime;22 537 142;;;22 537 142;;;22 537 142;;;;Art.1599 vicies du CGI
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;;;;8;FSD - Fonds de solidarité pour le développement géré par l'Agence française de développement (AFD) - suivi MAED;12;Taxe de solidarité sur les billets d'avion;127 000 000;210 000 000;0;120 000 000;210 000 000;0;210 000 000;210 000 000;0;LFI 2014;§ VI de l'art. 302 bis K du CGI
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180092553;Écologie, développement et mobilité durables;203 Infrastructures et services de transports;18;AFITF - Agence de financement des infrastructures de transport de France;26;Fraction affectée du produit du relèvement du tarif de taxe intérieure de consommation sur les produits énergétiques (TICPE) sur le carburant gazole;1 586 700 000;1 586 700 000;0;1 285 000 000;1 285 000 000;0;1 285 000 000;1 247 500 000;37 500 000;LFR-I 2014 et de la LFI 2015;Art. 36 de la LFI 2015
Secteur local;Organismes consulaires;Organisme consulaire;;;;32;Chambres de commerce et d'industrie de région (CCI-R);42;TA-CFE - fraction CCI-R de la Taxe additionnelle à la cotisation foncière des entreprises pour frais de chambres de commerce et d’industrie de région;588 149 000;449 000 000;139 149 000;400 149 000;349 000 000;51 149 000;270 094 775;299 000 000;0;LFI 2013 et de la LFR-III 2012;Art. 1600 (I et II) du CGI (modifié par l'art. 9 de la loi n° 2010-853 de refonte du réseau consulaire)
Secteur local;Communes;Commune et commune nouvelle;;;;136;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part communale;183;Taxe de séjour, taxe de séjour forfaitaire;183 755 229;;;183 755 229;;;183 755 229;;;;Art. L2333-26 à L2333-46 du Code général des collectivités territoriales
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;180092173;;;118;Fonds CMU - Fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;133;Fraction de Taxe de solidarité additionnelle (TSA);2 725 000 000;;;Inexistant en 2021;;;Inexistant en 2022;;;;Art. L. 862-4 du Code de la sécurité sociale
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035032;;;126;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";139;Contribution sociale de solidarité des sociétés (C3S);4 106 402 484;;;3 681 389 826;;;3 920 680 166;;;;Art. L651-1 à L651-9 du Code de la sécurité sociale
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;794380733;;;184;Etablissement public et foncier de Guadeloupe;20;Taxes spéciales d'équipement;5 700 000;;;4 275 000;;;4 275 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;120;"CCMSA (non salariés-vieillesse et maladie) jusqu'en 2016; CCMSA (non salariés-vieillesse, maladie et RCO) en 2017";115;Droits de consommation sur les alcools;2 171 000 000;;;2 190 539 000;;;2 190 539 000;;;;Art. 403 du CGI et articles L. 731-2 et L. 731-3 du Code rural et de la pêche maritime
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;509167680;;;78;Etablissement public foncier d'Occitanie;20;Taxes spéciales d'équipement;28 340 000;28 340 000;0;23 878 000;23 878 000;0;23 878 000;22 830 000;1 048 000;LFR-I 2014 et de la LFI 2015;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;507817161;;;82;Etablissement public foncier local de Montauban;20;Taxes spéciales d'équipement;800 000;;;600 000;;;600 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public national à caractère industriel ou commercial doté d'un comptable public;;;;8;FSD - Fonds de solidarité pour le développement géré par l'Agence française de développement (AFD) - suivi MAED;13;Taxe sur les transactions financières - fraction affectée de la ressource État;528 000 000;528 000 000;0;528 000 000;528 000 000;0;528 000 000;528 000 000;0;LFI 2013 et de la LFR-III 2012;Art. 235 ter ZD du CGI et I de l'art. 22 de la LFR 2005
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;750757304;;;70;Etablissement public foncier local du Pays basque;20;Taxes spéciales d'équipement;6 300 000;;;4 725 000;;;4 725 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130003262;Administration générale et territoriale de l'État;354 Administration territoriale de l'État;41;ANTS - Agence nationale des titres sécurisés;55;Fraction des droits de timbre sur les cartes nationales d'identité;22 355 375;11 250 000;11 105 375;22 355 375;11 250 000;11 105 375;24 855 000;11 250 000;13 605 000;LFI 2012;Art. 1628 bis du CGI (art. 134 al. I et III de la LFI 2009)
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130012024;Agriculture, alimentation, forêt et affaires rurales;206 Sécurité et qualité sanitaires de l'alimentation;1;ANSéS - Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;79;Taxe sur la vente des produits phytopharmaceutiques disposant d’une autorisation de mise sur le marché (AMM);4 300 000;4 200 000;100 000;4 300 000;4 200 000;100 000;16 000 000;4 200 000;11 800 000;LFR-I 2014 et de la LFI 2015;article L. 253-8-2-VI du Code rural
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130020464;Cohésion des territoires;135 Urbanisme, territoires et amélioration de l'habitat;46;ANCOLS - Agence nationale de contrôle du logement social;65;Prélèvement sur la participation des employeurs à l'effort de construction (PEEC);6 450 000;6 450 000;0;6 450 000;6 450 000;0;6 450 000;6 450 000;0;LFR-I 2014 et de la LFI 2015;1° de l’article L. 342-21 du Code de la construction et de l’habitation
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Autre régime de prévoyance sociale;180020174;;;96;Caisse d'amortissement de la dette sociale (CADES);96;Contributions pour le remboursement de la dette sociale (CRDS);7 420 869 057;;;7 831 912 444;;;8 077 917 027;;;;Art. 1600-0 G à 1600-0 J du CGI et art. L136-1 et suiv. du Code de la sécurité sociale
Organismes d'administration centrale ;Autres personnes morales de droit public dépendant de l'Etat;Groupement d'intérêt public (GIP);;;;168;"Groupements d'intérêt public ""Objectif Meuse"" et ""Haute-Marne"" et Communes concernées";229;"TA-TINB - Taxe additionnelle à la taxe sur les installations nucléaires de base dite ""Accompagnement""";57 059 600;;;57 059 600;;;57 809 600;;;;V de l'art. 43 de la LFI 2000 modifié par l'art. 21 de la loi n°2006-739 du 28 juin 2006
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;101;CCMSA - non salariés branche vieillesse;116;Droit sur les bières et les boissons non alcoolisées;1 022 000 000;;;1 093 000 000;;;1 157 000 000;;;;Art. 520 A du CGI et art. L. 731-3 du Code rural et de la pêche maritime
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;;;;34;CTI de l'Industrie : CT des indus. mécaniques (CETIM), CT de l'industrie du décolletage (CTDEC), CTI de la construction métallique (CTICM), CT des indus. aérauliques et thermiques (CETIAT), et Institut de Soudure;44;Taxe pour le développement des industries de la mécanique et de la construction métallique, des matériels et consommables de soudage et produits du décolletage, de construction métallique et des matériels aérauliques et thermiques;49 131 000;;;51 798 000;;;77 215 120;;;;Art. 71 E de la LFR 2003
Autres bénéficiaires;Associations;Association déclarée;775682321;;;112;Comité de gestion des œuvres sociales des personnels hospitaliers (CGOS);129;Cotisation obligatoire;391 817 057;;;396 518 861;;;417 507 556;;;;Art. 116-1 de la loi n°86-33 du 9 janvier 1986
Secteur local;Communes;Commune et commune nouvelle;;;;129;Communes;158;Surtaxe sur les eaux minérales;21 272 058;;;21 272 058;;;21 272 059;;;;Art . 1582 du CGI
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;180005019;Écologie, développement et mobilité durables;113 Paysages, eau et biodiversité;23;CELRL - Conservatoire de l'espace littoral et des rivages lacustres;31;Droit de francisation et de navigation (DAFN);38 500 000;38 500 000;0;38 500 000;38 500 000;0;40 000 000;40 000 000;0;LFI 2012;Art. 224 du Code des douanes
Secteur local;Intercommunalité;Autre établissement public local de coopération non spécialisé ou entente;;;;137;Communes ou EPCI (établissements publics de coopération intercommunale à fiscalité propre) - part intercommunale;186;Taxes d'enlèvement des ordures ménagères;5 125 625 897;;;5 284 520 300;;;5 485 332 072;;;;Art. 1520 à 1526 du CGI
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;493349773;;;71;Etablissement public foncier local de l'Ain;20;Taxes spéciales d'équipement;5 000 000;;;3 750 000;;;3 750 000;;;;Art. 1607 bis,1607 Ter, 1608, 1609, 1609 B, 1609C, 1609D, 1609 F du CGI et art. L321-1 et L324-1 du Code de l'urbanisme
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;101;CCMSA - non salariés branche vieillesse;113;Droit de circulation sur les vins, cidres, poirés et hydromels;99 564 294;;;104 044 687;;;107 998 386;;;;Art. L. 438 du CGI et art. L. 731-3 du Code rural et de la pêche maritime
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Mutualité sociale agricole;302990445;;;102;CCMSA (non salariés-maladie);118;Taxe sur les boissons édulcorées;35 000 000;;;36 015 000;;;36 087 030;;;;Art. 1613 quater du CGI
Secteur local;Organismes consulaires;Organisme consulaire;;;;6;Chambres départementales d'agriculture;9;Taxe additionnelle à la taxe foncière sur les propriétés non baties, pour frais de chambres d'agriculture (TCA-TFPNB);292 000 000;292 000 000;0;292 000 000;292 000 000;0;292 000 000;292 000 000;0;LFI 2013 et de la LFR-III 2012;Art. 1604 du CGI
Secteur local;Départements;Département;;;;147;Départements (part départementale);192;Droits départementaux d'enregistrement sur les mutations à titre onéreux d'immeubles;121 823 481;;;142 533 473;;;143 958 808;;;;Art 1594 A du CGI
Autres bénéficiaires;Autres personnes morales de droit privé;Établissement public local à caractère industriel ou commercial;829950005;;;48;Etablissement public foncier de Mayotte;20;Taxes spéciales d'équipement;1 000 000;1 000 000;0;722 000;722 000;0;722 000;891 000;0;LFR 2016 et LFI 2017;Art. 1609 B du CGI
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;775691744;;;5;CTCPA - Centre technique de la conservation des produits agricoles;8;Taxe pour le développement de l'industrie de la conservation des produits agricoles (CTCPA);2 750 000;2 900 000;0;2 750 000;2 900 000;0;2 750 000;2 900 000;0;LFI 2012;Art. 72 de la LFR 2003
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130006364;Agriculture, alimentation, forêt et affaires rurales;149 Compétitivité et durabilité de l'agriculture, de l'agroalimentaire, de la forêt, de la pêche et de l'aquaculture;3;FranceAgriMer;5;Taxe pour l’utilisation de la plate-forme Expadon 2;0;2 000 000;0;Inexistant en 2021;;;Inexistant en 2022;;;;Art. 103 de la LFR-2 2014
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035024;;;105;"CNAMTS jusqu'en 2017; CNAMTS et ACOSS en 2018";138;TVA nette;45 411 642 001;;;50 769 787 688;;;53 794 427 769;;;;Art. L. 241-2 du Code de la sécurité sociale
Autres bénéficiaires;Autres personnes morales de droit privé;Centre technique industriel ou comité professionnel du développement économique;;;;36;"CTI des matériaux : Centre d'étude et de recherche de l'industrie du béton (CERIB); Centre technique de matériaux naturels de construction (CTMNC)";46;Taxe pour le développement des industries des matériaux de construction regroupant les industries du béton, de la terre cuite et des roches ornementales et de construction;10 280 000;;;10 073 000;;;13 079 542;;;;Art. 71 F de la LFR 2003
Organismes d'administration centrale ;Opérateurs État;Établissement public national à caractère administratif;130003262;Administration générale et territoriale de l'État;354 Administration territoriale de l'État;41;ANTS - Agence nationale des titres sécurisés;51;Taxe sur les Titres de séjour et de voyage electroniques;15 071 227;14 490 000;581 227;16 000 000;14 490 000;1 510 000;16 000 000;14 490 000;1 510 000;LFI 2012;Art. 953 al. IV et V du CGI et art. 311-16 du CESEDA (art. 46 de la LFI 2007 et art. 77 al. I, II et III de la LFI 2011)
Secteur local;Régions;Région;239730013;;;175;Région de la Guyane;235;Taxe due par les concessionnaires de mines d'or, les amodiataires des concessions de mines d'or et les titulaires de permis et d'autorisations d'exploitation de mines d'or exploitées en Guyane (taxe additionnelle aurifère);0;;;0;;;0;;;;Art. 1599 Quinquies B du CGI
Secteur social ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Régime général de la Sécurité Sociale;180035032;;;126;"CNAMTS, CNAVTS, CCMSA (non salariés-maladie) en 2016; CNAVTS dès 2017";141;Contribution sur les avantages de préretraite d’entreprise;62 301 604;;;50 028 188;;;40 022 551;;;;Art. L. 137-10 du Code de la sécurité sociale
