Type de recettes;Année;Libellé Mission;Code Section;Libellé Section;Code Ligne de recette;Libellé ligne de recette;Montant Recettes PLF 2024;Montant Recettes LFI 2024;Prévisions  Recettes 2025;Prévisions Recettes 2026
Recettes CAS;2024.0;Pensions;YD-2;Ouvriers des établissements industriels de l'État;YD-2-71;Cotisations salariales et patronales;315919617.0;315919617.0;306181514.0;296468890.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-44;Personnels militaires : retenues pour pensions : agents détachés dans les collectivités et établissements publics locaux sur un emploi conduisant à pension;1279109.0;1279109.0;1295025.0;1302008.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-69;Autres recettes diverses;9000000.0;9000000.0;9000000.0;9000000.0
Recettes CAS;2024.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-94;Financement des pensions de l'ORTF : participation du budget général;72000.0;72000.0;67000.0;62000.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-11;Personnels civils : retenues pour pensions : agents propres des établissements publics et agents détachés hors l'État : surcotisations salariales du temps partiel et des cessations progressives d'activité;22000000.0;22000000.0;0.0;0.0
Recettes CAS;2024.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-91;Financement des allocations de reconnaissance des anciens supplétifs : participation du budget général;41702301.0;41702301.0;42035261.0;42836640.0
Recettes CAS;2024.0;Pensions;YD-2;Ouvriers des établissements industriels de l'État;YD-2-73;Compensations inter-régimes généralisée et spécifique;94000000.0;94000000.0;97000000.0;102000000.0
Recettes CAS;2024.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-87;Financement des pensions militaires d'invalidité : participation du budget général;690347441.0;690347441.0;629725066.0;574728029.0
Recettes CAS;2024.0;Financement des aides aux collectivités pour l'électrification rurale;YK-1;Financement des aides aux collectivités pour l'électrification rurale;YK-1-01;Contribution des gestionnaires de réseaux publics de distribution;377000000.0;377000000.0;377000000.0;377000000.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-05;Personnels civils : retenues pour pensions : agents détachés hors l'État sur un emploi ne conduisant pas à pension (hors France Télécom et hors La Poste);69507356.0;69507356.0;70064869.0;70611967.0
Recettes CAS;2024.0;Pensions;YD-2;Ouvriers des établissements industriels de l'État;YD-2-75;Autres financements : Fonds de solidarité vieillesse (FSV), Fonds de solidarité invalidité (FSI) et cotisations rétroactives;258695.0;258695.0;258695.0;258695.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-65;Recettes diverses (administration centrale) : compensation démographique généralisée : personnels civils;646000000.0;646000000.0;861000000.0;993000000.0
Recettes CAS;2024.0;Participations financières de l'État;YC-1;Participations financières de l'État;YC-1-05;Remboursements de créances liées à d'autres investissements, de l'État, de nature patrimoniale;180000000.0;180000000.0;180000000.0;180000000.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-21;Personnels civils : contributions des employeurs : agents propres de l'État et agents détachés dans une administration de l'État sur un emploi conduisant à pension (hors allocation temporaire d'invalidité);33214580291.0;33214580291.0;33511659064.0;33814655798.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-25;Personnels civils : contributions des employeurs : agents détachés hors l'État sur un emploi ne conduisant pas à pension (hors France Télécom et hors La Poste);364190153.0;364190153.0;365005124.0;365028347.0
Recettes CAS;2024.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-93;Financement des pensions des sapeurs-pompiers et anciens agents de la défense passive victimes d'accident : participation du budget général;11855902.0;11855902.0;11767831.0;11682690.0
Recettes CCF;2024.0;Avances aux collectivités territoriales;ZC-3;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;ZC-3-05;Recettes diverses;61782495027.0;61782495027.0;61782495027.0;61782495027.0
Recettes CCF;2024.0;Prêts à des États étrangers;ZE-2;Prêts à des États étrangers pour consolidation de dettes envers la France;ZE-2-02;Remboursement de prêts du Trésor;59127077.0;59127077.0;38803158.0;38828908.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-48;Personnels militaires : retenues pour pensions : validation des services auxiliaires : part agent : retenues rétroactives, versements du régime général, des autres régimes de base et de l'IRCANTEC;23686.0;23686.0;18700.0;14764.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-63;Recettes diverses (administration centrale) : versement du Fonds de solidarité vieillesse (FSV) au titre de la majoration du minimum vieillesse : personnels civils;1200000.0;1200000.0;1200000.0;1200000.0
Recettes CAS;2024.0;Contrôle de la circulation et du stationnement routiers;YE-6;Contrôle automatisé;YE-6-01;Amendes perçues par la voie du système de contrôle-sanction automatisé;339950000.0;339950000.0;339950000.0;339950000.0
Recettes CAS;2024.0;Pensions;YD-3;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;YD-3-92;Financement des pensions des anciens agents du chemin de fer franco-éthiopien : participation du budget général;32849.0;32849.0;29538.0;26538.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-51;Personnels militaires : contributions des employeurs : agents propres de l'État et agents détachés dans une administration de l'État sur un emploi conduisant à pension;10656025995.0;10656025995.0;10784406129.0;10832737302.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-68;Recettes diverses : récupération des indus sur pensions : personnels militaires;9000000.0;9000000.0;9000000.0;9000000.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-22;Personnels civils : contributions des employeurs : agents détachés dans une administration de l'État sur un emploi ne conduisant pas à pension (hors allocation temporaire d'invalidité);42286236.0;42286236.0;42664454.0;43050206.0
Recettes CAS;2024.0;Pensions;YD-1;Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;YD-1-06;Personnels civils : retenues pour pensions : agents propres de France Télécom et agents détachés à France Télécom;62319841.0;62319841.0;54681804.0;48039803.0
Recettes CAS;2024.0;Pensions;YD-2;Ouvriers des établissements industriels de l'État;YD-2-72;Contribution au Fonds spécial des pensions des ouvriers des établissements industriels de l'État (FSPOEIE) et au Fonds des rentes d'accident du travail des ouvriers civils des établissements militaires (RATOCEM);1691955761.0;1691955761.0;1663206010.0;1670644496.0
Recettes CCF;2024.0;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1;Prêts et avances à divers services de l'État ou organismes gérant des services publics;ZB-1-03;Remboursement des avances octroyées à des organismes distincts de l'État et gérant des services publics;313324845.0;313324845.0;186908881.0;130668087.0
Recettes CAS;2024.0;Participations financières de l'État;YC-1;Participations financières de l'État;YC-1-06;Versement du budget général;9636951599.0;9636951599.0;11861867964.0;12143065161.0
